Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase I,SBIR,231322,80NSSC23PB622,2023-07-26,2024-02-02,SBIR_23_P1,2023.0,H6,2023,166248.0000,204076
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase II,STTR,0000271273,DE-SC0022413,2023-04-03,2025-04-02,,2023.0,C53-15a,2023,1146472.0000,204342
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence Legal Assistant (AILA),DOD,USAF,Phase II,SBIR,F2D-8033,FA8649-23-P-0469,2023-02-03,2024-05-10,X23.4,2023.0,AFX234-DCSO2,2023,990288.0000,204474
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Grey Literature Screening,EPA,,Phase I,SBIR,B236A-0009,68HERC23C0033,2022-12-01,2023-05-31,68HERC22R0180,2023.0,6A,2023,99803.5000,203817
VISIMO LLC,X854ZJDHWHJ5,Verification and Validation Software for Autonomous UAS Certification,NASA,,Phase I,SBIR,221647,80NSSC22PB242,2022-07-21,2023-01-25,SBIR_22_P1,2022.0,A2,2022,166319.0000,196338
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase I,SBIR,2022-00742,2022-00742,2022-04-18,2023-02-28,USDA-NIFA-SBIR-008541,2022.0,8.12,2022,123680.0000,196043
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: Detecting Adversarial Manipulation of Image Data,DOD,USAF,Phase II,STTR,FX21A-TCSO1-0185,FA8649-22-P-0708,2022-03-10,2023-06-12,X21.A,2021.0,AF21A-TCSO1,2022,747531.0000,198669
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase I,STTR,0000263264,DE-SC0022413,2022-02-14,2023-02-13,DE-FOA-0002554,2022.0,C53-15a,2022,200000.0000,197070
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) to Support Judge Advocates When Advising Use-of-Force Decisions,DOD,USAF,Phase I,STTR,FX21B-TCSO1-0206,FA864922P0077,2021-11-02,2022-02-02,X21.B,2021.0,AF21B-TCSO1,2022,49872.0000,194897
VISIMO LLC,X854ZJDHWHJ5,CGAN ISALD: Conditional Generative Adversarial Network for Infinite Synthetic Aerial Landscape Data,DOD,USAF,Phase II,STTR,FX20C-TCSO1-0395,FA8649-21-P-1505,2021-08-24,2022-11-24,X20.C,2020.0,AF20C-TCSO1,2021,745446.0000,190982
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: A Gamified Truth Disclosure Platform,DOD,USAF,Phase I,STTR,FX21A-TCSO1-0185,FA8649-21-P-1396,2021-04-09,2021-07-09,X21.A,2021.0,AF21A-TCSO1,2021,49821.0000,191991
VISIMO LLC,X854ZJDHWHJ5,Generative Adversarial Network (GAN) for Synthetic Data Generation,DOD,USAF,Phase I,STTR,FX20C-TCSO1-0395,FA8649-21-P-0650,2021-02-05,2021-05-08,X20.C,2020.0,AF20C-TCSO1,2021,49804.0000,191594
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) Algorithms for Sense and Avoid Neural Network Architectures for Orbs and UAVs,DOD,USAF,Phase I,STTR,FX20D-TCSO1-0426,FA8649-21-P-0231,2020-11-23,2021-05-24,X20.D,2020.0,AFX20D-TCSO1,2021,137458.0000,187284
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Reduction of Embodied Carbon in Concrete via Strength Enhancing Biochar-derived Graphene Products,EPA,,Phase I,SBIR,B254C-0001,68HERC25C0028,2024-12-16,2025-06-15,68HERC24R0185,2025.0,4C,2025,100000.0000,214918
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Value-added graphene materials from woody resources,USDA,NIFA,Phase II,SBIR,2024-04682,2024-04682,2024-09-01,2026-08-31,USDA-NIFA-SBIR-010287,2024.0,8.1,2024,650000.0000,208496
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Increasing Concrete Strength using Biochar-derived Graphene Products for Reduction of Embodied Carbon,EPA,,Phase I,SBIR,B245C-0001,68HERC24C0026,2023-12-01,2024-05-31,68HERC23R0249,2024.0,5C,2024,100000.0000,208397
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Value-added graphene materials from woody resources,USDA,,Phase I,STTR,2023-00747,2023-00747,2023-03-07,2024-06-30,USDA-NIFA-SBIR-009301,2023.0,8.1,2023,175000.0000,202494
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,CREATES: CO2 REduction for grAphiTE Synthesis,DOE,,Phase I,SBIR,0000252058,DESC0020776,2020-06-29,2021-06-28,DEFOA0002146,2020.0,22b,2020,249921.0000,177798
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Next-Generation Modified Metal Organic Frameworks for CO2 Capture,DOE,,Phase I,SBIR,0000252059,DESC0020916,2020-06-29,2021-06-28,DEFOA0002146,2020.0,20a,2020,249741.0000,177799
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Reduction of Embodied Carbon in Concrete via Strength Enhancing Biochar-derived Graphene Products,EPA,,Phase I,SBIR,B254C-0001,68HERC25C0028,2024-12-16,2025-06-15,68HERC24R0185,2025.0,4C,2025,100000.0000,214918
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Value-added graphene materials from woody resources,USDA,NIFA,Phase II,SBIR,2024-04682,2024-04682,2024-09-01,2026-08-31,USDA-NIFA-SBIR-010287,2024.0,8.1,2024,650000.0000,208496
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Increasing Concrete Strength using Biochar-derived Graphene Products for Reduction of Embodied Carbon,EPA,,Phase I,SBIR,B245C-0001,68HERC24C0026,2023-12-01,2024-05-31,68HERC23R0249,2024.0,5C,2024,100000.0000,208397
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Value-added graphene materials from woody resources,USDA,,Phase I,STTR,2023-00747,2023-00747,2023-03-07,2024-06-30,USDA-NIFA-SBIR-009301,2023.0,8.1,2023,175000.0000,202494
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,CREATES: CO2 REduction for grAphiTE Synthesis,DOE,,Phase I,SBIR,0000252058,DESC0020776,2020-06-29,2021-06-28,DEFOA0002146,2020.0,22b,2020,249921.0000,177798
ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,Next-Generation Modified Metal Organic Frameworks for CO2 Capture,DOE,,Phase I,SBIR,0000252059,DESC0020916,2020-06-29,2021-06-28,DEFOA0002146,2020.0,20a,2020,249741.0000,177799
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase II,STTR,284587,DE-SC0024051,2024-09-10,2026-09-09,DE-FOA-0003279,2024.0,C56-19a,2024,1149991.0000,214514
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Topic 1B - Creekside Environmental Products: Ending Forever Chemicals: PFAS Adsorption and Decomposition,EPA,,Phase I,SBIR,B241B-0012,68HERC24C0009,2023-12-01,2024-05-31,68HERC23R0249,2024.0,1B,2024,100000.0000,208394
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase I,SBIR,0000272462,DE-SC0024051,2023-07-10,2024-07-09,DE-FOA-0002903,2023.0,C56-19a,2023,199858.0000,201875
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase II,STTR,284587,DE-SC0024051,2024-09-10,2026-09-09,DE-FOA-0003279,2024.0,C56-19a,2024,1149991.0000,214514
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Topic 1B - Creekside Environmental Products: Ending Forever Chemicals: PFAS Adsorption and Decomposition,EPA,,Phase I,SBIR,B241B-0012,68HERC24C0009,2023-12-01,2024-05-31,68HERC23R0249,2024.0,1B,2024,100000.0000,208394
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase I,SBIR,0000272462,DE-SC0024051,2023-07-10,2024-07-09,DE-FOA-0002903,2023.0,C56-19a,2023,199858.0000,201875
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase II,STTR,284587,DE-SC0024051,2024-09-10,2026-09-09,DE-FOA-0003279,2024.0,C56-19a,2024,1149991.0000,214514
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Topic 1B - Creekside Environmental Products: Ending Forever Chemicals: PFAS Adsorption and Decomposition,EPA,,Phase I,SBIR,B241B-0012,68HERC24C0009,2023-12-01,2024-05-31,68HERC23R0249,2024.0,1B,2024,100000.0000,208394
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase I,SBIR,0000272462,DE-SC0024051,2023-07-10,2024-07-09,DE-FOA-0002903,2023.0,C56-19a,2023,199858.0000,201875
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase II,STTR,284587,DE-SC0024051,2024-09-10,2026-09-09,DE-FOA-0003279,2024.0,C56-19a,2024,1149991.0000,214514
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Topic 1B - Creekside Environmental Products: Ending Forever Chemicals: PFAS Adsorption and Decomposition,EPA,,Phase I,SBIR,B241B-0012,68HERC24C0009,2023-12-01,2024-05-31,68HERC23R0249,2024.0,1B,2024,100000.0000,208394
Creekside Environmental Products LLC,ESP6ZKMSMQK8,Biodegradable PFAS-Free Paper and Molded Fiber Tableware for Food Packaging,DOE,,Phase I,SBIR,0000272462,DE-SC0024051,2023-07-10,2024-07-09,DE-FOA-0002903,2023.0,C56-19a,2023,199858.0000,201875
"FOREVER ANALYTICAL SERVICES, INC.",E8DMQP3A2W74,Scaling Up a Field-Deployable Water Sampling Device to Rapidly Screen Adsorbable Organic Fluorine in situ,EPA,,Phase II,SBIR,B24P2-1D01,68HERC24C0003,2023-10-19,2025-10-18,68HERC23R0188,2024.0,1D,2024,400000.0000,208551
"FOREVER ANALYTICAL SERVICES, INC.",E8DMQP3A2W74,"Rapid, Field-Deployable Water Sampling Device to Facilitate On-Site Total PFAS Measurement",EPA,,Phase I,SBIR,B231D-0006,68HERC23C0014,2022-12-01,2023-05-31,68HERC22R0180,2023.0,1D,2023,99983.0000,203798
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase II,SBIR,B25P2-4A01,68HERC25C0004,2024-10-16,2026-10-17,68HERC24R0184,2025.0,4A,2025,400000.0000,214938
HOLOCHIP CORP,PLRXAUJRGGT8,Prescription Optical Visor for the M50 Air Purifying Respirator,DOD,CBD,Phase I,SBIR,C233-002-0102,W911SR-24-C-0028,2024-09-05,2025-03-05,23.3,2023.0,CBD233-002,2024,194282.6800,209791
HOLOCHIP CORP,PLRXAUJRGGT8,Multifocal Augmented Reality Visual Informatics System,NASA,,Phase I,SBIR,24Z2031005,80NSSC24PB331,2024-07-31,2025-02-06,SBIR-2024-Phase 1,2024.0,Z2,2024,149999.0000,212358
HOLOCHIP CORP,PLRXAUJRGGT8,Mixed-Reality Off-the-Visor Heads Up Display,DOD,ARMY,Phase I,SBIR,A244-011-0238,W51701-24-C-0185,2024-05-09,2024-11-28,24.4,2024.0,A244-011,2024,249999.7400,209513
