Year,First Name,Last Name,Award
2020,Aravind,Srinivasan,Univ Maryland Distinguished University Professor
2020,Furong,Huang,JP Morgan Faculty Research Award
2020,Mohammad Nayeem,Teli,IEEE Senior Member
2020,Ming,Lin,"Distinguished Career in Computer Science, Washington Academy of Sciences"
2020,Leila,De Floriani,IEEE Visualization Academy
2020,Xiaodi,Wu,NSF CAREER
2020,Hanan,Samet,"Distinguished Career in Computer Science, Washington Academy of Sciences"
2020,Dave,Levin,NSF CAREER
2020,John,Dickerson,Graduate Faculty Mentor of the Year
2020,Bonnie,Dorr,DARPA ISAT Study Group Member
2020,Soheil,Feizi,NSF CAREER
2020,Michelle,Mazurek,NSF CAREER
2020,Haizhao,Yang,NSF CAREER
2020,David,Van Horn,"Most Influential Paper Award, ICFP"
2020,William,Regli,AAAS Fellow
2019,Jonathan,Katz,ACM SIGSAC Outstanding Contribution Award
2019,Soheil,Feizi,"Best Paper, IEEE Transactions on Network Science and Engineering"
2019,Leila,De Floriani,IEEE-HKN
2019,Ming,Lin,Univ Maryland Distinguished University Professor
2019,Jia-Bin,Huang,Google Faculty Research
2019,Mihai,Pop,ACM Fellow
2019,Daniel,Abadi,VLDB Test of Time Award
2019,Mohammad Hajiaghayi,Fellow,Guggenheim Fellow for Applied Mathematics
2019,Mohammad Hajiaghayi,Fellow,IEEE Fellow
2019,Furong,Huang,CISE CRII
2019,Jia-Bin,Huang,CISE CRII
2019,John,Dickerson,"Young Investigator, DURIP"
2019,Aravind,Srinivasan,ICCV 2019 Honorable Mention Award
2019,John,Dickerson,ONR Young Investigator
2019,Daniel,Abadi,"Chair, Penn ESE (Electrical and Systems Engineering)"
2019,Mihai,Pop,IEEE Fellow
2019,Leila,De Floriani,Best Paper Award at SPAA'19
2019,Haizhao,Yang,IEEE Fellow
2019,Dave,Levin,"Best Student Paper, SLAM"
2019,Dave,Levin,IEEE VGTC Virtual Reality Academy
2018,John,Dickerson,Amazon Research Award
2018,Rance,Cleaveland,Amazon Research Award
2018,Dave,Levin,IEEE VGTC Virtual Reality Academy
2018,Dave,Levin,"Best Paper, IEEE Robotics and Automation Letters"
2018,Dave,Levin,DARPA Young Faculty Award
2018,Dave,Levin,"Distinguished Junior Alumni Award, GMU"
2018,William,Regli,NSF CAREER
2018,Dave,Levin,NSF CAREER
2018,Furong,Huang,NSF CAREER
2018,John,Dickerson,NSF CAREER
2018,John,Dickerson,"Best Paper, ACM SIGKDD"
2018,Rance,Cleaveland,NSF CAREER
2018,William,Regli,"Best Paper, IEEE Robotics and Automation Letters"
2017,Dave,Levin,NSF CAREER
2017,Dave,Levin,"Best Paper, IEEE Robotics and Automation Letters"
2017,Dave,Levin,DARPA Young Faculty Award
2017,William,Regli,NSF CAREER
2017,William,Regli,"Best Paper, IEEE Robotics and Automation Letters"
2017,William,Regli,DARPA Young Faculty Award
