Account Name,Legal Name,UEI,DUNS,CAGE,Company Exists,Active,Company Website,Employees,Street Address,City,State,Zip Code,Country,Legislative District,Industry,Annual Revenue Range,Incorporation Date,Incorporation Year,Incorporation State,Incorporation Country,Incorporation Type,Description
Fabrisonic,"Fabrisonic, LLC",N53SQ9476Q64,078369551,6NX15,True,True,http://www.fabrisonic.com/,9,7719 Graphics WAY STE A,Lewis Center,Ohio,43035,United States,OH-04,Business Products and Services (B2B),,"Jan 13, 2011",2011,Ohio,United States,Limited Liability Company (LLC),"Developer of 3D metal printing technology designed to offer an alternative to traditional fabrication techniques. The company uses low-temperature ultrasonic additive manufacturing technology to allow dissimilar metals to join without metallurgical mismatch issues, enabling companies to use printing services for a wide range of metals."
Fathom,"Fathom, LLC",TUGWQ7AM1QP7,,9SJ03,True,True,https://www.fathom-tech.com/,,214 S Southwood AVE,Annapolis,Maryland,21401,United States,MD-03,,,"Nov 7, 2023",2023,Maryland,United States,Limited Liability Company (LLC),
Giv Local,"Giv Local, LLC",VTBQZF7B9HM5,,96KZ9,True,True,https://www.givlocal.com/,4,101 Winesap DR,Port Matilda,Pennsylvania,16870,United States,PA-12,Information Technology,"$100,000 to $1 Million","Jun 26, 2018",2017,Pennsylvania,United States,Limited Liability Company (LLC),"Manufacturer of electronic devices intended to provide payment processing solutions. The company offers hardware solutions to make payments for both retail and commercial services, thereby helping to seamlessly accept online and card payments."
Global Key Solutions Corp.,Global Key Solutions Corp.,NN3GF8T82KH4,,9RRV2,True,True,www.globalkeysolutions.net,7,4450 Sr 438,Dalton,Pennsylvania,18414,United States,PA-08,Information Technology,,"Jan 11, 2023",2023,Pennsylvania,United States,,"Developer of a regulatory compliance platform designed to assist organizations in preparing for inspections and managing compliance with structured regulatory data. The company's platform provides compliance dashboards, regulatory data tracking, audit preparation tools, keyword monitoring, and data visualization features, enabling clients to organize compliance activities."
HiMotion,Hymotion Inc.,,,,True,True,www.hymotion.com,,101 Freshway Drive Unit 12,Concord,Canada,,,,Energy,"$100,000 to $1 Million",,2005,,,Corporation,Provider of fuel cell systems. The company engages in manufacturing of battery range extender modules including plug-in hybrid modules and flex-fuel systems for nanophosphate lithium ion batteries.
HyCO Tech Solutions,"Hyco Tech Solutions, LLC",,,,True,True,www.hycotechsolutions.com,,103 Sunrise Haven Drive,Montgomery,Texas,,United States,,Energy,,,2023,,,Limited Liability Company (LLC),"Operator of a biomass electric power generation company based in Montgomery, Texas."
InceptEV,Inceptev Inc.,M6ZSG58B6VU7,,9HQR7,True,True,https://inceptev.com/,,"6200 5TH AVE, APT. 310",Pittsburgh,Pennsylvania,15232,United States,PA-12,Information Technology,,"Oct 14, 2022",2022,Delaware,United States,Corporation,"Operator of an electric vehicle data company intended for fleet operations planning and optimization. The company's platform uses proprietary data and patented technology to understand fleet performance before purchasing assets and forecast operational requirements, enabling businesses to confidently navigate the electric revolution and achieve their fleet electrification goals."
Magnitude Instruments,"Nanospec Instruments, LLC",MGD1BU9NUXP7,116835894,877Q2,True,True,https://www.magnitudeinstruments.com/,8,200 Innovation BLVD STE 205,State College,Pennsylvania,16803,United States,PA-15,Information Technology,$1 Million to $10 Million,"Apr 19, 2018",2018,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of transient absorption spectrometers designed to advance absorption spectroscopy toward unprecedented sensitivity with decreased scan times. The company has developed a noise-suppression technology that modernizes nanosecond flash photolysis spectroscopy, making it a sensitive type of spectroscopy available and does rapid measurements of small signals and allows scanning with unprecedented low-intensity photoexcitation, enabling the chemists, materials scientists and biologists to orders of magnitude improvements in sensitivity, speed and ease of use."
Medulate,"Medulate, LLC",JZ6XDD99LCD1,,,True,True,www.medulate.com,,2418 Oak Leaf DR,State College,Pennsylvania,16803,United States,PA-15,Healthcare,,"Oct 22, 2018",2018,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of a medical simulation product to enhance clinical skills. The company's product offers a variety of simulated patient scenarios covering different medical conditions and situations with haptic feedback technology to simulate tactile sensations, enabling healthcare practitioners to foster hands-on learning experiences and skill development."
Medulate,"Medulate, LLC",JZ6XDD99LCD1,,,True,True,www.medulate.com,,2418 Oak Leaf DR,State College,Pennsylvania,16803,United States,PA-15,Healthcare,,"Oct 22, 2018",2018,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of a medical simulation product to enhance clinical skills. The company's product offers a variety of simulated patient scenarios covering different medical conditions and situations with haptic feedback technology to simulate tactile sensations, enabling healthcare practitioners to foster hands-on learning experiences and skill development."
Navengage Education Technologies,Navengage Inc.,,,,True,True,www.navengage.com,6,161 Washington Street,Conshohocken,Pennsylvania,,United States,,Information Technology,,,2020,,,Corporation,"Developer of a mobile-first student engagement software designed to help educational institutions increase student engagement and boost retention. The company's software aims to advance student engagement technology so that colleges and universities have comprehensive, accurate and readily available data for decision-making and facilitates student involvement in campus activities, organizations and academic affairs through a personalized mobile app experience, enabling universities to optimize their student engagement experiences and data and track personal goals, discover university-wide engagement opportunities and network with each other."
OmniSpeech,"Omnispeech, LLC",MVJ7N2JHP3S8,832795764,5WEN5,True,True,http://www.omni-speech.com/,5,"5000 College Avenue, STE 1103",College Park,Maryland,20740,United States,MD-04,Information Technology,,"Sep 23, 2009",2009,Delaware,United States,Limited Liability Company (LLC),"Developer of AI noise suppression and noise cancellation software designed to enhance voice communication and clear speech in noisy environments. The company's speech extraction technology reduces virtually all background noise and improves voice intelligibility on any platform or device, enabling clients to eliminate noise and improve the quality of voice communication on any app or device."
"Ovrture, Inc.",Ovrture Inc.,GFSZU8W8J2H6,,9YQ26,True,True,https://www.ovrture.com/,,115 Meadowsweet DR,State College,Pennsylvania,16801,United States,PA-15,,,"Mar 6, 2017",2017,Delaware,United States,Corporation,
Phlux Technologies,Phlux Technologies Inc.,,,,True,True,www.phlux.io,3,201 North Braddock Avenue,Pittsburgh,Pennsylvania,,United States,,Information Technology,,,2020,,,Corporation,"Developer of three-dimensional safety products for industrial robotics and automation designed to make all robots collaborative. The company's safety products replace physical barriers around robots with three-dimensional digital fences powered by proprietary optical sensing technology, artificial intelligence, and computer vision, its sensors and analytics engine guard safety zones around robots and other equipment, freeing up valuable floor space, reducing setup times, and enhancing productivity, enabling clients to create advanced robots and self-driving vehicles."
ProGress Industries LLC,"Progress Industries, LLC",NSWWQLFT42J1,,9ULL2,True,True,,,1326 Greenbriar RD,York,Pennsylvania,17404,United States,PA-10,,,"Jan 8, 2018",2018,Pennsylvania,United States,Limited Liability Company (LLC),
Prompt Diagnostics,Prompt Diagnostics Inc.,L28FVGJ715D7,105269595,8TGK1,True,True,https://prompt-dx.com/,6,"2401 W Belvedere AVE, Schapiro Building Room 313",Baltimore,Maryland,21215,United States,MD-07,Healthcare,,"Jul 29, 2020",2020,Delaware,United States,Corporation,"Operator of a healthcare company intended to provide laboratory services. The company's platform provides PCR results in under 20 minutes to guide treatment, connectivity for direct integration with medical records in the hospital, fully automated sample processing in a compact cartridge and fewer components and at a fraction of the cost compared to competing devices and disposables, enabling clients to offer affordable testing so patients can receive timely and targeted care from rural hospitals to urban safety-net clinics to community health workers in developing countries."
Sagax.ai,Sagaxai Inc.,,,,True,True,www.sagax.ai,3,,Los Angeles,California,,United States,,Information Technology,,,2023,,,Corporation,"Developer of online courses and supported edtech tools designed using focused language models. The company's solutions include corporate education programs and interactive AR and VR labs alongside higher education instructional designers and knowledge management for multiple applications for programmatic grants in multiple departments, enabling customers to develop and deliver quality educational content."
Sotheby's Institute of Art,,,,,True,True,www.sothebysinstitute.com,276,570 Lexington Avenue,New York,New York,,United States,,Consumer Products and Services (B2C),$1 Million to $10 Million,,1969,,,,"Operator of an educational institution intended to focus on the study of art and its markets. The company offers master's degrees, postgraduate certificates, summer, semester and online courses, public programs as well as executive education with campuses located in the world's art capitals of London and New York, as well as online."
SparkGene Biotech,Sparkgene,,,,True,True,,2,,Los Angeles,California,,United States,,Healthcare,,,2023,,,,Provider of cell therapies intended for cancer treatment with microfluidic technology. The company is currently operating in Stealth mode.
Terraforma Carbon LLC,"Terraforma Carbon, LLC",MXTTV9J454M7,,,True,True,www.terraforma.co,4,"119 S Burrowes ST, STE 703",State College,Pennsylvania,16801,United States,PA-15,Business Products and Services (B2B),,"Jul 26, 2023",2023,Pennsylvania,United States,Limited Liability Company (LLC),"Operator of a carbon capture utilization and storage project development company intended to design, finance, and operate CCUS projects to support decarbonization efforts. The company offers comprehensive expertise in the end-to-end development of carbon capture, utilization, and storage projects, encompassing market analysis, engineering design, project finance, and project operation,enabling customers to navigate the complexities of CCUS, achieve their sustainability goals, and contribute to a low-carbon economy."
"Titanium Infrastructure, LLC.","Titanium Infrastructure, LLC",X6U4CVYGMHQ5,,81U26,True,True,https://www.titanuminfrastructure.com/,,622 Kelley RD,Belington,West Virginia,26250,United States,WV-02,,,"Apr 17, 2015",2015,West Virginia,United States,Limited Liability Company (LLC),
TurnUp,Turnup Inc.,L46CQJT9Y525,,11J04,True,False,https://turnuptalent.ai/,,1130 Piedmont AVE NE APT 905,Atlanta,Georgia,30309,United States,GA-05,Information Technology,,"May 16, 2024",2017,Georgia,United States,Corporation,"Developer of an office temperature management application intended to control the temperature inside offices. The company's platform automatically adjusts the temperature to the specified setting on the basis of data and statistics, enabling office administrators to maintain office temperature using energy-efficient techniques and reduce the number of unsatisfied office workers."
Wise Telemetry,"Wise Telemetry, LLC",,,,True,True,www.wisetelemetry.com,5,4620 Henry Street,Pittsburgh,Pennsylvania,,United States,,Information Technology,,,2014,,,Limited Liability Company (LLC),"Provider of a gas sensor system intended to aid gas distributors to monitor real-time supply and usage data. The company's system permits industrial and specialty gas providers to see real-time customer demand and enhance supply chain efficiency through the use of wireless technology, fluid mechanics, and data analytics, enabling clients to optimize deliveries and save on money and time."
Ycenter,"Ycenter Learning, LLC",,,,True,True,www.y-center.org,23,1410 North 31st Street,Philadelphia,Pennsylvania,,United States,,Business Products and Services (B2B),,,2014,,,Limited Liability Company (LLC),"Operator of a consulting and design agency intended to solve complex business and social problems using a design thinking framework. The company provides experiential workshops that prepare work skills and offers business consulting by using a human-centered design framework to create future forward and customer-centric innovations, enabling clients to meet their organization's digital needs."
Zap,"Zap Tech, LLC",,,,True,True,www.zap.tech,,,,,,,,Information Technology,,,,,,Limited Liability Company (LLC),"Developer of a blockchain platform designed for token launch protocol. The company's dashboard allows gamification elements to increase the upper banding and secure allocation in launches by completing tasks to support the team, enabling crypto investors and digital currency founders to have launch accessibility."
