Account Name,DUNS Number,Firm Name,UEI
Lica-Tech,105057560,,
360 Dash,042021715,,
Gibbs Marketing,059826609,,
Drizzle Health,112004162,,
VijoGeo,042494501,,
Quantum Senses,127667065,,
BioBind,117369372,,
SinnovaTek,080448980,"SinnovaTek, Inc.",NBNDLN41NZK7
Sanyal Biotechnology,098615542,,
SpherIngenics,808554526,"Spheringenics, Inc. ",
Valor Rx,080762530,,
Tailored fit,62373252,,
ThermaGEL Innovations,119176207,,
Chesapeake Visions,087952661,,
Custom Spray Solutions,049115730,,
SecondWrite,963575498,SecondWrite LLC,
Gustavo Vecino,142376693,,
MediaVax,117652951,,
Michelle Bailey Creative,108187059,,
Pixelrain AI,119193231,,
Move And Still,118545234,,
Genetoo,080734985,,
OncoRedox LTD,625918642,,
Metabaxis Scientific,118270278,,
ThinTherm,80278623,,
Color Space,788239333,,
Aquaponics AI,117517134,,
KinaMark,080347080,,
AmyloidX,117681235,,
"Kenny & Vettori, LLP",089014344,,
Netglo Corporation,186914383,,
Lightwork Publishing,128591028,,
Walktime Books,098126143,,
Cene Beauty,041621446,,
InZone,066515900,,
UnitedCompass,113724802,,
United America Corporation,129547051,,
Artistanda,051815438,,
Cynthia Rumph,128942659,,
Unicm,023450519,,
Worlds of Hello,057447636,,
Fitrepp,059809743,,
Onewayllc,063644781,,
ICmed,080218896,,
KeyGen Data,130851309,,
Awarables,079133491,Awarables Inc.,MA67M5DKK3F9
CoapTech,080322442,"CoapTech, LLC",V2QJESMXQN25
Cykloburn Technologies,080705054,CykloBurn Technologies LLC,
Esurgi,080017803,,
Hop Flyt,085414534,,
Itutela,832348630,,
JuneBrain,080691506,"JUNEBRAIN, INC.",J1KGJ1C8CS36
Luvozo,078837204,LUVOZO PBC,
Latent Robotics,118418188,,
Tasbee,138085976,,
HerSecure,117909326,,
Stacks Data,085302385,,
QOPTO Technologies Private Limited,930651684,,
Cursive Technology,121710048,,
Full Blast STEAM,112087773,,
RADECO,040817864,,
X-Informatics,124892124,,
Sociable AI,066623346,,
Floraponics,127093041,,
Kaalmi,120779647,,
Generation Four Bicycle System Engineering,129565100,,
Jessbe Creative,049036868,,
Naz International Hair and Beauty,106513085,,
Iffirm,062926250,,
Extraordinary Library Adventure,114500702,,
Tony's Kitchen & Bakery,125421762,,
Neopathology Corp.,119066452,,
SoHive,118312199,,
Quantum Leaf Solutions,047006665,,
The Impact Project,786262113,,
Green Revival,088808115,,
Creative Genius Works,111336109,,
Mabely Q,086489633,,
Digii Digital,100892218,,
Brayearst Validation Consulting,125667420,,
Rambob Training Services,105916414,,
Jay's Watermelonade,104027556,,
MF Fire,079498506,,
Conjectura,943240999,,
SwiftDock,841191419,,
X-CDI,004671537,,
TSESSEBE Technologies,129660314,,
NewCopper,066679137,,
ScienceCast,077483193,,
LightSiNC NanoTech,127521863,,
Ariciano,115779187,,
Advanced Optronics,117952250,ADVANCED OPTRONICS INC.,X8BVTKLATEA3
Bee and Buttafly,117811097,,
ItinAFairy,006080413,,
Flexicharge,128932323,,
RIDO,130258870,,
BioBarrier,117535912,,
OtherWordly,108053951,,
1eq,078840888,,
Accelevir Diagnostics,079940153,ACCELEVIR DIAGNOSTICS LLC,F6SKM7YHCUS7
Active Genomes Expressed Diagnostics,063993375,,
Anacrusis,065372017,,
ArtiMed,117640405,,
Avasys,079752014,,
Bubble CPAP Institute,102430607,,
CeleFlux,111259143,,
Clearview Organizational Assessments,079478733,,
CoastWize,080521526,,
DOT Consulting,094883983,,
Edessa,786516661,,
E-Pulse,080365030,,
Firehawk Press,004034249,,
GLOWGADGET,081030767,,
InnovateTech Ventures,825050102,,
Intergalactic Education,066066493,,
Kesem Health PTY LTD,743967162,,
KnoNap.,041353980,,
American Biosystems,602165870,,
Local Home Care Partners,126217431,,
Loop Mobility,079887317,,
Maxterial,079988299,"Maxterial, Inc.",XMBQMJV3JJD9
Medical and Educational Perspectives,79800131,,
Natural Numerix,080048181,,
Neurgain Technologies,081264051,,
Nexus 8 International,080275127,,
Nikou,12062484,,
OccasionGenius,107411629,,
Park & Diamond,066294970,,
PathoVax,076398409,PATHOVAX LLC,JSD7DWXSGWN1
PYT Funds,080012416,,
READY Robotics Corporation,069665538,,
Renalert,080175310,,
Revolve Biotechnologies,079540413,"Revolve Biotechnologies, Inc.",H1N6WSMKFR54
Seedomics,116671458,,
TactiMed Corporation,054136110,,
TBT Pharma,080798732,,
Tegrex Technologies,79475116,,
TIME Systems,605691505,,
Xopolis,081153689,Xopolis LLC,LBB3NATLFBP5
Yard Mapper,045795503,,
Emergency Detection Systems,839597965,,
JK Innovations,009384704,,
LifeGene-Biomarks,968756119,"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5
EduMD,061860043,,
Reciprocity Health,117761181,,
Your Health Concierge,043278452,,
The Digital Health & Wellness Institute,043146176,,
Islex Therapeutics,069483045,,
Camelia,361528144,,
C Deeply,062736307,,
Bionectech,131539534,,
Runmic,119235910,,
Geekscode,132764623,,
MiMoCloud,964438944,MIMOCLOUD INC,KS8VTNJSQ1D6
Precision Cellular Immunology,132398615,,
ThisTown,126700490,,
Mystereo,069749651,,
Manta Pharma,132165758,,
WeNite,119370082,,
Labwork Flows,134524017,,
The Foundry of Hope,129865343,,
Hydropore,117622309,,
Opex Advantage,118999407,,
"Ambigent, Inc.",131959920,,
Shabboard,132262400,,
