UEI,Name,Street Address,City,State,Zip Code,Website,SBIR Profile Link,duns,number_employees
VF8ZC4A4ZWL9,SAFETYSPECT INC,4200 JAMES RAY DR,GRAND FORKS,ND,58202-6090,https://www.safetyspect.com/,https://www.sbir.gov/portfolio/1499203,80562947.0,17
VF8ZC4A4ZWL9,SAFETYSPECT INC,4200 JAMES RAY DR,GRAND FORKS,ND,58202-6090,https://www.safetyspect.com/,https://www.sbir.gov/portfolio/1499203,80562947.0,17
VF8ZC4A4ZWL9,SAFETYSPECT INC,4200 JAMES RAY DR,GRAND FORKS,ND,58202-6090,https://www.safetyspect.com/,https://www.sbir.gov/portfolio/1499203,80562947.0,17
LM98CNVAUTG5,"IM Technologies, LLC",24 Robinson St,Shoreham,NY,11786-2128,www.imtechllc.com,https://www.sbir.gov/portfolio/1665117,117200978.0,3
LM98CNVAUTG5,"IM Technologies, LLC",24 Robinson St,Shoreham,NY,11786-2128,www.imtechllc.com,https://www.sbir.gov/portfolio/1665117,117200978.0,3
ZWK6WMUV43G5,TELOHEALTHDX LLC,23003 FREDERICK RD,CLARKSBURG,MD,20871-9428,,https://www.sbir.gov/portfolio/2263357,118793982.0,2
JBJ7EF1MD9P1,Sorbenta Inc,107 E POPLAR AVE,CARRBORO,NC,27510-1709,,https://www.sbir.gov/portfolio/2420787,,2
JBJ7EF1MD9P1,Sorbenta Inc,107 E POPLAR AVE,CARRBORO,NC,27510-1709,,https://www.sbir.gov/portfolio/2420787,,2
JBJ7EF1MD9P1,Sorbenta Inc,107 E POPLAR AVE,CARRBORO,NC,27510-1709,,https://www.sbir.gov/portfolio/2420787,,2
LDHKC12HSJ86,"Predictive, LLC",2806 Treasures Ln,Raleigh,NC,27614-7631,https://www.predictive-llc.com/,https://www.sbir.gov/portfolio/1617725,117131092.0,4
LDHKC12HSJ86,"Predictive, LLC",2806 Treasures Ln,Raleigh,NC,27614-7631,https://www.predictive-llc.com/,https://www.sbir.gov/portfolio/1617725,117131092.0,4
NMDVSFDSVCB4,AXNANO LLC,2901 E GATE CITY BLVD,GREENSBORO,NC,27401-4901,www.axnano.com,https://www.sbir.gov/portfolio/664448,969638274.0,7
QTYLAVN4EJR6,MIZAR THERAPEUTICS INC.,7 MBL ST LILLIE 220,WOODS HOLE,MA,02543,,https://www.sbir.gov/portfolio/2443577,,4
DAF9XL6P2BG5,ACCUNOVO BIOTECHNOLOGIES INC,211 LAKE MANOR RD,CHAPEL HILL,NC,27516-4322,,https://www.sbir.gov/portfolio/1648085,53776397.0,1
DAF9XL6P2BG5,ACCUNOVO BIOTECHNOLOGIES INC,211 LAKE MANOR RD,CHAPEL HILL,NC,27516-4322,,https://www.sbir.gov/portfolio/1648085,53776397.0,1
QUJ8BQ1CFAS2,"CurieDx, Inc",634 REGESTER AVE,BALTIMORE,MD,21212-1917,https://www.curiedx.com,https://www.sbir.gov/portfolio/2078501,102429643.0,1
QUJ8BQ1CFAS2,"CurieDx, Inc",634 REGESTER AVE,BALTIMORE,MD,21212-1917,https://www.curiedx.com,https://www.sbir.gov/portfolio/2078501,102429643.0,1
L28FVGJ715D7,"Prompt Diagnostics, Inc.",2401 W Belvedere Ave,Baltimore,MD,,https://www.prompt-dx.com/,https://www.sbir.gov/portfolio/2057589,105269595.0,8
GGR9ABCTBGG5,"LIFEGENE- BIOMARKS, INC",1612 AVENIDA PONCE DE LEON,SAN JUAN,PR,00909-1833,http://lifegenedna.com,https://www.sbir.gov/portfolio/1203221,968756119.0,1
GGR9ABCTBGG5,"LIFEGENE- BIOMARKS, INC",1612 AVENIDA PONCE DE LEON,SAN JUAN,PR,00909-1833,http://lifegenedna.com,https://www.sbir.gov/portfolio/1203221,968756119.0,1
GGR9ABCTBGG5,"LIFEGENE- BIOMARKS, INC",1612 AVENIDA PONCE DE LEON,SAN JUAN,PR,00909-1833,http://lifegenedna.com,https://www.sbir.gov/portfolio/1203221,968756119.0,1
QH88DLKTLQM6,"Nanocrine, Inc.",3011 Palatine Dr.,Frederick,MD,21701,https://www.nanocrine.com,https://www.sbir.gov/portfolio/1692755,117497549.0,1
UFHYM6EJN7L3,"MELATECH, L.L.C.",615 N WOLFE ST,BALTIMORE,MD,21205-2103,,https://www.sbir.gov/portfolio/1499101,81262454.0,4
UFHYM6EJN7L3,"MELATECH, L.L.C.",615 N WOLFE ST,BALTIMORE,MD,21205-2103,,https://www.sbir.gov/portfolio/1499101,81262454.0,4
NMDVSFDSVCB4,AXNANO LLC,2901 E GATE CITY BLVD,GREENSBORO,NC,27401-4901,www.axnano.com,https://www.sbir.gov/portfolio/664448,969638274.0,7
