Account Name,Legal Name,UEI,DUNS,CAGE,Company Exists,Active,Company Website,Employees,Street Address,City,State,Zip Code,Country,Legislative District,Industry,Annual Revenue Range,Incorporation Date,Incorporation Year,Incorporation State,Incorporation Country,Incorporation Type,Description
EnviroScan,Enviroscan Inc.,,,,True,True,www.enviroscan.com,9,3020 Columbia Avenue,Lancaster,Pennsylvania,,United States,,Business Products and Services (B2B),,,1992,,,Corporation,"Provider of environmental investigation services intended to undertake geophysical surveys. The company's activities include detecting and mapping underground, underwater or otherwise subsurface (hidden) objects or features of the land, enabling its clients to know critical information about past, present and future site conditions of the land, that cannot be obtained through physical investigations."
AxNano LLC,"Axnano, LLC",NMDVSFDSVCB4,969638274,6NXP3,True,True,https://www.axnano.com/,,"2901 E Gate City BLVD, STE 2200",Greensboro,North Carolina,27401,United States,NC-06,Business Products and Services (B2B),,"Aug 16, 2011",2011,Delaware,United States,Limited Liability Company (LLC),"Operator of an innovative commercialization company intended to transform how PFAS and other emerging contaminants are captured and destroyed. The company's nanotechnology-enabled products use controlled-release polymer and zero-valent iron-based composites for treating contaminated water, enabling users to receive low-cost, safe, and sustainable methods of remedying groundwater."
Olea Health,,,,,True,True,www.oleaai.com,10,,,,,,,Consumer Products and Services (B2C),,,2024,,,,"Operator of a healthcare technology platform intended to bridge the gap between health information and underserved communities. The company offers AI-powered communication tools, like Olea SMS, that ensure a seamless flow of tailored and jargon-free health information across multiple languages directly to patients' mobile devices, even without internet connectivity, enabling customers to receive critical health updates, schedule appointments, and understand medical information more effectively regardless of their location or technological limitations."
Amlal Pharmaceuticals,Amlal Pharmaceuticals Inc.,UQN1CKG4QYL5,,9TLF6,True,True,,,209 Hosea AVE,Cincinnati,Ohio,45220,United States,OH-01,Business Products and Services (B2B),,"Jul 1, 2020",2020,Ohio,United States,Corporation,The company is currently operating in Stealth Mode.
Metabolic Dynamics,Metabolic Dynamics Inc.,DWN3ESJ3VNN8,,9FYL9,True,True,https://www.metabolicdynamics.com/,,3714 Eton RD,Durham,North Carolina,27707,United States,NC-04,,,"Jul 7, 2022",2022,Delaware,United States,Corporation,
LevoSens,Levosens Inc.,Z2X8FX7ST8L7,,10Q27,True,True,https://www.oncovana.com/,,123 W Franklin ST STE 550,Chapel Hill,North Carolina,27516,United States,NC-04,,,"Feb 28, 2025",2025,North Carolina,United States,Corporation,
Selah Innovations LLC,"Selah Innovations, LLC",WXYFL7VK8NP4,,,True,True,www.thebedet.com,,6212 Sandy Forks RD,Raleigh,North Carolina,27615,United States,NC-02,Healthcare,,"May 26, 2023",2022,North Carolina,United States,Limited Liability Company (LLC),"Developer of a medical appliance intended to collect urine and feces. The company's device slides directly under a person without heavy lifting or turning, allows for angle and elevation adjustment, cleans, organizes, and segregates excreta, and can be reused multiple times due to its self-cleaning system, providing nurses and caregivers with a hygienic and non-intrusive alternative to manage patient's fecal matter."
Style Magnet,,,,,True,True,stylemagnet.co,2,,Raleigh,North Carolina,,United States,,Consumer Products and Services (B2C),,,2021,,,,"The company primarily operates in the Specialty Retail industry. Style Magnet was founded in 2021 and is headquartered in Raleigh, NC."
Epigenos Biosciences Inc,Epigenos Biosciences Inc.,,,,True,True,www.epigenos.com,,5151 McCrimmon Parkway,Morrisville,North Carolina,,United States,,Healthcare,,,2018,,,Corporation,Developer of drug therapy. The company develops personalized epigenome-based therapeutics that leverage Cas9 technology to treat diseases at the root of gene misregulation.
Sikaram Laboratories,"Skr Carolina, LLC",PQUZXQ7ZVTR1,,,True,True,www.sikaramlabs.com,,625 Catalina Grande DR,Cary,North Carolina,27519,United States,NC-02,Healthcare,,"Nov 30, 2023",2023,North Carolina,United States,Limited Liability Company (LLC),"Operator of a precision medicine platform designed to enhance clinical trial efficiency. The company utilizes wet lab capabilities and AI-powered multiomics analysis, enabling researchers and healthcare professionals to uncover deeper biological insights, thereby accelerating trials and reducing costs."
Radiant Dx Inc,Radiant Dx Inc.,U6TJRX9B3FX5,,9NJU1,True,False,www.radiantdx.com,,5604 Centennial DR,Durham,North Carolina,27712,United States,NC-04,Healthcare,,"Jun 21, 2023",2023,Delaware,United States,Corporation,"Provider of diagnostics consultancy services intended to assist companies in utilizing innovative technology to address needs in healthcare. The company's expertise includes live-cell assays, spanning fields from infectious diseases to oncology, and offers services concentrated on the feasibility and development of early-stage products, culminating in evidence-based, practical diagnostic solutions."
Sonotherapeutics,Sonotherapeutics Inc.,U8U5AJCYXL49,,,True,True,,,10 Morgans Ridge LN,Durham,North Carolina,27707,United States,NC-04,,,"Nov 19, 2024",2024,Delaware,United States,Corporation,
MBlue Labs,"Magic Blue Labs, LLC",,,,True,True,www.bluelene.com,4,,Bethesda,Maryland,,United States,,Consumer Products and Services (B2C),,,2018,,,Limited Liability Company (LLC),"Operator of an anti-aging skincare products company intended to preserve skin cell health with anti-oxidant skin formulation. The company's products use methylene blue which extends the life span of individual skin cells to improve overall skin connective tissue and wound healing, enabling men and women to take proper care of their skin."
Delgen Biosciences,Delgen Biosciences Inc.,,,,True,True,,2,408 Ironwoods Drive,Chapel Hill,North Carolina,,United States,,Healthcare,,,2020,,,Corporation,"Operator of a biotech startup to intended for drug delivery. The company innovates in biocompatible nanomaterials and develops drug delivery technologies for creating ophthalmic drugs, enabling customer to find drug delivery vehicles with many coveted features."
GolfDr,"Drive Health Solutions, LLC",YE16YSAYMX45,,,True,True,https://www.drivept.com/,,527 Belgian Red WAY,Wake Forest,North Carolina,27587,United States,NC-02,,,"Oct 25, 2021",2021,North Carolina,United States,Limited Liability Company (LLC),
CurieDx,Curiedx Inc.,QUJ8BQ1CFAS2,102429643,95J39,True,True,https://www.curiedx.com/,6,634 Regester AVE,Baltimore,Maryland,21212,United States,MD-02,Healthcare,,"Feb 23, 2021",2021,Maryland,United States,Corporation,"Developer an artificial intelligence-driven diagnostic tools designed to analyze medical images to improve cancer diagnoses. The company's tools utilize smartphone images, deep learning AI, and telehealth integration for common childhood illnesses from the comfort of their own home and remote settings, enabling telehealth providers and patients with point-of-care tests using images."
CurveAssure,Curveassure Inc.,,,,True,True,www.curveassure.com,7,307 Washington Avenue,Towson,Maryland,,United States,,Healthcare,,,2022,,,Corporation,"Manufacturer of wearable and digital technologies intended to provide comprehensive spinal insights to clinicians. The company's products analyze movement, muscular compensation, and pain over a forty-eight-hour window, enabling spine surgeons and pain management practitioners with information about their patients in a natural environment to facilitate personalized spine care."
NurseTech,Nurse Tech Inc.,,,,True,True,nursetech.com,3,2248 International Blvd,Oakland,California,,United States,,Information Technology,,,2011,,,Corporation,"The company primarily operates in the IT Consulting and Outsourcing industry. Nurse Tech was founded in 2011 and is headquartered in Oakland, CA."
Origin Endoscopy Inc.,Origin Endoscopy Inc.,FNG7WGQLJ2U6,,,True,True,www.originendoscopy.com,,1812 Ashland AVE STE 100,Baltimore,Maryland,21205,United States,MD-07,Healthcare,,"Sep 20, 2022",2022,Delaware,United States,Corporation,"Developer of endoscopy products designed to control gastrointestinal bleeding. The company specializes in diagnostics and reducing bleeding after a polyp procedure focusing on lower bowel and seal wounds, providing doctors with patient outcomes for procedures such as endoscopic mucosal or submucosal dissection."
Patient Premier,"Patient Premier, LLC",V4ATMAJ4CWM5,,8JTY9,True,True,https://www.patientpremier.com/,6,7006 Rock Stream CT,Baltimore,Maryland,21209,United States,MD-03,Healthcare,"$100,000 to $1 Million","Jun 20, 2017",2017,Maryland,United States,Limited Liability Company (LLC),"Developer of medical system designed to document the effectiveness of care. The company's system improves collaboration and teamwork through objective standardized measurement of pain they assist healthcare decisions for quality of life with reduced expenses to those who pay for care, enabling payers and clinical teams to prevent frivolous usage of medications and to document evidence in support of therapy for prior authorization."
Aptabridge Therapeutics Inc.,Aptabridge Therapeutics Inc.,UCYJY5RP56P6,,9TD41,True,True,https://www.aptabridge.com/,6,516 South Patterson Park Avenue,Baltimore,Maryland,21231,United States,MD-07,Healthcare,,"Dec 27, 2021",2021,Delaware,United States,Corporation,"Developer of a drug design platform designed to leverage DNA nanoparticles for immunotherapy. The company specializes in bringing nanoparticles to clinics and revolutionizing the approach to personalized medicine, enabling patients to provide lifesaving immunotherapeutics."
