Account Name,DUNS Number,UEI
SpringGem Weather Information,80641804,FFFNG83J2BB8
"Drakeford, Scott & Associates",79419713,V8YFMSSK77N8
"Recurrent Computing, Inc.",117081688,
Tauros Engineering,78738840,
The Black Vote,9480202,
Impruvon,117538845,
Relai,118228250,
Prothymos Technologies,117022385,
AllTrueVision Studios,40470584,
GaiaXus,118471415,
Training Optimization System,79188296,
Guaq Technologies,46354779,
DeJesus Solutions,34192391,
Intraderm,80472741,M3USP5FEM621
Illuminate Therapeutics,46277683,WVLWH6J17CP5
Enployable,119208624,
High Noon Southern Fine Cuisine & Seafood,56927933,
Archerfish Co.,44315626,
Elipsys,74163568,
Phase,117760600,
Astek Diagnostics,117652556,DWMKQ81LJLW1
Deeper Learning,101089946,
HaloCyTech,117191265,
Empowered Wellness,25133160,
The Literacy Rescue,117486447,
UNC Weight Research,7070293,
Djit Medtech,115827901,KU2RRLE13PT7
Edulis Therapeutics,118891745,
Tri-IT Solutions,968326137,YLNASL261GA3
Emission Strategies,142199434,
Cusack Prep,117478287,
Hanan Samet Associates,13473886,
DeepMirror,117366055,NVAPN3SRGMN4
Gmork Tech,36021241,NW97GJ23ZPL5
Glycan Therapeutics,78778864,KYG3DZSMH4R7
Kurbie,76473290,
Xeddy,118884744,
HR Geckos,52128054,
New Integration Photonics,157111472,V53MN9576TE6
Hydraze,109448890,
BSS Technologies,29999322,
MesaGreen Pharmaceutical Co.,80178621,
Integrated Pharma Services,81097360,VCPJA4KNKQ54
Trivance Design,20650009,
Epsilon Innovation,78606922,ML66M68KB839
Carbon Lockdown Project Benefit,100068032,KVWPFSBJWC78
NuMoon Spectroscopy,81230811,
Pocket Planner,117328676,
You Heal With Horticulture,81499283,RFGGXKD7RT17
Error Corp.,118063727,UAQADPJ23Q97
The Bowie Sun,23387444,
Vitalize Care,96195348,
STORC,119591462,
Weinberg Medical Physics,809594661,K5D7EN4J1FR7
Inception Robotics,118090977,WNM4TLXDFJX6
SentiMetrix,793779237,QC8LYF3ND8A4
Scinetics,116758324,MWCXWZ6LWMF9
Act2End,99241409,X8E8G4KQVSD3
MedaApptic,81202141,
Ballmecca,118888152,DLPVMSGG4KJ7
Alchemity,5583700,
Lica-Tech,105057560,
QubitSolve,111182942,R7ATY9SFJ241
CooperSoft,602391091,VCZ1ANBRUTX5
360 Dash,42021715,
Sustainabli,128954218,R8MNZ353X632
Gibbs Marketing,59826609,
Drizzle Health,112004162,
VijoGeo,42494501,
Xperience Science,56390413,ZG1ESGHLVBY7
Quantum Senses,127667065,
Precision Neuroscopics,80095189,M9A9DK34GNN7
BioBind,117369372,
SinnovaTek,80448980,
Sanyal Biotechnology,98615542,
NextStep Robotics,80658816,F896MG5LQ6R4
SpherIngenics,808554526,
Scaled Microbiomics,80733930,RXBHU5F1N5B8
Valor Rx,80762530,
Tailored fit,62373252,
ThermaGEL Innovations,119176207,
Chesapeake Visions,87952661,
Custom Spray Solutions,49115730,
Vortex Space Systems,106500059,M2A2NQ91DNM9
SecondWrite,963575498,
Gustavo Vecino,142376693,
MediaVax,117652951,
Campostella Research and Consulting,127332417,YPL3PSFKSJ49
Michelle Bailey Creative,108187059,
Pixelrain AI,119193231,
Smart HLPR,98746982,GXVCMTLKZP96
Move And Still,118545234,
Genetoo,80734985,
OncoRedox LTD,625918642,
Metabaxis Scientific,118270278,
ThinTherm,80278623,
Color Space,788239333,
Aquaponics AI,117517134,
KinaMark,80347080,
RemBac Environmental,80846455,ESU1JMK4DYJ4
Lensguide Imaging Technology,86943590,VGLLXNMDNHQ5
AmyloidX,117681235,
"Kenny & Vettori, LLP",89014344,
Netglo Corporation,186914383,
Resilient Lifescience,118740052,TCT3X4JFLTP8
PFF,80531842,P25AZ6WDJ589
Assure Technologies,81069857,MHJUNMMNSN47
Predictive,117131092,LDHKC12HSJ86
Lightwork Publishing,128591028,
Walktime Books,98126143,
Wave Welcome,832376235,K6U9KE5XD7B1
Cene Beauty,41621446,
Second Star Robotics,112886364,U1NSNPBC3J14
"Freshmeet U., L.L.C.",122282654,HV1DC9MV4F17
InZone,66515900,
UnitedCompass,113724802,
United America Corporation,129547051,
Artistanda,51815438,
Cynthia Rumph,128942659,
Unicm,23450519,
Worlds of Hello,57447636,
Fitrepp,59809743,
etGFTD,111341741,EB41AXEK57W3
Onewayllc,63644781,
ICmed.,80218896,
KeyGen Data,130851309,
Liatris,116913533,PJ9WKMRVDDX6
Awarables,79133491,
CoapTech,80322442,
Cykloburn Technologies,80705054,
Esurgi,80017803,
Hop Flyt,85414534,
Itutela,832348630,
JuneBrain,80691506,
Luvozo,78837204,
Mimetas US,79170146,
miRecule,80160327,D2DDKPAALJR3
Opal HTM,80952887,KW2NMJ1EGY69
RedShred,79393231,GU8RZGZXU5K7
Sonavex,79208177,EFQ8AGCC5HK7
Latent Robotics,118418188,
Tasbee,138085976,
Nicelle Technologies,119162583,UYWZM8MHL2W7
HerSecure,117909326,
Stacks Data,85302385,
AGAPE Strategic Solutions of Maryland,123691592,RQVUQQ9T9MT6
Alperian,40776988,SXRRDFTN2547
QOPTO Technologies Private Limited,930651684,
Cursive Technology,121710048,
Future State Health Information Management Systems,129565100,HD9FG4TZAU83
Full Blast STEAM,112087773,
Kgenetix Farm,129671299,U54CHNEY9DB8
RADECO,40817864,
X-Informatics,124892124,
Redhelm Labs,128948637,XYFQDVGF8WM5
Sociable AI,66623346,
Floraponics L.L.C.,127093041,
Magnify Biosciences,119194347,UYGVDZDSW9Q3
Kaalmi,120779647,
Generation Four Bicycle System Engineering,129565100,
Coordle,118808334,VGQWB5E7F3K3
Jessbe Creative,49036868,
Naz International Hair and Beauty,106513085,
S.O.S.A.B.,118216939,UJ6KWR81THW3
InceptEV,38695421,M6ZSG58B6VU7
Iffirm,62926250,
Extraordinary Library Adventure,114500702,
Kandih Group,79299148,T9Q7HEENL936
Tony's Kitchen & Bakery,125421762,
Neopathology Corp.,119066452,
Aquatonomy,118281841,S324XC4V3N25
SoHive,118312199,
Quantum Leaf Solutions,47006665,
The Impact Project,786262113,
Green Revival,88808115,
LINKSciences,79757348,SJ8VA2F7QDN4
Creative Genius Works,111336109,
Mabely Q,86489633,
Digii Digital,100892218,
Brayearst Validation Consulting,125667420,
TerraPulse,79828135,T37JWJDD79T4
Rambob Training Services,105916414,
Studio 60 Technologies,104019739,JCRMX8TVRJH7
Jay's Watermelonade,104027556,
Signum Technologies,98039326,FT3BP3AWEK43
MF Fire,79498506,
Conjectura,943240999,
SwiftDock,841191419,
X-CDI,4671537,
TSESSEBE Technologies,129660314,
NewCopper,66679137,
Raven Biomaterials,117600367,MKSMZM1F78Q3
ScienceCast,77483193,
LightSiNC NanoTech,127521863,
Gambix,117833130,PH2JL5JA1HV9
Vizulingo,119142769,HDU5ZNBABLZ1
Ariciano,115779187,
Advanced Optronics,117952250,
Bee and Buttafly,117811097,
The Black Brain Trust,126537585,PUQGYW1L81D7
ItinAFairy,6080413,
Ionic Devices,125435955,WKDMT9PHX1N7
Flexicharge,128932323,
RIDO,130258870,
BioBarrier,117535912,
OtherWordly,108053951,
And Battery Aero,118997426,HGE9SXSJGSD9
Red Ace Bio,68126401,E58LVNGXNLK3
1eq,78840888,
Accelevir Diagnostics,79940153,
Advanced Aircraft,81266812,NBN3LGEXEH39
Active Genomes Expressed Diagnostics,63993375,
AliquantumRx,79880414,TKSWMKLG1J43
Anacrusis,65372017,
Armaments Research Company,42252925,F6KMMJAFFB47
ArtiMed,117640405,
Ashvattha Therapeutics,118048398,JK5CPL9WDQ85
Avasys,79752014,
Bubble CPAP Institute,102430607,
CeleFlux,111259143,
Clearview Organizational Assessments,79478733,
CoastWize,80521526,
Cogwear,81351374,GLCKGGL5BLA3
Datasembly,79427333,KY7CFJUMWP97
DOT Consulting,94883983,
Edessa,786516661,
E-Pulse,80365030,
Firehawk Press,4034249,
Flourish & Thrive Labs,116708098,YY7YBLR4LX35
Fzata,80062872,SLGDVHJS1Y85
GLOWGADGET,81030767,
Gray Zone Solutions,116817048,RWMNUWBCKAJ9
InnovateTech Ventures,825050102,
Intergalactic Education,66066493,
Kesem Health PTY LTD,743967162,
KnoNap.,41353980,
American Biosystems,602165870,
Local Home Care Partners,126217431,
Loop Mobility,79887317,
Materic,130507444,HZ5UWCKDVJJ3
Maxterial,79988299,
Medical and Educational Perspectives,79800131,
Nanochon,80214423,HSAAS2NTM6K3
NanoDirect,79086503,DK1KNJNL7YV5
Emergency Medical Innovation,122282235,HWVLQYF3WH94
Natural Numerix,80048181,
Neurgain Technologies,81264051,
Nexus 8 International,80275127,
Nikou,12062484,
OccasionGenius,107411629,
Pancopia,79618271,ZRV7TNXZPDJ3
Park & Diamond,66294970,
PathoDynamics,6989629,MHRXDJYJAPU9
PathoVax,76398409,
PYT Funds,80012416,
PediaMetrix,81060963,M41ALBKWRKL5
Penin Inc Publishing LLC,66077802,
"Perform-Link, LLC",47628246,
READY Robotics Corporation,69665538,
Renalert,80175310,
Revolve Biotechnologies,79540413,
Rhizome Data,117657405,UJHYTZ3RM7U6
Scanogen,78393619,JK9PMLM41J77
Seedomics,116671458,
SeeHear,78852997,NNGGL4HBEAW1
Sensing Machines,620867593,DQE7VT6GUTQ1
SmartBridge,81327379,MBF8QJZTKL83
Stealth Startup,34192437,
StoCastic,80073697,L291S2FT3X95
TactiMed Corporation,54136110,
TBT Pharma,80798732,
Tegrex Technologies,79475116,
The Cube Cowork,28967916,
TIME Systems,605691505,
True Bearing Diagnostics,80790613,E6K4D6DGCD65
Xopolis,81153689,
Yard Mapper,45795503,
Emergency Detection Systems,839597965,
Ascending,40018651,N2VULU7Z6JY5
JK Innovations,9384704,
LifeGene-Biomarks,968756119,
EduMD,61860043,
Reciprocity Health,117761181,
Your Health Concierge,43278452,
BioSieve,100497077,QFCBNR7T23C6
The Digital Health & Wellness Institute,43146176,
Islex Therapeutics,69483045,
Camelia,361528144,
Karaman Language Solutions,81207014,J5LLMNDMRVW1
C Deeply,62736307,
Bionectech,131539534,
Aquatic Circle,11233274,UTC8F226B8N7
Word of Mouth Technologies,117625770,FF13BNHWLH18
Runmic,119235910,
Tova Earth,118547734,W886HL64A9L7
Quantum Sensor Technologies,129521916,PWTULSNA3WW5
Geekscode,132764623,
MiMoCloud,964438944,
Zenith Data Solutions,132094247,YJ8WB14NXM79
AI SENSE,132162396,S2LAUP52NE29
Precision Cellular Immunology,132398615,
ThisTown,126700490,
Mystereo,69749651,
Manta Pharma,132165758,
WeNite,119370082,
Labwork Flows,134524017,
Reversal Therapeutics,79433203,L3M7TYA636C5
The Foundry of Hope,129865343,
Hydropore,117622309,
Green Mechanics Benefit,99394299,MPV1C4YKNHE8
Opex Advantage,118999407,
Ambigent,131959920,
Shabboard,132262400,
