prime_award_unique_key,prime_award_fain,prime_award_amount,prime_award_base_action_date,prime_award_base_action_date_fiscal_year,prime_award_latest_action_date,prime_award_latest_action_date_fiscal_year,prime_award_period_of_performance_start_date,prime_award_period_of_performance_current_end_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_award_awarding_sub_agency_code,prime_award_awarding_sub_agency_name,prime_award_awarding_office_code,prime_award_awarding_office_name,prime_awardee_uei,prime_awardee_duns,prime_awardee_name,prime_awardee_parent_uei,prime_awardee_parent_duns,prime_awardee_country_code,prime_awardee_country_name,prime_awardee_address_line_1,prime_awardee_city_name,prime_awardee_county_fips_code,prime_awardee_county_name,prime_awardee_state_fips_code,prime_awardee_state_code,prime_awardee_state_name,prime_awardee_zip_code,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,prime_award_primary_place_of_performance_scope,prime_award_primary_place_of_performance_city_name,prime_award_primary_place_of_performance_county_fips_code,prime_award_primary_place_of_performance_county_name,prime_award_primary_place_of_performance_state_fips_code,prime_award_primary_place_of_performance_state_code,prime_award_primary_place_of_performance_state_name,prime_award_primary_place_of_performance_address_zip_code,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,prime_award_primary_place_of_performance_country_code,prime_award_primary_place_of_performance_country_name,prime_award_base_transaction_description,prime_award_cfda_numbers_and_titles,subaward_type,subaward_fsrs_report_id,subaward_fsrs_report_year,subaward_fsrs_report_month,subaward_number,subaward_amount,subaward_action_date,subaward_action_date_fiscal_year,subawardee_uei,subawardee_duns,subawardee_name,subawardee_country_code,subawardee_country_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_code,subaward_recipient_cd_original,subaward_recipient_cd_current,subawardee_business_types,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_code,subaward_place_of_performance_cd_original,subaward_place_of_performance_cd_current,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,usaspending_permalink,subaward_fsrs_report_last_modified_date,prime_award_disaster_emergency_fund_codes,prime_award_total_outlayed_amount,prime_award_funding_agency_code,prime_award_funding_agency_name,prime_award_funding_sub_agency_code,prime_award_funding_sub_agency_name,prime_award_funding_office_code,prime_award_funding_office_name,prime_award_treasury_accounts_funding_this_award,prime_award_federal_accounts_funding_this_award,prime_award_object_classes_funding_this_award,prime_award_program_activities_funding_this_award,prime_awardee_dba_name,prime_awardee_parent_name,prime_awardee_business_types,subawardee_dba_name,subawardee_parent_uei
ASST_NON_R18HS026640_7528,R18HS026640,2435858.0,2018-09-14,2018,2024-04-26,2024,2018-09-30,2023-12-31,75,Department of Health and Human Services (HHS),7528,Agency for Healthcare Research and Quality,75AHRQ,AHRQ Office of Management Services/Division of Grants Management,FTMTDMBR29C7,,"JOHNS HOPKINS UNIVERSITY, THE",FTMTDMBR29C7,,USA,UNITED STATES,3400 N CHARLES ST,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212182608,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Connected Emergency Care (CEC) Patient Safety Learning Lab,"93.226: RESEARCH ON HEALTHCARE COSTS, QUALITY AND OUTCOMES",sub-grant,D5BA66647542AD44662AE08CD1BD584F,2022,1,2004316616,174949.0,2021-01-01,2021,L291S2FT3X95,80073697.0,"STOCASTIC, LLC",USA,UNITED STATES,101 N HAVEN ST STE 301,BALTIMORE,MD,MARYLAND,212241634,MD-02,MD-07,"FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",TOWSON,MD,MARYLAND,21204,MD-03,MD-02,USA,UNITED STATES,CONNECTED EMERGENCY CARE (CEC) PATIENT SAFETY LEARNING LAB,https://www.usaspending.gov/award/ASST_NON_R18HS026640_7528/,2022-01-21 10:31:38+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,920709.21,75.0,Department of Health and Human Services (HHS),7528.0,Agency for Healthcare Research and Quality,75EL00,AHRQ CENTER FOR QUALITY IMPROVEMENT AND PATIENT SAFETY,075-2018/2018-1700-000;075-2019/2019-1700-000;075-2020/2020-1700-000;075-2021/2021-1700-000,075-1700,"41.0: Grants, subsidies, and contributions","0001: RESEARCH ON HEALTH COSTS, QUALITY AND OUTCOMES",,JOHNS HOPKINS UNIVERSITY,Private Institution of Higher Education,,
ASST_NON_DEAR0001025_8900,DEAR0001025,3589882.0,2019-08-22,2019,2023-01-24,2023,2019-08-23,2023-02-22,89,Department of Energy (DOE),8900,Department of Energy,897030,ADVANCED RSRCH PROJ AGENCY ARPA-E,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,,USA,UNITED STATES,3112 Lee Bldg 7809 Regents Dr,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,20742,MD-05,MD-04,CITY-WIDE,College Park,24033.0,PRINCE GEORGE'S,24.0,MD,Maryland,citywide,MD-05,MD-04,USA,UNITED STATES,"UNIVERSITY OF MARYLAND, COLLEGE PARK-New Award
Control Number: 1858-2517

Superstrong, Low-Cost Wood for Lightweight Vehicles",81.135: ADVANCED RESEARCH PROJECTS AGENCY - ENERGY,sub-grant,B380CAD89FFEB86B396E423BFDCE640E,2019,12,Z7064201,1125012.0,2019-11-12,2020,LA9LCVM7HMK5,80381020.0,INVENTWOOD LLC,USA,UNITED STATES,"RM 2122, 4467 TECHNOLOGY DRIVE",COLLEGE PARK,MD,MARYLAND,207420001,MD-05,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",COLLEGE PARK,MD,MARYLAND,207420001,MD-05,MD-04,USA,UNITED STATES,"SUPERSTRONG, LOW-COST WOOD FOR LIGHTWEIGHT VEHICLES",https://www.usaspending.gov/award/ASST_NON_DEAR0001025_8900/,2020-01-06 16:16:52+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,2834548.97,89.0,Department of Energy (DOE),8900.0,Department of Energy,897002,ADVANCED RSRCH PROJ AGENCY ARPA-E,089-X-0337-000,089-0337,25.5: Research and development contracts,0001: ARPA-E PROJECTS,OFFICE OF RESEARCH ADMINISTRATION,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,16ECB259C496F29511B14BC3D6DB72DA,2018,6,1400506,1792641.0,2017-10-03,2018,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-06-07 09:11:31+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,2922BF4A1776229EF5207DB38EC09E36,2016,3,1400506,111256.0,2016-03-01,2016,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-04-18 10:37:45+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,04CD60603B7D0BC39C944C6EB04E8B12,2018,4,1400506,222512.0,2017-10-03,2018,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-04-17 13:16:50+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,A24CA2C68C109AEEBB86E07D884AC7BF,2018,7,1400506,333768.0,2018-03-05,2018,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-07-11 10:51:14+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,D5DA5E0CD46BA3EA9FAF12AE931A2E11,2018,3,1400506,222512.0,2017-10-03,2018,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-03-23 15:26:30+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_U19AI109776_7529,U19AI109776,25443780.41,2014-02-07,2014,2022-03-24,2022,2014-03-01,2020-02-29,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,Z9CRZKD42ZT1,,UNIVERSITY OF MARYLAND,KMGEN62NKEM9,,USA,UNITED STATES,220 ARCH ST RM 02148,BALTIMORE,24510,BALTIMORE (CITY),24,MD,Maryland,212011531,MD-07,MD-07,STATE-WIDE,,,,24.0,MD,Maryland,,MD-07,,USA,UNITED STATES,Immunoprophylactic Strategies to Control Emerging Enteric Infections,"93.855: ALLERGY AND INFECTIOUS DISEASES RESEARCH; 93.855: ALLERGY, IMMUNOLOGY AND TRANSPLANTATION RESEARCH",sub-grant,CE49B4A74DEC9B59EE1B6B4F164B9602,2018,1,1400506,222512.0,2017-10-03,2018,SLGDVHJS1Y85,80062872.0,FZATA INC,USA,UNITED STATES,1448 S ROLLING RD STE 120,HALETHORPE,MD,MARYLAND,212273831,MD-03,MD-07,"FOR PROFIT ORGANIZATION,WOMAN OWNED SMALL BUSINESS,WOMAN OWNED BUSINESS,ASIAN-PACIFIC AMERICAN OWNED",HALETHORPE,MD,MARYLAND,212270000,MD-03,MD-07,USA,UNITED STATES,"HUMANIZATION OF LGG1-ABAB MOLECULE AND GENERATION OF THE FINAL HUMANIZED LEAD
 THERAPEUTIC ANTIBODY FOR TESTING.",https://www.usaspending.gov/award/ASST_NON_U19AI109776_7529/,2018-01-18 10:30:34+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NM00,NIH National Institute of Allergy and Infectious Diseases,075-2017/2017-0885-000;075-2018/2018-0885-000,075-0885,"41.0: Grants, subsidies, and contributions",0006: NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_L16AC00159_1422,L16AC00159,821182.7,2017-07-17,2016,2022-04-21,2022,2016-08-30,2021-09-30,14,Department of the Interior (DOI),1422,Bureau of Land Management,140L57,UTAH STATE OFFICE,SPE2YDWHDYU4,,UTAH STATE UNIVERSITY,SPE2YDWHDYU4,,USA,UNITED STATES,1000 OLD MAIN HILL,LOGAN,49005,CACHE,49,UT,Utah,843221000,UT-01,UT-01,STATE-WIDE,,,,49.0,UT,Utah,,UT-90,,USA,UNITED STATES,CPCESU BLM UTAH GEOSPATIAL DATA LAYERS AND WEB INTERFACE FOR SATELLITE MONITORING OF WILDLIFE HABITAT IN UTAH,"15.247: WILDLIFE RESOURCE MANAGEMENT; 15.231: FISH, WILDLIFE AND PLANT CONSERVATION RESOURCE MANAGEMENT",sub-grant,215C0FFE00BD5647F5DEACB48BB38473,2019,7,200633-318,369480.0,2019-07-12,2019,T37JWJDD79T4,79828135.0,"TERRAPULSE, INC.",USA,UNITED STATES,11521 ALCINDA LN,NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,"MINORITY OWNED BUSINESS,SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,SUBCONTINENT ASIAN (ASIAN-INDIAN), AMERICAN OWNED,SUBCHAPTER S CORPORATION",NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,USA,UNITED STATES,BLM UTAH GEOSPATIAL DATA LAYERS AND WEB INTERFACE FOR SATELLITE MONITORING OF WILDLIFE HABIT IN UTAH,https://www.usaspending.gov/award/ASST_NON_L16AC00159_1422/,2019-07-31 14:11:57+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,328558.08,14.0,Department of the Interior (DOI),1422.0,Bureau of Land Management,140L57,UTAH STATE OFFICE,014-2020/2021-1109-000;014-X-1109-000,014-1109,"41.0: Grants, subsidies, and contributions",0012: WILDLIFE AND FISHERIES;0022: WILDLIFE HABITAT MANAGEMENT,,UTAH STATE UNIVERSITY,Other,TERRAPULSE,
ASST_NON_L16AC00159_1422,L16AC00159,821182.7,2017-07-17,2016,2022-04-21,2022,2016-08-30,2021-09-30,14,Department of the Interior (DOI),1422,Bureau of Land Management,140L57,UTAH STATE OFFICE,SPE2YDWHDYU4,,UTAH STATE UNIVERSITY,SPE2YDWHDYU4,,USA,UNITED STATES,1000 OLD MAIN HILL,LOGAN,49005,CACHE,49,UT,Utah,843221000,UT-01,UT-01,STATE-WIDE,,,,49.0,UT,Utah,,UT-90,,USA,UNITED STATES,CPCESU BLM UTAH GEOSPATIAL DATA LAYERS AND WEB INTERFACE FOR SATELLITE MONITORING OF WILDLIFE HABITAT IN UTAH,"15.247: WILDLIFE RESOURCE MANAGEMENT; 15.231: FISH, WILDLIFE AND PLANT CONSERVATION RESOURCE MANAGEMENT",sub-grant,F3991A73E1E32F5B32D56FE26957519C,2016,12,200633318,80000.0,2016-12-15,2017,T37JWJDD79T4,79828135.0,"TERRAPULSE, LLC",USA,UNITED STATES,11521 ALCINDA LN,NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,"MINORITY OWNED BUSINESS,SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,SUBCONTINENT ASIAN (ASIAN-INDIAN), AMERICAN OWNED,SUBCHAPTER S CORPORATION",NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,USA,UNITED STATES,"FOR THIS PROJECT, IN COLLABORATION WITH UTAH STATE UNIVERSITY, WE ARE PROPOSING TO DERIVE DAILY NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI) DATA FROM 2000-2014",https://www.usaspending.gov/award/ASST_NON_L16AC00159_1422/,2016-12-29 15:23:19+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,328558.08,14.0,Department of the Interior (DOI),1422.0,Bureau of Land Management,140L57,UTAH STATE OFFICE,014-2020/2021-1109-000;014-X-1109-000,014-1109,"41.0: Grants, subsidies, and contributions",0012: WILDLIFE AND FISHERIES;0022: WILDLIFE HABITAT MANAGEMENT,,UTAH STATE UNIVERSITY,Other,,
ASST_NON_L16AC00159_1422,L16AC00159,821182.7,2017-07-17,2016,2022-04-21,2022,2016-08-30,2021-09-30,14,Department of the Interior (DOI),1422,Bureau of Land Management,140L57,UTAH STATE OFFICE,SPE2YDWHDYU4,,UTAH STATE UNIVERSITY,SPE2YDWHDYU4,,USA,UNITED STATES,1000 OLD MAIN HILL,LOGAN,49005,CACHE,49,UT,Utah,843221000,UT-01,UT-01,STATE-WIDE,,,,49.0,UT,Utah,,UT-90,,USA,UNITED STATES,CPCESU BLM UTAH GEOSPATIAL DATA LAYERS AND WEB INTERFACE FOR SATELLITE MONITORING OF WILDLIFE HABITAT IN UTAH,"15.247: WILDLIFE RESOURCE MANAGEMENT; 15.231: FISH, WILDLIFE AND PLANT CONSERVATION RESOURCE MANAGEMENT",sub-grant,DC770C61E273B3BCE8782AE09710C3B3,2018,4,200633-318,162240.0,2018-04-13,2018,T37JWJDD79T4,79828135.0,"TERRAPULSE, INC.",USA,UNITED STATES,11521 ALCINDA LN,NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,"MINORITY OWNED BUSINESS,SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,SUBCONTINENT ASIAN (ASIAN-INDIAN), AMERICAN OWNED,SUBCHAPTER S CORPORATION",NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,USA,UNITED STATES,DEVELOP A WEB-BASED SYSTEM TO VISUALIZE MODIS BASED NDVI ON AMAZON AWS PLATFORM.,https://www.usaspending.gov/award/ASST_NON_L16AC00159_1422/,2018-04-30 10:24:57+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,328558.08,14.0,Department of the Interior (DOI),1422.0,Bureau of Land Management,140L57,UTAH STATE OFFICE,014-2020/2021-1109-000;014-X-1109-000,014-1109,"41.0: Grants, subsidies, and contributions",0012: WILDLIFE AND FISHERIES;0022: WILDLIFE HABITAT MANAGEMENT,,UTAH STATE UNIVERSITY,Other,TERRAPULSE,
ASST_NON_L16AC00159_1422,L16AC00159,821182.7,2017-07-17,2016,2022-04-21,2022,2016-08-30,2021-09-30,14,Department of the Interior (DOI),1422,Bureau of Land Management,140L57,UTAH STATE OFFICE,SPE2YDWHDYU4,,UTAH STATE UNIVERSITY,SPE2YDWHDYU4,,USA,UNITED STATES,1000 OLD MAIN HILL,LOGAN,49005,CACHE,49,UT,Utah,843221000,UT-01,UT-01,STATE-WIDE,,,,49.0,UT,Utah,,UT-90,,USA,UNITED STATES,CPCESU BLM UTAH GEOSPATIAL DATA LAYERS AND WEB INTERFACE FOR SATELLITE MONITORING OF WILDLIFE HABITAT IN UTAH,"15.247: WILDLIFE RESOURCE MANAGEMENT; 15.231: FISH, WILDLIFE AND PLANT CONSERVATION RESOURCE MANAGEMENT",sub-grant,FC11BA734D46934A49A751EF876D7F14,2018,11,200633-318,265860.0,2018-11-26,2019,T37JWJDD79T4,79828135.0,"TERRAPULSE, INC.",USA,UNITED STATES,11521 ALCINDA LN,NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,"MINORITY OWNED BUSINESS,SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,SUBCONTINENT ASIAN (ASIAN-INDIAN), AMERICAN OWNED,SUBCHAPTER S CORPORATION",NORTH POTOMAC,MD,MARYLAND,208782400,MD-08,MD-08,USA,UNITED STATES,DEVELOP MODIS-BASED INDICIES TO MEASURE AND UNDERSTAND PHENOLOGY AND WATER FOR THE STATE OF UTAH.,https://www.usaspending.gov/award/ASST_NON_L16AC00159_1422/,2018-11-29 12:29:08+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,328558.08,14.0,Department of the Interior (DOI),1422.0,Bureau of Land Management,140L57,UTAH STATE OFFICE,014-2020/2021-1109-000;014-X-1109-000,014-1109,"41.0: Grants, subsidies, and contributions",0012: WILDLIFE AND FISHERIES;0022: WILDLIFE HABITAT MANAGEMENT,,UTAH STATE UNIVERSITY,Other,TERRAPULSE,
