Title,Release Date,URL,Related Companies,Related Funds,Content,People Mentioned,Organizations Mentioned
Maryland Technology Development Board of Directors Meeting Notice - 5/22/2025 | TEDCO,"Tuesday, May 6, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-technology-development-board-directors-meeting-notice,,,"Tuesday, May 6, 2025 Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE is hereby given for a Meeting of the TEDCO Board of Directors to be held on May 22, 2025, at 10:00am, on Zoom. MEETING AGENDA May 22, 2025, 10:00 am WHEN: May 22, 2025 | 10:00 AM WHERE: The meeting will be held virtually on Zoom . Meeting ID: 816 9605 0627 Passcode: 392595 AGENDA: CLICK HERE TO VIEW THE FULL AGENDA",Passcode,"Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE, the TEDCO Board of Directors"
TEDCO’s Maryland Innovation Initiative Announced Recent Investments | TEDCO,"Wednesday, March 29, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedcos-maryland-innovation-initiative-announced-recent-investments,,"Maryland Innovation Initiative, Development & Marketing","Wednesday, March 29, 2023 Columbia $600,000 invested into 3 new ventures and $1.6 Million awarded to 12 project grants COLUMBIA, Md. (March 29, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced a recent round of funding through the Maryland Innovation Initiative ( MII ). Established in 2012, the MII program was created as a partnership between the State of Maryland and five Maryland academic research institutions: Johns Hopkins University Morgan State University University of Maryland, Baltimore University of Maryland, Baltimore County and University of Maryland, College Park. The program’s mission is to accelerate and support the commercialization of promising technologies from bench to market through investments in innovation, entrepreneurship and venture creation. “Since MII’s inception, the program has seen innovators seeking to change the world for the better, and last year was no different,” said Arti Santhanam, Ph.D. , MII executive director. “The 2023 awardees show the exceptional research and innovation Maryland has to offer.” So far in the 2023 fiscal year, the fund invested $600,000 into the following companies: ComputChem , located in Baltimore, Md., is a technology company building next-generation platform solutions for in silico covalent drug design and lead optimization. Prompt Diagnostics, LLC , located in Baltimore, Md., is a biotechnology company supporting diagnostic testing that is fast, affordable, and easy-to-use, while still provide uncompromising sensitivity and specificity for detection of disease at the point of care. Blue and Green Energy Solutions, located in Baltimore, Md., created the EnergyMaster system—an innovative floating hybrid tidal/wave/wind energy harvesting system. Start-up companies joining TEDCO’s MII portfolio have access to a variety of TEDCO resources including mentor opportunities and CEO roundtables to loaned executives. A complete list of funded companies can be found on the MII website . In addition to these companies, the program funded an additional 12 projects for its technology assessment grant for a total of $1.6 million. Each of these projects reflects the technological excellence and diversity that can be found in our Maryland partner universities. A full list of the grant awardees can be found on the MII website . Since its inception, MII has disbursed more than $47M, created and supported 144 startups, and supported the creation of nearly 300 Maryland jobs. Additionally, these portfolio companies have continued, raising over $692.7M in follow-on funding and creating full-time employment opportunities for highly skilled technology employees with competitive salaries, averaging $100,000. “For the last 10 years, MII has shown the impact it can have on the entrepreneurial community in Maryland,” said Renee Winsky , MII board chair. “The last round of funding is a great example of the innovative minds we have in the state. We’re committed to supporting these innovators through their next stages of development.” To view MII’s 2022 Annual Report, click here .  For information on eligibility and application requirements, visit https://www.tedcomd.com/MII .","Arti Santhanam, Renee Winsky","Baltimore University of Maryland, COLUMBIA, ComputChem, EnergyMaster, Green Energy Solutions, Johns Hopkins University Morgan State University University of Maryland, LLC, MII, MII’s 2022 Annual Report, Prompt Diagnostics, University of Maryland, silico covalent drug design, the Maryland Innovation Initiative"
Tammi Thomas Selected as One of The Daily Record’s 2023 Maryland’s Top 100 Women Honorees | TEDCO,"Wednesday, March 29, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tammi-thomas-selected-one-daily-records-2023-marylands-top-100,,Development & Marketing,"Wednesday, March 29, 2023 Columbia Chief Development and Marketing Officer of TEDCO recognized by The Daily Record as one of the Top 100 Women in Maryland COLUMBIA, Md. (March 29, 2023) – The Daily Record selected Tammi Thomas , TEDCO ’s Chief Development and Marketing Officer, to receive one of the 2023 Maryland’s Top 100 Women awards. The Daily Record ’s Top 100 Women awards began in 1996 to recognize the outstanding achievements women demonstrated through professional accomplishments, community leadership and mentoring. There have been over 1,500 women presented with this honor over the years. “At TEDCO, we have five core values that guide our business—collaboration, integrity, stewardship, respect and accountability,” said Troy LeMaile-Stovall , TEDCO CEO. “Tammi Thomas exemplifies all of these core values and more. This recognition is well-deserved, and TEDCO is proud to work with someone as talented as Tammi.” ""Through Tammi’s thoughtful and strategic leadership, the Development and Marketing team at TEDCO continues to support the growth and diversification of Maryland’s innovation ecosystem,” explains Cassy Haber , TEDCO’s associate director, Marketing and Communications. “It’s no surprise that The Daily Record is recognizing Tammi as the diligent, creative and inspiring woman she is.” This year’s honorees were selected by a panel of business and legal professionals, previous Maryland’s Top 100 Women honorees from throughout Maryland and a representative of The Daily Record . “The 2023 Maryland’s Top 100 Women are leading companies, creating change, breaking barriers and charting new territory. They are leaders who make a difference in their communities and also mentor and inspire future leaders toward success,” said Suzanne Fischer-Huettner, managing director of The Daily Record /BridgeTower Media. “This year’s Circle of Excellence honorees are inspirational. They have been active, successful leaders in their professions and in their communities for many years and are also devoted to mentoring future generations. We at The Daily Record are honored to recognize these outstanding women.” The winners will be honored at the Lyric Baltimore on May 8 at 6:00 pm. Find out more at https://thedailyrecord.com/top-100-women/ . About The Daily Record The Daily Record is a digital first, daily news media company focused on law, government and business at TheDailyRecord.com. The Daily Record publishes a print edition on weekdays in addition to more than 25 special products a year in a variety of industries. The Daily Record hosts 11 annual events to recognize excellence and provide leadership opportunities. These events include Maryland’s Top 100 Women, Most Admired CEOs, Influential Marylanders, Health Care Heroes, Icon Honors and more. The Daily Record also facilitates webinars bringing local experts from the business community together to discuss current topics and trends. Its Digital Marketing Solutions helps customers with social media, search engine marketing and optimization, retargeting and email marketing among other services. The Daily Record, with 135 years of editorial excellence, is part of BridgeTower Media, the leading provider of B2B information, research, events and marketing solutions across more than 25 U.S. markets and industries.","Cassy Haber, Suzanne Fischer-Huettner, Tammi, Tammi Thomas","BridgeTower Media, Columbia Chief Development and Marketing Officer, Digital Marketing Solutions, Icon Honors, Influential Marylanders, Health Care Heroes, Marketing and Communications, The Daily Record, The Daily Record /BridgeTower Media, The Daily Record ’s Top, Troy LeMaile-Stovall, the Top 100 Women"
TEDCO Invests in CyDeploy | TEDCO,"Tuesday, March 28, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-invests-cydeploy,CyDeploy,"Social Impact Funds, Development & Marketing","Tuesday, March 28, 2023 Columbia Maryland cybersecurity startup focused on creating secure systems for business’ sensitive data COLUMBIA, Md. (March 28, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced a recent Pre-Seed Builder Fund investment of $150,000 into CyDeploy, a woman- and minority-led startup working to provide businesses with security solutions to improve the overall functionality of their systems. TEDCO’s Builder Fund invests in and provides executive support to Maryland-based technology companies run by entrepreneurs who demonstrate economic disadvantage. “Technology requires continual maintenance and updates, but sometimes there are unforeseen consequences of these updates. That’s why we created a process to help mitigate any costly delays or problems that could occur,” stated Tina Williams-Koroma, founder and CEO of CyDeploy. “We are thankful for TEDCO’s support, helping us to help our clients remain informed about the possible issues that could occur, allowing them to make informed decisions and create strategies to combat any potential delays or breakdowns.” CyDeploy , based in Baltimore, Md., created an intelligent automated functional testing solution. By creating a digital twin of the system, CyDeploy allows users to test how planned security updates will impact a system’s functionality. Through this process, businesses can make changes with confidence, knowing that any updates to their systems will not break the functionality of any part of the system. This assurance allows businesses and business owners to rest assured, knowing that they won’t need to suffer through the costly downtime that occurs when functionality breaks. “CyDeploy created a solution to a frequent, costly problem,” said TEDCO’s Jean-Luc Park , senior director of Social Impact Funds . “By taking extra measures, businesses can ensure up-time and robust security are decisions actively made by the business. We are excited to be a part of CyDeploy’s growth and can’t wait to see where the business goes from here.” TEDCO provides funding, resources and connections that early-stage technology and life sciences companies need to thrive in Maryland. For entrepreneurs interested in applying for TEDCO funding opportunities, visit https://www.tedcomd.com/funding .","TEDCO’s, Tina Williams-Koroma","Builder Fund, COLUMBIA, CyDeploy, Pre-Seed Builder Fund, Social Impact Funds, TEDCO’s"
TEDCO's Anne A. Balduzzi Chosen for Leadership Maryland Class of 2023 | TEDCO,"Friday, March 24, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedcos-anne-balduzzi-chosen-leadership-maryland-class-2023,,,"Friday, March 24, 2023 Annapolis TEDCO Managing Director of Entrepreneur and Ecosystem Empowerment and Queen Anne resident one of 53 selected for statewide professional development program Columbia, Md. (March 24, 2023) – Leadership Maryland announced that Anne A. Balduzzi, Managing Director of Entrepreneur and Ecosystem Empowerment at Maryland Technology Development Corp. ( TEDCO ), has been chosen to participate in the professional development program as a member of the Class of 2023. Balduzzi is one of 53 individuals chosen for Leadership Maryland’s 30th class, who will complete the eight-month, hands-on learning program focused on the state’s most vital issues. The program will run from April to December, and include five, two-day sessions focused on Maryland’s five main geographic regions and the most vital issues impacting economic development, education, health and human services, criminal justice, the environment, and multi-culturalism/diversity across the state. More than 100 experts representing Maryland’s business, government, education, and non-profit communities will serve as panelists and guest speakers. “We are excited to announce our next class and welcome these accomplished and motivated individuals to Leadership Maryland,” said David Fike ’16 (LM) president and CEO, Leadership Maryland. “The 53 members of the Class of 2023 are each influential leaders within their companies, industries, and communities, and have the desire to make a broader impact within our state. And the knowledge, experience, and connections they will gain in our program will prepare them to do just that.” Leadership Maryland is open to senior-level executives with significant achievements in either their careers and/or their communities. Ideal Leadership Maryland members have a desire to learn more about Maryland’s most critical issues and a personal commitment to be a force for positive change in their organizations, their communities, and their state. For more information about Leadership Maryland, please visit leadershipmd.org , call 410-841-2101 or email info@leadershipmd.org . About Leadership Maryland Leadership Maryland is a non-profit organization offering professional and youth development programs dedicated to building a better Maryland by harnessing the strength of its current and future leaders. Established in 1992, Leadership Maryland’s professional development program selects as many as 53 diverse and accomplished executives from Maryland’s public and private sectors each year to come together as a class for an eight-month learning program focused on the state’s most vital social, economic and environmental issues. Leadership Maryland also offers Maryland Leadership Workshops (MLW), the state’s premier leadership development program for middle and high school students. For more than 65 years, MLW has provided peer-led summer residential and community outreach programs that empower participants – known as delegates – to take ownership of their personal development as they grow in self-awareness, set measurable goals, and collaborate with peers in diverse groups. Together, Leadership Maryland and MLW have established thousands of Marylanders on their lifelong leadership path, equipped with the knowledge, skills, and connections needed to influence positive change in all aspects of their lives and within our state. To learn more, please visit leadershipmd.org or mlw.org.","Anne A. Balduzzi, Balduzzi, David Fike, Leadership Maryland, Leadership Maryland’s, Queen Anne","Entrepreneur, MLW, Maryland Leadership Workshops, Maryland Technology Development Corp."
"TEDCO Talks: Troy LeMaile-Stovall, Brian Pieninck, and Cultivate Maryland | TEDCO","Wednesday, March 15, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-talks-troy-lemaile-stovall-brian-pieninck-and-cultivate,,"Development & Marketing, Cultivate Maryland","Wednesday, March 15, 2023 Columbia The two CEOs discuss TEDCO’s latest initiative—to create an inclusive tech and start-up ecosystem throughout Maryland COLUMBIA, Md. (March 15, 2023) – TEDCO , Maryland’s economic engine for technology companies, released a special live edition of the virtual series TEDCO Talks. Throughout this series, TEDCO CEO, Troy LeMaile-Stovall, connects with thought leaders across the state of Maryland. On the latest TEDCO Talks, LeMaile-Stovall interviews Brian Pieninck , CEO of CareFirst , at the 2023 CIAA Men’s and Women’s Basketball Tournament in Baltimore, Md. During the discussion, Pieninck and LeMaile-Stovall dive into the vast resources Maryland has to offer, what needs to be done to successfully utilize these resources, and, ultimately, Cultivate Maryland , a new initiative TEDCO is spearheading to create a more diverse and inclusive innovation ecosystem throughout the State. Throughout the episode, Pieninck explains that large businesses have an economic responsibility. Rather than considering how to attract large businesses to an area, companies, cities and states should focus more on the areas’ economic foundation—successful entrepreneurism and small businesses “if you do interesting and effective things … people will find you. And the interesting and effective things we can do in a space starts with entrepreneurism and small businesses. If we grow and develop that foundation effectively—if we show that this is a place where small businesses can thrive—[it will become] a place, an ecosystem and an environment that large organizations complementary to those efforts want to be in.” Hence the Cultivate Maryland initiative. Through this initiative, TEDCO is building an inclusive environment for technology and start-up businesses by creating more opportunities for a larger and more diverse workforce through the support and increased creation of opportunities for underrepresented individuals to get involved in high technology-based education, careers and entrepreneurial activities. “Cultivate Maryland is an initiative that not only promotes groundbreaking changes to the state’s ecosystem, but it’s an initiative we at TEDCO are proud to be a part of,” said LeMaile-Stovall. “And we couldn’t have gotten this far without the support of many individuals, including Brian. It’s time for us to embrace the future, grow our ecosystem, and become a leader in economic growth and competitiveness nationwide.” Click here to watch the full episode and to learn more about CareFirst, Cultivate Maryland and the importance of embracing change throughout the Maryland ecosystem. Don’t miss out on the next episodes, make sure to subscribe to our YouTube channel here: https://www.youtube.com/user/MDTEDCO .","Brian, Cultivate Maryland, LeMaile-Stovall, Pieninck, thrive—[it","CIAA Men’s and Women’s Basketball Tournament, CareFirst, LeMaile-Stovall, Pieninck, State, Troy LeMaile-Stovall, YouTube"
TEDCO Invests SSBCI Funds in The Equity Brain Trust | TEDCO,"Monday, March 13, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-invests-ssbci-funds-equity-brain-trust-0,The Equity Brain Trust,"Social Impact Funds, Development & Marketing, State Small Business Credit Initiative (SSBCI)","Monday, March 13, 2023 Columbia Maryland startup seeks to create a more equitable world COLUMBIA, Md. (March 13, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced its recent State and Small Business Credit Initiative ( SSBCI ) investments totaling $200,000 in The Equity Brain Trust, a technology start-up focused on creating a more equitable future. The two TEDCO investments each matched a $100,000 investment by a private sector firm. “DEI programs don’t work to move the needle on equity,” said Angel St. Jean, CEO of The Equity Brain Trust. “We created a platform that enables DEI leaders to help companies engage in DEI as a business strategy across all operations where it can have the intended impact. No other company is building what we’re building we’re grateful for TEDCO’s continued partnership to bring this transformative technology to market.” The Equity Brain Trust , located in Baltimore, Md., is dedicated to creating a more equitable world. Through their software platform Equiscore BI™, the company provides a means for DEI leaders manage and perform all the tasks necessary to help their companies become more equitable. The platform collects data from every corner of the company and quantifies DEI to help leaders identify their specific challenges and risks. It’s also designed to help DEI consultants manage their DEI efforts with their clients. “The Equity Brain Trust aligns with both our commitment to DEI and the eligibility guidelines we set for SSBCI funding,” said TEDCO CEO Troy LeMaile-Stovall . “TEDCO has an essential role in funding start-ups that are underrepresented in our innovation ecosystem, and we are glad to support this important DEI-focused business with SSBCI funding.” “TEDCO is committed to promoting a diverse, equitable and inclusive ecosystem throughout the state of Maryland,” said Jean-Luc Park , senior director of Social Impact Funds with TEDCO. “And investing in underrepresented entrepreneurs is just one of the many steps we are taking towards this commitment. I am honored to join the journey of companies like The Equity Brain Trust as it continues to work towards a better, more equitable future.” TEDCO’s SSBCI funds are divided into four programs—the Venture Equity Fund, the Social Impact Equity Fund, the Seed Equity Fund program, and the Venture Capital Limited Partnership Equity program. For more information about our funding opportunities, visit https://www.tedcomd.com/funding.","Angel St. Jean, Jean-Luc Park, TEDCO’s","COLUMBIA, DEI, Equiscore BI, SSBCI, Small Business Credit Initiative, Social Impact Funds, State, The Equity Brain Trust, Troy LeMaile-Stovall, the Social Impact Equity Fund, the Venture Capital Limited Partnership Equity, the Venture Equity Fund"
TEDCO Talks: Troy LeMaile-Stovall Interviews Carim Khouzami of BGE | TEDCO,"Monday, March 6, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-talks-troy-lemaile-stovall-interviews-carim-khouzami-bge,,"Development & Marketing, Cultivate Maryland","Monday, March 6, 2023 Columbia Learn more about Baltimore Gas and Electric and how they embrace diversity, equity and inclusion throughout the company COLUMBIA, Md. (March 6, 2023) – TEDCO , Maryland’s economic engine for technology companies, released a new episode of its virtual series TEDCO Talks. Throughout this series, TEDCO CEO, Troy LeMaile-Stovall , connects with thought leaders across the state of Maryland. On the latest TEDCO Talks, LeMaile-Stovall interviews Carim Khouzami , president and CEO of Baltimore Gas and Electric ( BGE ). During the discussion, Khouzami and LeMaile-Stovall dive into BGE’s role in the community, the importance of diversity, equity and inclusion and how it impacts the innovation ecosystem in Maryland. “The very basis of innovation is to think about doing things differently and better,” Khouzami explains. “And the way that you get that is you have to have that diversity of thought, you have to have that diversity of people, that diversity of backgrounds, to bring different ways of looking at a similar problem … so you can come to the best solution.” This mindset is essential for the State’s economic growth, LeMaile-Stovall and Khouzami note. By embracing diversity of thought, individuals and backgrounds, companies allow the contribution of different perspectives. And with different perspectives comes different solutions and ideas, providing the avenue for the necessary innovation that will support Maryland’s growth and movement into the future. It allows for the development of new solutions for rising issues, such as the capacity of the electric grid—a problem that will only become more prevalent as we move into a future of more environmentally conscious options with less carbon emissions. TEDCO is proud to be embracing this mindset we are actively working to bring more diversity to Maryland’s ecosystem through funding efforts and initiatives like Cultivate Maryland this initiative seeks to increase Maryland’s competitiveness as an innovation economy through the retention and attraction of trained workers. This recently unveiled initiative is already gaining vast amounts of support. “It’s refreshing to see how many companies—both large and small—are getting on board and embracing DEI,” explains LeMaile-Stovall. “And we want to give a huge thank you to Khouzami and BGE for being a huge supporter to both TEDCO and the Cultivate Maryland initiative. Together, we are sure to create a reliable and diverse innovation economy in Maryland, allowing us to properly compete with other states.” Click here to watch the full episode and learn more about BGE, Cultivate Maryland and the importance of DEI throughout the Maryland ecosystem. Don’t miss out on the next episode of TEDCO Talks, make sure to subscribe to our YouTube channel here: https://www.youtube.com/user/MDTEDCO .","Carim Khouzami, Khouzami","BGE, Baltimore Gas and Electric, COLUMBIA, DEI, LeMaile-Stovall, State, Troy LeMaile-Stovall, YouTube"
TEDCO Talks: Troy LeMaile-Stovall Interviews Washington College President Mike Sosulski | TEDCO,"Wednesday, March 1, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-talks-troy-lemaile-stovall-interviews-washington-college,,Development & Marketing,"Wednesday, March 1, 2023 Columbia Learn more about how Washington College is encouraging more diversity and innovation throughout the campus COLUMBIA, Md. (March 1, 2023) – TEDCO , Maryland’s economic engine for technology companies, released a new episode of its virtual thought leadership series, TEDCO Talks with special guest, Washington College President Michael Sosulski. Throughout this series, TEDCO CEO, Troy LeMaile-Stovall , connects with various thought leaders in economic development from across the state of Maryland. On this edition of TEDCO Talks, LeMaile-Stovall spends time talking with President Sosulski about innovation, the education sector, and the college’s plans to improve diversity, equity and inclusion throughout the campus. Innovation is prevalent throughout the campus, Sosulski and LeMaile-Stovall explain. Due to their location and the land the college has been gifted, students have the opportunity to explore innovative ideas to support conservation efforts, like the college’s current exploration into bird safe glass. In addition to the campus’ innovative spirit, there are continued efforts to create a more diverse, inclusive and equitable educational environment throughout Washington College. While there had been work done throughout the campus towards creating a more inclusive and diverse environment, the efforts were not coordinated. Because of this, Sosulski appointed the college’s first senior equity officer. “I realized, let’s take all that good energy, let’s give it some strong leadership and really see what we can do in terms of making our learning environment as diverse as possible and making it accessible to all people and also, bringing people to campus who traditionally have not been able to enjoy this type of education in the past,” Sosulski explained. “…It has to become a daily practice it has to be our way of being.” Learn more about Washington College, their DEI efforts, current impact on the Maryland innovation ecosystem and the preservation of Maryland wildlife in the latest episode of TEDCO Talks. Watch the latest episode and the full TEDCO Talks series on TEDCO’s YouTube Channel by visiting https://www.youtube.com/@TEDCO .","Michael Sosulski, Sosulski","DEI, LeMaile-Stovall, TEDCO’s YouTube Channel, Troy LeMaile-Stovall, Washington College"
TEDCO Invests in NasaClip | TEDCO,"Tuesday, February 28, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-invests-nasaclip,,State Small Business Credit Initiative (SSBCI),"Tuesday, February 28, 2023 Columbia Maryland startup offers painless, cost-effective and hands-free alternative to treating nosebleeds COLUMBIA, Md. (February 28, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced a recent $250,000 investment in NasaClip , a woman- and minority-led startup which created a new device to assist in a painless, hands-free method for stopping nosebleeds. This investment came from TEDCO’s State Small Business Credit Initiative ( SSBCI ). “Oftentimes, nosebleeds are non-life threatening, but patients will still go to the emergency department for them,” said Elizabeth Clayborne, MD, CEO and founder of NasaClip . “Unfortunately, the care for nosebleeds can be invasive, painful, and costly that’s why we created NasaClip. Using NasaClip, patients can treat themselves while remaining in the comfort of their own home. TEDCO’s financial investment will help advance this much needed medical device. ” NasaClip , based in Baltimore, Md., is a startup focused on providing patients with painless, hands-free treatment for nosebleeds. The NasaClip device provides constant uninterrupted external nasal pressure combined with intranasal sponges that can be medicated to stop bleeding fast. The kid-friendly and FDA registered device provides a cost-effective, timely, easy-to-use alternative to emergency room visits and are designed with portability in mind. NasaClip helps doctors, nurses, coaches, trainers, or anyone anywhere stop nosebleeds fast. “ NasaClip is exactly the kind of company we envisioned for SSBCI funding,” said TEDCO CEO Troy LeMaile-Stovall . “Led by a true innovator who saw an unmet need, NasaClip is an important addition to TEDCO’s portfolio of companies that have great potential but are underrepresented in our innovation ecosystem. We are glad to support NasaClip on its growth trajectory, and we hope Dr. Clayborne’s work will inspire more entrepreneurs like her to seek out TEDCO.” “TEDCO is proud to be investing in innovative products, like NasaClip ,” explained Jean-Luc Park , TEDCO’s senior director of Social Impact Funds . “Dr. Clayborne saw a gap in patient care and took initiative, designing a device that could help ease the discomfort and expenses that come with traditional treatment of a nosebleed, but also relieve the burden and pressure on emergency departments. We are excited to be a part of the business’ journey.” TEDCO’s SSBCI is divided into four programs: the Venture Equity Fund, the Venture Capital Limited Partnership Equity program, Seed Funds Equity program, and the Social Impact Funds. Each program provides businesses and entrepreneurs with investment and support. For more information on TEDCO’s funding opportunities, visit https://www.tedcomd.com/funding .","Clayborne, Elizabeth Clayborne, Jean-Luc Park, TEDCO’s SSBCI","COLUMBIA, FDA, SSBCI, Seed Funds Equity, Social Impact Funds, TEDCO’s State Small Business Credit Initiative, Troy LeMaile-Stovall, the Social Impact Funds, the Venture Capital Limited Partnership Equity, the Venture Equity Fund"
"TEDCO Invests in Infinite Focus, Inc (dba Clymb) | TEDCO","Monday, February 27, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-invests-infinite-focus-inc-dba-clymb,Clymb,"Social Impact Funds, Development & Marketing","Monday, February 27, 2023 Columbia Maryland startup works to support today’s youth, providing tools and resources to help them understand and navigate their mental and emotional wellbeing COLUMBIA, Md. (February 27, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced its Pre-Seed Builder Fund invested an additional $150,000 in Infinite Focus, Inc (dba Clymb), a woman- and minority-led start-up that supports youth and their mental and emotional health needs. TEDCO’s Builder Fund invests in and provides executive support to Maryland-based technology companies run by entrepreneurs who demonstrate economic disadvantage. “As an educator, I saw firsthand the debilitating amounts of stress students today deal with,” explains Ashley Williams, CEO and founder of Clymb. “This stress would lead to emotional, mental and behavioral challenges, impacting every aspect of their lives—from academics to personal relationships to mental, emotional and physical health. I knew something had to be done, so I created Clymb in an effort to support today’s youth, providing them with the tools and resources needed to create an impactful and fulfilling life for themselves. As with any journey, it is good to have support, and TEDCO is providing not only financial support, but advice that is much needed at this early stage.” Clymb , based in Baltimore, Md., is a business dedicated to supporting young people through a mindfulness and emotional health software. Geared toward meeting today’s youth through their interests in technology, Clymb’s software works to empower users with critical coping skills that remain easily accessible through their phones. Created by educators and experts in emotional and mental health, the software allows children to learn more about their emotional, biological and cognitive functions—while also providing coping mechanisms that allow users to not only work through their stress but help them to better understand themselves. “TEDCO’s Builder Fund is designed to support talented start-ups and founders who are at an economic disadvantage,” explains TEDCO CEO Troy LeMaile-Stovall. “TEDCO is pleased to allocate funding to Clymb and support its efforts to meet young people where they are with essential mental health tools. This investment contributes to a more equitable future for Maryland entrepreneurs and our youth who are struggling.” “By taking advantage of the societal impact and interest in technology, Clymb has created an easily accessible way for youth to learn more about their own emotional, behavioral and mental wellbeing,” said TEDCO’s Jean-Luc Park , senior director of Social Impact Funds. “We look forward to supporting Clymb’s mission to spread health and happiness through emotional wellness.” Funded companies are provided with resources like hands-on executive support, peer-to-peer mentoring and collaboration, and networking opportunities. For information about TEDCO’s Builder Fund, visit https://www.tedcomd.com/funding/builder-fund .","Ashley Williams, Clymb, TEDCO’s","Builder Fund, COLUMBIA, Pre-Seed Builder Fund, Social Impact Funds, TEDCO’s, TEDCO’s Builder Fund"
TEDCO Invests in Elite Gaming Live | TEDCO,"Thursday, February 23, 2023",https://www.tedcomd.com/news-events/press-releases/2023/tedco-invests-elite-gaming-live,EliteGamingLive,"Social Impact Funds, Development & Marketing, State Small Business Credit Initiative (SSBCI)","Thursday, February 23, 2023 Columbia Platform designed to help children gain experience and knowledge in STEM career opportunities COLUMBIA, Md. (February 23, 2023) – TEDCO , Maryland’s economic engine for technology companies, announced a recent $200,000 State Small Business Credit Initiative ( SSBCI ) investment into Elite Gaming Live (EGL), an organization focused on educating students about careers in video game design and other technological areas. “Through EGL, we hope to support and encourage students in grades 3 – 12 to hone their skills doing something they love—playing video games,” said Kerwin Rent, CEO and founder of Elite Gaming Live. “By doing so, children are not only having fun, but they’re improving themselves, creating a skill set that can set them up for a successful future of video game design, coding, or other STEM-focused fields.” EGL , an organization based in Columbia, Md., is a STEM platform seeking to recognize and reward students who are passionate about video games. Through this program, students are informed about the different career opportunities in video game design as well as other related skills such as coding, computer programming and web development. Using video games, the program provides students with social, developmental and academic benefits that can impact their lives, helping them to learn and grow. “Technology is so ingrained into our society, so it makes sense to provide the next generation with different ways to interact and learn through the use of this platform,” said Jean-Luc Park , TEDCO’s senior director of Social Impact Funds . “TEDCO is excited to be a part of EGL’s growth—not only are they affecting children’s learning experiences today, but they’re making an impact on the workforce of tomorrow.” SSBCI funding is divided into four programs dedicated to helping support the various technology-based businesses and entrepreneurs throughout Maryland. For more information about available funding opportunities with TEDCO, go here: https://www.tedcomd.com/funding .","Jean-Luc Park, Kerwin Rent","COLUMBIA, EGL, SSBCI, STEM, Social Impact Funds, State Small Business Credit Initiative"
