keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match
"Flourish and Thrive Labs, LLC","FLOURISH AND THRIVE LABS, LLC",YY7YBLR4LX35,9EWJ9,"140 Mallard Court,Grayslake, Illinois,60030-3411, United States","75 Commerce DR #692,Grayslake, Illinois,60030-9998, United States",https://www.fandtlabs.com/,"Jul 16, 2018","Jefferson E McMillan-Wilhoit, Mr","Juliana M McMillan-Wilhoit, Ms.",Illinois 10,"Illinois, United States",1
"Fzata, Inc.",FZATA INC,SLGDVHJS1Y85,7HCP9,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States",,"Oct 6, 2015","Zhiyong Yang, CEO","Zhiyong Yang, CEO",Maryland 07,"Delaware, United States",1
"Gray Zone, LLC","GRAY ZONE, LLC",RWMNUWBCKAJ9,8EG75,"10328 Mockingbird Pond CT,Burke, Virginia,22015-3764, United States","10328 Mockingbird Pond CT,Burke, Virginia,22015-3764, United States",https://grayzonesolutions.com/,"Oct 1, 2018","Daniel M Colman, President","Daniel M Colman, President",Virginia 11,"Virginia, United States",1
"Materic, LLC",MATERIC LLC,HZ5UWCKDVJJ3,8PWR5,"1300 Bayard ST,Baltimore, Maryland,21230-1901, United States","1300 Bayard ST,Baltimore, Maryland,21230-2043, United States",,"Jul 4, 2020",Kelli Booth,Kelli Booth,Maryland 07,"Maryland, United States",1
NanoChon,"NANOCHON, INC.",HSAAS2NTM6K3,7LG68,"1317 Shepherd ST NW Unit D,Washington, District Of Columbia,20011-5559, United States","1317 Shepherd ST NW,Unit D,Washington, District Of Columbia,20011-3625, United States",https://www.nanochon.com/,"Aug 19, 2021","Ben Holmes, CEO/Secretary","Ben Holmes, CEO/Secretary",District Of Columbia 98,"Delaware, United States",1
Nanodirect LLC,NANODIRECT LLC,DK1KNJNL7YV5,6YW10,"1300 Bayard ST,Baltimore, Maryland,21230-1901, United States","1300 Bayard ST,Baltimore, Maryland,21230-1901, United States",,"Jul 22, 2013",Kelli Booth,Kelli Booth,Maryland 07,"Maryland, United States",1
NasaClip,"NASACLIP, INC.",HWVLQYF3WH94,8UCT1,"1100 Wicomico ST,STE 600-C,Baltimore, Maryland,21230-2090, United States","8717 Timber Oak LN,Laurel, Maryland,20723, United States",https://nasaclip.com/,"Jul 7, 2015","Elizabeth P Clayborne, Dr","Elizabeth P Clayborne, Dr",Maryland 07,"Maryland, United States",1
"Oculi, Inc",FRIS INC,QPDQS5PB3JM6,91YG2,"260 E Main ST STE 6325,Rochester, New York,14604-2100, United States","260 E Main ST STE 6325,Rochester, New York,14604-2100, United States",https://www.oculi.ai/,"Oct 15, 2019","Patrick Oduor, Mr.","Patrick Oduor, Mr.",New York 25,"Delaware, United States",1
"Pancopia, Inc.","PANCOPIA, INC.",ZRV7TNXZPDJ3,7AJM7,"1100 Exploration WAY STE 208,Hampton, Virginia,23666-6264, United States","1100 Exploration WAY,Suite 208,Hampton, Virginia,23666-6264, United States",https://www.pancopia.com/,"Nov 7, 2014","William Cumbie, Chief Executive Officer","William Cumbie, Chief Executive Officer",Virginia 03,"Virginia, United States",1
"PathoDynamics, LLC",PATHODYNAMICS LLC,MHRXDJYJAPU9,94RF7,"10300 Eaton PL STE 440,Fairfax, Virginia,22030-2239, United States","13701 Canal Vista CT,Potomac, Maryland,20854-1024, United States",,"Feb 16, 2021","Mohsin Jafri, CTO","Mohsin Jafri, CTO",Virginia 11,"Virginia, United States",1
"PediaMetrix, Inc",PEDIAMETRIX INC.,M41ALBKWRKL5,81WG5,"155 Gibbs ST, Unit 537,Rockville, Maryland,20850-0393, United States","155 Gibbs ST STE 537,Rockville, Maryland,20850-0393, United States",,"Jan 23, 2018","Fereshteh Aalamifar, Dr",Reza Seifabadi,Maryland 08,"Delaware, United States",1
"Rhizome, LLC",RHIZOME DATA INC,UJHYTZ3RM7U6,,"3619 Georgia Avenue NORTHWEST, APT 502,Washington, District Of Columbia,20010-1977, United States","3619 Georgia Avenue NORTHWEST, APT 502,Washington, District Of Columbia,20010-1977, United States",https://www.rhizomedata.com/,"Aug 9, 2022",Mishal Thadani,Mishal Thadani,District Of Columbia 98,"Delaware, United States",1
Scanogen Inc,SCANOGEN INC.,JK9PMLM41J77,6NSE7,"3102 Lord Baltimore DR,STE 214,Baltimore, Maryland,21244-2881, United States","3102 Lord Baltimore DR,STE 214,Baltimore, Maryland,21244-2881, United States",http://www.scanogen.com/,"Nov 19, 2012",ALFREDO A CELEDON,ALFREDO A CELEDON,Maryland 07,"Delaware, United States",1
SeeHear LLC,SEEHEAR LLC,NNGGL4HBEAW1,6XM87,"1716 N Danville ST,Arlington, Virginia,22201-4034, United States","1716 N Danville ST,Arlington, Virginia,22201-4034, United States",https://seehear.us/,"Jun 5, 2013",Silvio P Eberhardt,Silvio P Eberhardt,Virginia 08,"Virginia, United States",1
Sensing Machines LLC,SENSING MACHINES LLC,DQE7VT6GUTQ1,4J6H4,"12010 Hammonds Glen CIR,Kingsville, Maryland,21087-1515, United States","12010 Hammonds Glen CIR,Kingsville, Maryland,21087-1515, United States",http://www.sensing-machines.com/,"May 25, 2006","FRANCISCO Tejada, President","FRANCISCO Tejada, President",Maryland 01,"Maryland, United States",1
"SmartBridge, Inc.","SMARTBRIDGE, LLC",MBF8QJZTKL83,42DG7,"2050 W Sam Houston PKWY S STE 1425,Houston, Texas,77042-2079, United States","2050 W Sam Houston PKWY S STE 1425,Houston, Texas,77042-2079, United States",https://smartbridge.com/,"Feb 19, 2003","Brooke Browne, Marketing Director","Deepthi Raju, Director",Texas 07,"Texas, United States",1
"Stocastic, LLC",STOCASTIC LLC,L291S2FT3X95,7HMG4,"629 S Belnord AVE,Baltimore, Maryland,21224-3804, United States","629 S Belnord AVE,Baltimore, Maryland,21224-3804, United States",https://www.stocastic.com/,"Oct 8, 2015",Eric Hamrock,Eric Hamrock,Maryland 07,"Delaware, United States",1
Advancing Synergy,"ADVANCING SYNERGY, LLC",LEG3S3MAK989,66G03,"12155 Pond Pine DR,Clarksburg, Maryland,20871-4475, United States","12155 Pond Pine Drive,Clarksburg, Maryland,20871-4475, United States",https://www.advancingsynergy.com/,"Nov 18, 2009","ARTI P VARANASI, President & CEO","ARTI P VARANASI, DR.",Maryland 06,"Maryland, United States",1
Nostopharma LLC,NOSTOPHARMA LLC,FKVPNPQK64H8,7ZZH1,"7600 Coddle Harbor LN,Potomac, Maryland,20854-3251, United States","7600 Coddle Harbor LN,Potomac, Maryland,20854-3251, United States",,"Oct 1, 2016",Jelena Jeremic,Jelena Jeremic,Maryland 08,"Maryland, United States",1
Microsphere Material Solutions LLC,MICROSPHERE MATERIAL SOLUTIONS LLC,L9JEFENVH8R6,7NHG8,"7226 Old Gate RD,Rockville, Maryland,20852-4414, United States","7226 Old Gate RD,Rockville, Maryland,20852-4414, United States",https://www.microspheresolutions.com/,"Jan 4, 2016",Matthew DeMay,Avi Edery,Maryland 08,"Maryland, United States",1
Ion Storage Systems,"ION STORAGE SYSTEMS, INC.",JJTZLGTS4W36,8CQH1,"12500 Baltimore AVE STE D,Beltsville, Maryland,20705-6353, United States","12500 Baltimore AVE STE D,Beltsville, Maryland,20705-6353, United States",https://ionstoragesystems.com/,"Feb 26, 2019","Benjamin Chiu, CFO","Gregory Hitz, CTO",Maryland 04,"Delaware, United States",1
"Trench Therapeutics, Inc","TRENCH THERAPEUTICS, INC.",FSZZS9455ZU9,,"16 Aliso WAY,Portola Valley, California,94028-7527, United States","16 Aliso WAY,Portola Valley, California,94028-7527, United States",,"Dec 22, 2020",Paul Conley,Paul Conley,California 16,"Delaware, United States",1
True Bearing Diagnostics,TRUE BEARING DIAGNOSTICS INC,E6K4D6DGCD65,7XEW3,"2450 Virginia AVE NW APT E117,Washington, District Of Columbia,20037-2651, United States","2450 Virginia AVE, NW,Suite E117,Washington, District Of Columbia,20037, United States",https://www.truebearingdiagnostics.com/,"May 17, 2017","Tisha Jepson, CEO","Tisha Jepson, CEO",District Of Columbia 98,"Delaware, United States",1
"Epigenos Bioscience, INC",EPIGENOS BIOSCIENCE INC,LDDWVYDKFZ33,87GA9,"128 Hunters Ridge RD,Chapel Hill, North Carolina,27517-9017, United States","128 Hunters Ridge RD,Chapel Hill, North Carolina,27517-9017, United States",,"Oct 29, 2018",Joseph Ruiz,Joseph Ruiz,North Carolina 04,"Delaware, United States",1
Word of Mouth Technologies Inc,WORD OF MOUTH TECHNOLOGIES INC.,FF13BNHWLH18,8Z3B9,"3960 Spencer ST,Las Vegas, Nevada,89119-5201, United States","2664 West Park DR,Baltimore, Maryland,21207-6042, United States",,"Jul 17, 2020","Margaret C Smith, Director","Margaret C Smith, Director",Nevada 01,"Nevada, United States",1
ReflectAR,REFLECTAR LLC,JX7GU2UFW2D4,,"5817 Solway ST,Pittsburgh, Pennsylvania,15217-1228, United States","5817 Solway ST,Pittsburgh, Pennsylvania,15217-1228, United States",,"Apr 15, 2024","Fernando De la Torre, CEO","Francisco Vicente, CTO",Pennsylvania 12,"Delaware, United States",1
AI SENSE,AI SENSE LLC,S2LAUP52NE29,03A39,"3995 College AVE,Ellicott City, Maryland,21043-5501, United States","3995 College Avenue,Ellicott City,Ellicott City, Maryland,21043, United States",,"May 2, 2024","Bipendra Basnyat, Dr",Bipendra Basnyat,Maryland 03,"Maryland, United States",1
Green Mechanics Benefit LLC,GREEN MECHANICS BENEFIT LLC,MPV1C4YKNHE8,9DS37,"115 Centerway,Greenbelt, Maryland,20770-1836, United States","3947 Nemo Road,Randallstown, Maryland,20770, United States",https://greenmechanics.co/,"Apr 11, 2019",Larry Davis,Larry Davis,Maryland 04,"Maryland, United States",1
Illuminate Therapeutics,"ILLUMINATE THERAPEUTICS, INC.",WVLWH6J17CP5,9HSL5,"16 Aliso WAY,Portola Valley, California,94028-7527, United States","16 Aliso WAY,Portola Valley, California,94028, United States",,"Apr 12, 2022",Elizabeth Berezovsky,Don Arnold,California 16,"Delaware, United States",1
New Integration Photonics,NEW INTEGRATION PHOTONICS,V53MN9576TE6,6VF85,"5301 Dorset AVE,Chevy Chase, Maryland,20815-6629, United States","5301 Dorset AVE,Chevy Chase, Maryland,20815-6629, United States",,"Aug 3, 2004","Mario Dagenais, CEO","Mario Dagenais, CEO",Maryland 08,"Delaware, United States",1
