keyword,sam_company_name,sam_website,match,sam_physical_address_street,sam_physical_address_city,sam_physical_address_state,sam_physical_address_zipcode,sam_mailing_address_street,sam_mailing_address_city,sam_mailing_address_state,sam_mailing_address_zipcode,sam_incorp_year,sam_contacts,sf_company_name,sf_full_name,sf_street,sf_city,sf_state,sf_country,sf_zipcode,sf_website,sf_incorporation_year,ms_company_name_fuzzy_score,ms_website_fuzzy_score,ms_incorp_year_fuzzy_score,ms_street_fuzzy_score_physical,ms_street_fuzzy_score_mailing,ms_city_fuzzy_score_physical,ms_city_fuzzy_score_mailing,ms_state_fuzzy_score_physical,ms_state_fuzzy_score_mailing,ms_zipcode_fuzzy_score_physical,ms_zipcode_fuzzy_score_mailing,highest_fuzzy_score
"OraBiotech, LLC","ORABIOTECH, LLC",,1,1911 Billabong LN,Chapel Hill,North Carolina,27516,1911 Billabong LN,Chapel Hill,North Carolina,27516,2021,"['Rishma Shah', 'Rishma Shah']","OraBiotech, LLC",['Rishma Shah'],24 Oak Drive,Durham,North Carolina,United States,27707,,2021,100.0,0.0,0,20.68965517241379,20.68965517241379,23.529411764705888,23.529411764705888,100.0,100.0,40.0,40.0,100.0
Syzygy Optics Inc.,SYZYGY OPTICS LLC,,1,536 Meadow Run,Chapel Hill,North Carolina,27517,536 Meadow Run,Chapel Hill,North Carolina,27517,2010,"['Mike Sullivan', 'Mike Sullivan']",Syzygy Optics Inc.,['Mike Sullivan'],P.O. Box 211,Chapel Hill,North Carolina,United States,27514,https://syzygyoptics.com/,2010,85.71428571428572,0.0,0,23.076923076923073,23.076923076923073,100.0,100.0,100.0,100.0,80.0,80.0,100.0
"Resilient Lifescience, Inc.","RESILIENT LIFESCIENCE, INC",https://www.resilient.bio/,1,100 S Commons,Pittsburgh,Pennsylvania,15212,,,,,2022,"['Bradford Holden', 'Bradford Holden']","Resilient Lifescience, Inc.",['Bradford Holden'],100 S Commons Ste 102,Pittsburgh,Pennsylvania,United States,15212-5359,https://www.resilient.bio/about,2022,98.11320754716981,91.22807017543859,0,76.47058823529412,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
"PFF, LLC","PFF, LLC",,1,7811 Hubble DR,Lanham,Maryland,20706,7811 Hubble DR,Lanham,Maryland,20706,2016,"['Cassandra Lacey', 'Cassandra Lacey']","PFF, LLC",['Cassandra Lacey'],7811 Hubble Dr,Lanham,Maryland,United States,20706 2494,https://processforthefuture.com//,2016,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Assure Technologies, LLC","ASSURE MEDICAL TECHNOLOGIES, INC.",,1,200 Butternut DR,Chapel Hill,North Carolina,27514,200 Butternut DR,Chapel Hill,North Carolina,27514,2018,"['Stephen Eckel', 'Stephen Eckel']","Assure Technologies, LLC",['Stephen Eckel'],200 Butternut Dr,Chapel Hill,North Carolina,United States,27514 1615,https://www.assuretechnologiesnc.com,2018,77.19298245614034,10.256410256410254,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Wave Welcome,WAVE WELCOME LLC,https://www.wavewelcome.com/,1,6307 Hickory Bnd,Clinton,Maryland,20735,6307 Hickory Bend,Clinton,Maryland,20735,2020,"['Janelle Wright', 'Janelle Wright']",Wave Welcome,['Vennard Wright'],6307 Hickory Bnd,Clinton,Maryland,United States,20735 9588,https://wavewelcome.com,2020,85.71428571428572,90.19607843137256,0,100.0,96.96969696969697,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Nervosys,NERVOSYS LLC,https://nervosys.ai/,1,100 N Howard ST STE R,Spokane,Washington,99201,100 N Howard ST STE R,Spokane,Washington,99201,2022,"['Adam Erickson', 'Adam Erickson']",Nervosys,['Adam Erickson'],,College Park,Maryland,United States,,https://nervosys.ai,2022,80.0,97.43589743589743,0,0.0,0.0,21.052631578947366,21.052631578947366,22.22222222222222,22.22222222222222,0.0,0.0,69.76744186046511
VETTA Solutions Inc,VETTA SOLUTIONS INC.,,1,2140 S Dupont HWY,Camden,Delaware,19934,,,,,2023,"['Elizabeth Bjornsen', 'Elizabeth Bjornsen']",VETTA Solutions Inc,['Jason Franz'],,,,United States,,https://www.vettasolutions.com/,,97.43589743589743,11.764705882352944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Second Star Robotics, LLC",SECOND STAR ROBOTICS LLC,https://www.secondstarrobotics.com/,1,2333 Distribution CIR,Silver Spring,Maryland,20910,2333 Distribution CIR,Silver Spring,Maryland,20910,2019,"['Eric Berkenpas', 'Eric Berkenpas']","Second Star Robotics, LLC","['Eric Berkenpas', 'Eric Berkenpas']",2333 Distribution Cir,Silver Spring,Maryland,United States,20910 1261,https://www.secondstarrobotics.com/,2019,97.95918367346938,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Liatris Inc.,LIATRIS INC.,https://www.liatris.biz/,1,,,,,,,,,2018,"['Frank Yang', 'Riley Engels']",Liatris Inc.,['Jessica Waldmann'],4825 Cordell Ave Ste 208,Bethesda,Maryland,United States,20814,https://www.liatris.biz/,2019,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91304347826086
"miRecule, Inc.","MIRECULE, INC.",,1,704 Quince Orchard RD,Gaithersburg,Maryland,20878,,,,,2016,"['Anthony Saleh', 'Anthony Saleh']","miRecule, Inc.",['Anthony Saleh'],704 Quince Orchard Road,Gaithersburg,Maryland,United States,20878,https://mirecule.com,2016,100.0,0.0,0,95.45454545454545,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
Opal HTM,"OPAL HTM, INC.",https://www.opalhtm.com/,1,1623 W Fulton ST,Chicago,Illinois,60612,,,,,2021,"['Connor Roberts', 'Connor Roberts']",Opal HTM,['Connor Roberts'],3827 Fawn Ln,White Plains,Maryland,United States,20695 3310,https://www.opalhtm.tech,2017,72.72727272727273,87.5,0,42.85714285714286,0.0,31.57894736842105,0.0,25.0,0.0,40.0,0.0,100.0
RedShred,"REDSHRED, LLC",https://redshred.com/,1,5520 Research Park DR STE 100,Catonsville,Maryland,21228,,,,,2014,"['Jeehye Yun', 'James Kukla']",RedShred,['Jeehye Yun'],5520 Res Pk Dr Ste 100,Baltimore,Maryland,United States,21228,https://redshred.com/contact/,2014,76.19047619047619,84.0,0,86.27450980392157,0.0,40.0,0.0,100.0,0.0,100.0,0.0,100.0
"Sonavex, Inc.",SONAVEX INC,,1,,,,,,,,,2015,"['David Narrow', 'David Narrow']","Sonavex, Inc.",['David Narrow'],2835 Odonnell St,Baltimore,Maryland,United States,21224 4994,https://www.sonavex.com,2013,91.66666666666666,15.384615384615385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846153846154
Nicelle Technologies LLC,NICELLE TECHNOLOGIES INC,https://nicelletech.com/,1,2140 S Dupont HWY,Camden,Delaware,19934,,,,,2023,"['Cheryl Wooten', 'Cheryl Wooten']",Nicelle Technologies LLC,['Ericka Ford'],,Raleigh,North Carolina,United States,,https://nicelletech.com/,2021,91.66666666666666,100.0,0,0.0,0.0,30.76923076923077,0.0,18.181818181818176,0.0,0.0,0.0,100.0
Imagining Reality Insights & Solutions Inc.,"IMAGINING REALITY INSIGHTS & SOLUTIONS, INC.",,1,,,,,300 W Pratt ST STE 200,Baltimore,Maryland,21201,2021,"['Nao Gamo', 'Amy Hizoune']",Imagining Reality Insights & Solutions Inc.,['Anne-Laurence Nemorin'],300 W Pratt St Ste 200,Baltimore,Maryland,United States,21201,https://iris-xre.com,,98.85057471264368,0.0,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0
"AGAPE Strategic Solutions of Maryland, LLC","AGAPE STRATEGIC SOLUTIONS OF MARYLAND, LLC",https://www.agapessom.com/,1,3102 Tribune CT,Hyattsville,Maryland,20782,3102 Tribune CT,Hyattsville,Maryland,20782,2022,"['Melva Covington', 'Melva Covington']","AGAPE Strategic Solutions of Maryland, LLC",['Melva Covington'],3102 Tribune Court,Hyattsville,Maryland,United States,20782,https://agapessom.com,2022,100.0,89.36170212765957,0,90.9090909090909,90.9090909090909,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Alperian,"ALPERIAN, LLC",,1,8082 Leishear RD,Laurel,Maryland,20723,8082 Leishear RD,Laurel,Maryland,20723,2021,"['Jason Harwerth', 'Jason Harwerth']",Alperian,['Jason Harwerth'],5301 Middleburg Rd,Union Bridge,Maryland,United States,21791,https://www.linkedin.com/company/alperian/about/,2021,76.19047619047619,11.764705882352944,0,47.05882352941176,47.05882352941176,33.333333333333336,33.333333333333336,100.0,100.0,40.0,40.0,100.0
Tetra Fields LLC,TETRA FIELDS LLC,https://www.tetrafields.com/,1,13308 Arctic AVE,Rockville,Maryland,20853,13308 Arctic AVE,Rockville,Maryland,20853,2020,"['Thomas Chon', 'Steve Chon']",Tetra Fields LLC,['Thomas Chon'],,,,United States,,,,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Kgenetix farm llc,KGENETIX FARM LLC,,1,2315 Ashburton ST,Baltimore,Maryland,21216,201 Rudy Park,Elkton,Maryland,21921,2023,"['brandon walker', 'brandon walker']",Kgenetix farm llc,"['Brandon Walker', 'Brandon Walker']",2315 Ashburton St,Baltimore,Maryland,United States,21216 2912,https://www.kgenetixfarm.com,2023,100.0,12.903225806451612,0,100.0,33.333333333333336,100.0,40.0,100.0,100.0,66.66666666666667,53.333333333333336,100.0
Magnify Biosciences Inc.,MAGNIFY BIOSCIENCES INC.,https://www.magnifybiosci.com/,1,1632 Norman DR,Sewickley,Pennsylvania,15143,1632 Norman DR,Sewickley,Pennsylvania,15143,2023,"['Yongxin Zhao', 'Yongxin Zhao']",Magnify Biosciences Inc.,['Feifei Fu'],,Pittsburgh,Pennsylvania,United States,,,2023,100.0,0.0,0,0.0,0.0,10.526315789473683,10.526315789473683,100.0,100.0,0.0,0.0,100.0
Coordle,COORDLE INC,,1,333 E 20TH ST,Baltimore,Maryland,21218,333 E 20TH ST,Baltimore,Maryland,21218,2022,"['Jen Fry', 'Jen Fry']",Coordle,"['Jen Fry', 'Jen Fry']",8 The Grn,Dover,Delaware,United States,19901 3618,https://coordleapp.com/,2022,77.77777777777779,7.692307692307687,0,36.36363636363637,36.36363636363637,28.57142857142857,28.57142857142857,25.0,25.0,40.0,40.0,100.0
Precision Wellness,S.O.S.A.B. LLC,https://www.precisionwellbeing.net/,1,700 Pennsylvania AVE SE FL 2,Washington,District Of Columbia,20003,700 Pennsylvania AVE SE FL 2,Washington,District Of Columbia,20003,2021,"[None, None]",Precision Wellness,"['Shenita-Ann Grymes', 'Shenita-Ann Grymes']",700 Pennsylvania Avenue Southeast,Washington,District of Columbia,United States,20003,https://precisionwellnessctr.com/,2021,31.25,73.52941176470588,0,75.40983606557377,75.40983606557377,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Khanjur R&D,"KHANJUR HOLDINGS, LLC",https://khanjur.com/,1,3390 Cupecoy Point AVE,Las Vegas,Nevada,89141,3390 Cupecoy Point Avenue,Las Vegas,Nevada,89141,2022,"['Sabrina Curtis', 'Sabrina Curtis']",Khanjur R&D,"['Sabrina Curtis', 'Sabrina Curtis']",10142 Avenel Gardens Lane,Silver Spring,Maryland,United States,20903,https://khanjur.com/,2022,56.25,100.0,0,34.04255319148937,36.0,36.36363636363637,36.36363636363637,28.57142857142857,28.57142857142857,19.999999999999996,19.999999999999996,75.0
Shell Yeah,SHELL YEAH! LLC,,1,916 23RD ST,Gulfport,Mississippi,39501,916 23RD ST,Gulfport,Mississippi,39501,2024,"['Ebony Conley', 'Ebony Conley']",Shell Yeah,['Moriah Baybrick'],2843 Cub Hill Road,Baltimore,Maryland,United States,,https://www.linkedin.com/company/shell-yeah/,2023,80.0,12.765957446808507,0,27.586206896551722,27.586206896551722,35.29411764705882,35.29411764705882,10.526315789473683,10.526315789473683,0.0,0.0,61.53846153846154
"Kandih Group, LLC",KANDIH GROUP LC,http://kandih.com/,1,2 Countryside CT,Silver Spring,Maryland,20905,2 Countryside CT,Silver Spring,Maryland,20905,2013,"['HARRIET KAMENDI', 'HARRIET KAMENDI']","Kandih Group, LLC",['harriet kamendi'],2 Countryside Ct,Silver Spring,Maryland,United States,20905 4516,,2013,93.75,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"BeneKinetic, Inc.","BENEKINETIC, INC,",,1,1451 Rockville Pike STE 250,Rockville,Maryland,20852,1451 Rockville Pike STE 250,Rockville,Maryland,20852,2023,"['Eric Hsia', 'Eric Hsia']","BeneKinetic, Inc.","['Daniel Puskin', 'Daniel Puskin']",1451 Rockville Pike,Rockville,Maryland,United States,20852,https://www.benekinetic.com/,2018,94.11764705882352,12.903225806451612,0,82.6086956521739,82.6086956521739,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Aquatonomy Inc,AQUATONOMY INC,https://www.aquatonomy.com/,1,307 Timber CT,Pittsburgh,Pennsylvania,15238,307 Timber CT,Pittsburgh,Pennsylvania,15238,2021,"['Michael Kaess', 'Michael Kaess']",Aquatonomy Inc,['Xiaoyu Kaess'],307 Timber Ct,Pittsburgh,Pennsylvania,United States,15238 2437,https://www.aquatonomy.com,2021,100.0,98.11320754716981,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Sonura LLC,SONURA INC.,,1,445 S 44TH ST APT 1,Philadelphia,Pennsylvania,19104,445 S 44TH ST APT 1,Philadelphia,Pennsylvania,19104,2023,"['Sophie Ishiwari', 'Sophie Ishiwari']",Sonura LLC,['Gabriella Daltoso'],,New Castle,Delaware,United States,,https://pci.upenn.edu/icorps_team/sonura/,2023,76.19047619047619,13.636363636363635,0,0.0,0.0,18.181818181818176,18.181818181818176,40.0,40.0,0.0,0.0,100.0
terraPulse,"TERRAPULSE, INC.",https://www.terrapulse.com/,1,13201 Squires CT,North Potomac,Maryland,20878,13201 Squires Court,North Potomac,Maryland,20878,2014,"['Saurabh Channan', 'Saurabh Channan']",terraPulse,['Joe Sexton'],13201 Squires Ct,North Potomac,Maryland,United States,20878 3987,https://www.terrapulse.com,2014,76.92307692307692,98.11320754716981,0,100.0,91.42857142857143,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Ionic Devices,IONIC DEVICES INC,https://www.ionic-devices.com/,1,3417 Tulane DR APT 2,Hyattsville,Maryland,20783,3417 Tulane DR APT 2,Hyattsville,Maryland,20783,2023,"['Keith Gregorczyk', 'Keith Gregorczyk']",Ionic Devices,['Keith Gregorczyk'],"3147 Tulane Dr. Apt 2
Hyattsville MD 20783",Hyattsville,Maryland,United States,20783,https://www.ionic-devices.com,,86.66666666666667,98.30508474576271,0,60.31746031746032,60.31746031746032,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Red Ace Bio LLC,RED ACE BIO LLC,https://www.redacebio.com/,1,1819 E Branch RD,State College,Pennsylvania,16801,1819 E Branch RD,State College,Pennsylvania,16801,2023,"['Scott Leighow', 'Scott Leighow']",Red Ace Bio LLC,['Scott Leighow'],,,,United States,,www.redacebio.com,2023,100.0,79.06976744186046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Advanced Aircraft Company,"ADVANCED AIRCRAFT COMPANY, LLC",https://www.advancedaircraftcompany.com/,1,,,,,1100 Exploration WAY STE 302S,Hampton,Virginia,23666,2017,"['Aaron Frank', 'Paul Allen']",Advanced Aircraft Company,"['William Fredericks', 'William Fredericks']",1100 Exploration Way,Hampton,Virginia,United States,23666 6264,http://www.advancedaircraftcompany.com/,2017,90.9090909090909,98.73417721518987,0,0.0,81.63265306122449,0.0,100.0,0.0,100.0,0.0,66.66666666666667,100.0
AliquantumRx Inc.,ALIQUANTUMRX INC,https://www.aliquantumrx.com/,1,1812 Ashland AVE STE 100,Baltimore,Maryland,21205,1812 Ashland AVE STE 100,Baltimore,Maryland,21205,2016,"['Nikola Kaludov', 'Nikola Kaludov']",AliquantumRx Inc.,['Nick Kaludov'],1812 Ashland Ave,Baltimore,Maryland,United States,21205 1546,https://aliquantumrx.com,2015,96.96969696969697,90.56603773584906,0,80.0,80.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Armaments Research Company,ARMAMENTS RESEARCH COMPANY INC.,http://www.armaments.us/,1,6422 Broad ST,Bethesda,Maryland,20816,4445 Willard AVE STE 600,Chevy Chase ,Maryland,20815,2013,"['Michael Canty', 'Michael Canty']",Armaments Research Company,['Michael Canty'],6422 Broad St,Bethesda,Maryland,United States,20816 2608,https://www.armaments.us,2021,91.22807017543859,95.83333333333334,0,100.0,37.83783783783784,100.0,31.57894736842105,100.0,100.0,66.66666666666667,53.333333333333336,100.0
Ashvattha Therapeutics Inc,"ASHVATTHA THERAPEUTICS, INC.",https://www.avttx.com/,1,,,,,,,,,2019,"['Sabrina Nieder', 'Elizabeth Torrelio']",Ashvattha Therapeutics Inc,['Kannan Rangaramanujam'],1812 Ashland Ave Ste 100,Baltimore,Maryland,United States,21205-1546,https://avttx.com,,96.2962962962963,87.17948717948718,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2962962962963
"Beyond Reach Labs, Inc.","BEYOND REACH LABS, INC.",https://www.beyondreachlabs.io/,1,5 Bayard RD APT 810,Pittsburgh,Pennsylvania,15213,5 Bayard RD APT 810,Pittsburgh,Pennsylvania,15213,2023,"['Mitchell Fogelson', 'Mitchell Fogelson']","Beyond Reach Labs, Inc.",['Mitchell Fogelson'],,,,United States,,https://www.beyondreachlabs.io/aboutt,,100.0,91.17647058823529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Datasembly, Inc.",DATASEMBLY INC,https://datasembly.com/,1,,,,,,,,,2014,"['Eric Zuckerman', 'Ian Saxton']","Datasembly, Inc.",['Ben Reich'],1775 Tysons Blvd Fl 5,Tysons,Virginia,United States,22102-4285,https://datasembly.com,2015,93.33333333333333,97.77777777777777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4186046511628
"Flourish and Thrive Labs, LLC","FLOURISH AND THRIVE LABS, LLC",https://www.fandtlabs.com/,1,140 Mallard Court,Grayslake,Illinois,60030,,,,,2018,"['Jefferson McMillan', 'Juliana McMillan']","Flourish and Thrive Labs, LLC",['Jefferson McMillan'],140 Mallard CT,Grayslake,Illinois,United States,60030-3411,https://www.fandtlabs.com,2018,100.0,98.0392156862745,0,90.32258064516128,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,87.5
"Fzata, Inc.",FZATA INC,,1,1450 S Rolling RD,Halethorpe,Maryland,21227,1450 S Rolling RD,Halethorpe,Maryland,21227,2015,"['Zhiyong Yang', 'Zhiyong Yang']","Fzata, Inc.",['Zhiyong Yang'],1450 S Rolling Rd,Halethorpe,Maryland,United States,21227 3867,https://www.fzata.com/,2015,90.0,7.9999999999999964,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Gray Zone, LLC","GRAY ZONE, LLC",https://grayzonesolutions.com/,1,10328 Mockingbird Pond CT,Burke,Virginia,22015,10328 Mockingbird Pond CT,Burke,Virginia,22015,2018,"['Daniel Colman', 'Daniel Colman']","Gray Zone, LLC",['Daniel Miles Colman'],10328 Mockingbird Pond Ct,Burke,Virginia,United States,22015 3764,https://grayzonesolutions.com,2018,100.0,98.30508474576271,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Materic, LLC",MATERIC LLC,,1,1300 Bayard ST,Baltimore,Maryland,21230,1300 Bayard ST,Baltimore,Maryland,21230,2020,"['Kelli Booth', 'Kelli Booth']","Materic, LLC",['Stephen Farias'],1100 Wicomico St Ste 323,Baltimore,Maryland,United States,21230-2043,https://matericgroup.com,2020,95.65217391304348,7.4074074074074066,0,36.8421052631579,36.8421052631579,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
NanoChon,"NANOCHON, INC.",https://www.nanochon.com/,1,1317 Shepherd ST NW Unit D,Washington,District Of Columbia,20011,,,,,2021,"['Ben Holmes', 'Ben Holmes']",NanoChon,"['Nan An', 'Nathan Castro', 'Benjamin Holmes']",5804 Fitzhugh St,Burke,Virginia,United States,22015 3625,,2016,72.72727272727273,0.0,0,28.57142857142857,0.0,0.0,0.0,35.71428571428571,0.0,40.0,0.0,100.0
NasaClip,"NASACLIP, INC.",https://nasaclip.com/,1,,,,,8717 Timber Oak LN,Laurel,Maryland,20723,2015,"['Elizabeth Clayborne', 'Elizabeth Clayborne']",NasaClip,['Elizabeth Phillips'],,Baltimore,Maryland,United States,,https://shop.nasaclip.com/?utm_source=Social+Media&utm_medium=Linkedin,2015,72.72727272727273,46.15384615384615,0,0.0,0.0,0.0,40.0,0.0,100.0,0.0,0.0,100.0
"Oculi, Inc",FRIS INC,https://www.oculi.ai/,1,260 E Main ST STE 6325,Rochester,New York,14604,260 E Main ST STE 6325,Rochester,New York,14604,2019,"['Patrick Oduor', 'Patrick Oduor']","Oculi, Inc",['Charbel Rizk'],,Baltimore,Maryland,United States,,https://www.oculi.ai,2019,55.55555555555556,97.5609756097561,0,0.0,0.0,22.22222222222222,22.22222222222222,12.5,12.5,0.0,0.0,100.0
"Pancopia, Inc.","PANCOPIA, INC.",https://www.pancopia.com/,1,1100 Exploration WAY STE 208,Hampton,Virginia,23666,,,,,2014,"['William Cumbie', 'William Cumbie']","Pancopia, Inc.",['Bill Cumbie'],1100 Exploration Way,Hampton,Virginia,United States,23666-6264,https://www.pancopia.com/,2014,100.0,100.0,0,83.33333333333334,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
"PathoDynamics, LLC",PATHODYNAMICS LLC,,1,10300 Eaton PL STE 440,Fairfax,Virginia,22030,13701 Canal Vista CT,Potomac,Maryland,20854,2021,"['Mohsin Jafri', 'Mohsin Jafri']","PathoDynamics, LLC",['Saleet Jafri'],13701 Canal Vista Ct,Potomac,Maryland,United States,20854,https://pathodynamics.com,2021,97.14285714285714,14.28571428571429,0,52.38095238095239,100.0,14.28571428571429,100.0,25.0,100.0,40.0,100.0,100.0
