Legal Name,UEI,CAGE,Company Website,Incorporation Date,Legislative District,Street Address,City,State,Zip Code,Country,Incorporation State,Incorporation Country
Curiedx Inc.,QUJ8BQ1CFAS2,95J39,https://www.curiedx.com/,"Feb 23, 2021",MD-02,634 Regester AVE,Baltimore,Maryland,21212,United States,Maryland,United States
"Fetal Therapy Technologies, LLC",PKFAVKTBQMN9,0QE35,,"May 8, 2024",MD-02,7207 Verbena RD,Baltimore,Maryland,21209,United States,Maryland,United States
Tastee Tape Inc.,G3GNQMXESNU3,114L3,,"May 28, 2024",CA-29,14560 Kittridge ST,Los Angeles,California,91401,United States,Delaware,United States
Nanos Inc.,CUV2YSQMUXN7,,,"Nov 26, 2023",CA-23,11219 Anderson ST,Loma Linda,California,92354,United States,California,United States
"Molecular Rebar Design, LLC",LL34B99KR2R4,6W5Y4,https://www.molecularrebar.com/,"Sep 1, 2012",TX-21,13477 Fitzhugh RD,Austin,Texas,78736,United States,Delaware,United States
Sorbenta Inc.,JBJ7EF1MD9P1,,,"Aug 29, 2022",NC-04,1538 Pathway DR,Carrboro,North Carolina,27510,United States,North Carolina,United States
"Orintelligence, LLC",ZKUQD8D1H9D3,79T42,,"Oct 20, 2014",TX-02,"55 Waugh DR, STE 150",Houston,Texas,77007,United States,Texas,United States
"Melatech, LLC",UFHYM6EJN7L3,8BVY8,https://https//WWW.MELATECH.SPACE,"Apr 17, 2017",MD-07,"615 N Wolfe ST, STE E5132",Baltimore,Maryland,21205,United States,Maryland,United States
Nuream Inc.,YXLZAUBSQZK1,9NA90,https://www.nuream.com/,"Apr 24, 2023",NC-07,1627 Pembroke Jones DR,Wilmington,North Carolina,28405,United States,Delaware,United States
Prompt Diagnostics Inc.,L28FVGJ715D7,8TGK1,https://prompt-dx.com/,"Jul 29, 2020",MD-07,"2401 W Belvedere AVE, Schapiro Building Room 313",Baltimore,Maryland,21215,United States,Delaware,United States
Shadowgen Inc.,WL8CY7F1QLA6,0VQ46,https://www.shadowgen.io/,"Jun 24, 2024",AZ-02,2409 Lockwood DR,Lakeside,Arizona,85929,United States,Delaware,United States
"Effective To Great Education, LLC",QZSYFMDLA7P7,81B84,,"Sep 18, 2017",,5106 Jay ST NE,Washington,District Of Columbia,20019,United States,District Of Columbia,United States
Amlal Pharmaceuticals Inc.,UQN1CKG4QYL5,9TLF6,,"Jul 1, 2020",OH-01,209 Hosea AVE,Cincinnati,Ohio,45220,United States,Ohio,United States
"Telohealthdx, LLC",ZWK6WMUV43G5,,,"Aug 22, 2022",MD-06,23003 Frederick RD,Clarksburg,Maryland,20871,United States,Delaware,United States
"Ca Enterprise, LLC",L6BPGL7NKNM7,,,"Oct 5, 2021",MD-04,2220 Lakewood Street,Suitland,Maryland,20746,United States,Maryland,United States
"Im Technologies, LLC",LM98CNVAUTG5,8ETM5,https://www.imtechllc.com/,"May 14, 2019",NY-01,24 Robinson ST,Shoreham,New York,11786,United States,New York,United States
Mizar Therapeutics Inc.,QTYLAVN4EJR6,9UUM6,,"Dec 22, 2022",MA-09,"7 Mbl ST, Lillie 220",Woods Hole,Massachusetts,02543,United States,Delaware,United States
Cics Analytics Corp.,GF13EZXALLX3,,,"Nov 4, 2024",MD-07,3501 Saint Paul ST STE 702,Baltimore,Maryland,21218,United States,Delaware,United States
Metabolic Dynamics Inc.,DWN3ESJ3VNN8,9FYL9,https://www.metabolicdynamics.com/,"Jul 7, 2022",NC-04,3714 Eton RD,Durham,North Carolina,27707,United States,Delaware,United States
"Selah Innovations, LLC",WXYFL7VK8NP4,,,"May 26, 2023",NC-02,6212 Sandy Forks RD,Raleigh,North Carolina,27615,United States,North Carolina,United States
Semaphor Surgical Inc.,TG8XMJEG1N39,,,"Jun 10, 2024",MD-02,1822 Notre Dame Avenue,Lutherville Timonium,Maryland,21093,United States,Delaware,United States
Nanocrine Inc.,QH88DLKTLQM6,8KNM5,,"Oct 29, 2018",MD-06,4359 Metropolitan CT # 260,Frederick,Maryland,21704,United States,Delaware,United States
"Medulate, LLC",JZ6XDD99LCD1,,,"Oct 22, 2018",PA-15,2418 Oak Leaf DR,State College,Pennsylvania,16803,United States,Pennsylvania,United States
"Orabiotech, LLC",KF5LQ1X8QF87,92NV4,,"Jun 18, 2021",NC-04,1911 Billabong LN,Chapel Hill,North Carolina,27516,United States,North Carolina,United States
"Habilisglobal, LLC",SR75KL12M249,9FW60,https://habilisglobal.com/,"Sep 26, 2022",,5924 4TH Street NW,Washington,District Of Columbia,20011,United States,District Of Columbia,United States
Holochip Corp.,PLRXAUJRGGT8,3BN47,https://holochip.com/,"Oct 20, 2004",CA-36,4030 Spencer ST STE 102,Torrance,California,90503,United States,Delaware,United States
"Ellexco, LLC",DHCUEX9VDHJ5,,,"Jan 19, 2023",VA-08,7503 Axton ST,Springfield,Virginia,22151,United States,Virginia,United States
Early Intervention Systems Inc.,LHVNEWY6NM73,8EJT7,,"Aug 9, 2018",,922 24TH ST NW APT 117,Washington,District Of Columbia,20037,United States,Delaware,United States
Sonotherapeutics Inc.,U8U5AJCYXL49,,,"Nov 19, 2024",NC-04,10 Morgans Ridge LN,Durham,North Carolina,27707,United States,Delaware,United States
Somnair Inc.,CPVVSA2KY5U3,,https://www.somnairsleep.com/,"Jul 3, 2024",MD-02,307 Washington AVE,Towson,Maryland,21204,United States,Delaware,United States
"Skr Carolina, LLC",PQUZXQ7ZVTR1,,,"Nov 30, 2023",NC-02,625 Catalina Grande DR,Cary,North Carolina,27519,United States,North Carolina,United States
"Discova, LLC",QC29MV97YEG3,,https://discova-health.com/,"Jan 23, 2024",DE-00,313 Winterthur LN,Newark,Delaware,19711,United States,Delaware,United States
"Hope Diagnostics, LLC",DBCBUL4KFH47,93NH4,,"Jun 14, 2021",MD-07,1812 Ashland AVE STE 100,Baltimore,Maryland,21205,United States,Maryland,United States
Salynt Inc.,TCHJNN153X97,99JM6,https://salynt.io/,"Jul 28, 2021",MD-04,8250 Miner ST,Greenbelt,Maryland,20770,United States,Delaware,United States
"Pff, LLC",P25AZ6WDJ589,7SXE9,,"Nov 16, 2016",MD-04,7811 Hubble DR,Lanham,Maryland,20706,United States,Maryland,United States
"Biogenic Solutions Consulting, LLC",RDNPETKK6W65,8WN69,https://www.biogenicsolutionsconsulting.com/,"Feb 27, 2014",VA-03,127 Edmond DR,Newport News,Virginia,23606,United States,Virginia,United States
Sunkara Wellness Technologies Inc.,M3R3QFNJJ7E8,,,"May 23, 2023",MD-07,2809 Boston ST APT 232,Baltimore,Maryland,21224,United States,Delaware,United States
"Scholastech, LLC",UNLGYV3Y3HK9,7DJS1,http://www.scholastechnology.com/,"Oct 15, 2014",SC-06,3019 Prentice AVE,Columbia,South Carolina,29205,United States,South Carolina,United States
Lifegene Biomarks Inc.,GGR9ABCTBGG5,7RTK5,,"Oct 5, 2009",PR-98,1612 AVE Ponce De Leon,San Juan,Puerto Rico,00909,United States,Puerto Rico,United States
Sanitary Green Incorporated,D6P3UNRMJU97,8D1K4,,"Jul 11, 2019",OR-05,"2447 NE 4TH ST, STE 120",Bend,Oregon,97701,United States,Oregon,United States
"Visimo, LLC",X854ZJDHWHJ5,8DR24,https://www.visimo.ai/,"Feb 1, 2016",PA-17,520 E Main ST,Carnegie,Pennsylvania,15106,United States,Pennsylvania,United States
Aptabridge Therapeutics Inc.,UCYJY5RP56P6,9TD41,https://www.aptabridge.com/,"Dec 27, 2021",MD-07,516 South Patterson Park Avenue,Baltimore,Maryland,21231,United States,Delaware,United States
