company,businessStatus,employees,description,legalName,revenue,primaryIndustrySector,hqAddressLine1,hqLocation,companyWebsite
Quidient,Profitable,30,"Developer of 3D imagers, omnidirectional light fields, and a spatial processing system designed to deliver intrinsic imaging. The company's engines capture photorealistic 3D models of any scene or object on Earth for Generalized Scene Reconstruction (GSR) in a five-dimensional (5D) setting, enabling users to use devices like smartphones to create complete, visually accurate models of any scene or object, including those that are shiny and transparent.","Quidient, LLC",,Information Technology,7142 Columbia Gateway Drive,"Columbia, MD",www.quidient.com
READY Robotics,Generating Revenue,27,"Developer of an enterprise-grade automation interface designed to improve the quality of life and productivity through automation. The company's platform connects robotic devices equipped with a cloud computing unit which helps operators control and program common brands of robots from a single interface with minimal training, enabling manufacturers to solve their labour challenges, boost output, improve quality, reduce costs, and augment their workforce through automation.",READY Robotics Corporation,0.52,Information Technology,1080 Steelwood Road,"Columbus, OH",ready-robotics.com
Blue Rose Consulting Group,Generating Revenue,26,"Provider of consulting services to global commercial and public sector organizations. The company's services include management, people advisory, IT solutions and many other services, enabling the clients to avail the desired services.","Blue Rose Consulting Group, Inc",,Business Products and Services (B2B),2200 Pennsylvania Avenue North West,"Washington, DC",www.bluerose-consulting.com
BEIT,Generating Revenue,24,"Developer of quantum computer algorithms designed to solve an NP-complete class of problems. The company focuses on the Hamiltonian cycle problem to solve hard problems that are not solvable through classical machines, enabling companies in the logistics, manufacturing, and warehousing sectors to effectively implement algorithms.",BEIT Inc.,15.13,Information Technology,Mogilska 43,"Krakow, Poland",www.beit.tech
Sonavex,Clinical Trials - Phase 4,24,"Developer of a bioresorbable and echogenic equipment technology designed to mark at-risk blood vessels. The company's technology collects arteriovenous fistula volumetric flow rate, diameter, and depth information at the dialysis clinic to support maturation assessment such that the site can be easily assessed for future complications, enabling healthcare providers to determine blood flow and morphology of vessels and get actionable data to deliver patient care.","Sonavex, Inc.",,Healthcare,2835 O'Donnell Street,"Baltimore, MD",www.sonavex.com
CoapTech,Generating Revenue,22,"Developer of invasive surgical devices designed to offer point-of-care ultrasound procedures in hollow organs. The company's devices provide a novel platform technology that combines magnetic attraction for device placement guidance and low-cost point-of-care ultrasound for visual feedback in diagnostic, and interventional, enabling medical professionals to deskill the procedure for feeding tube placement, offering a simple, safe, and affordable method.","CoapTech, Inc.",,Healthcare,101 West Dickman Street,"Baltimore, MD",www.coaptech.com
PayAnalytics,Generating Revenue,21,"Developer of compensation analytics software designed to monitor and address gender pay gaps in corporations. The company's software provides payroll analysis tools to measure and subsequently close the pay range, enabling clients to close the demographic pay gaps and monitor salary data over time to ensure the gaps remain closed.",PayAnalytics ehf.,,Information Technology,Gróska Bjargargata 1,"Reykjavik, Iceland",www.payanalytics.com
PerSoN Clinic,Generating Revenue,21,"Operator of an eHealth technology platform intended to offer comprehensive virtual care. The company offers a turn-key, Software-as-a-service model-based platform for health systems and researchers along with online counselling services, enabling patients, caregivers, care providers teams and researchers to connect with Bi-Directional data flow for better outcomes.",PerSoN Clinic LLC,,Healthcare,12430 Park Potomac Avenue,"Potomac, MD",www.person.clinic
PediaMetrix,Generating Revenue,20,"Developer of a mobile application designed for infants' cranial measurement and monitoring at the point of care. The company's application uses computer vision and artificial intelligence algorithms to keep a record of a baby's head growth pattern, get instant quantitative head shape analysis, personalized instructions, and referral to the right professionals if the need arises, enabling parents and pediatric providers to prevent head malformations and take proper care of their children.",PediaMetrix Inc.,0.10,Healthcare,155 Gibbs Street,"Rockville, MD",www.pediametrix.com
techcos,,20,"Techcos GmbH is a Munich-based company that provides functional safety services. They specialize in consulting on systems security, functional safety, and information security. Their services are designed to support development teams in all aspects of security.",techcos GmbH,,Consumer Products and Services (B2C),Leopoldstraße 256,"Munich, Germany",techcos.de
Vitalize Care,Generating Revenue,20,"Developer of social network and wellness platform designed to improve mental and emotional well-being. The company's platform facilitates cognitive behavioral therapy to provide real-time data on staff well-being/performance and offers access to evidence-based digital mental health, enabling employers to understand and support their staff through a dashboard with data on staff mental health trends, app engagement, and drivers of burnout.","Vitalize Care, Inc.",,Healthcare,650 California Street,"San Francisco, CA",www.vitalize.care
Impruvon Health,Generating Revenue,19,"Developer of a medical technology platform designed for automated medication management. The company's platform offers smart alerts, reminders, live alerts of unauthorized access attempts, and notifications customized to each individual's needs, enabling healthcare providers to prevent medications from winding up in the wrong hands.","Impruvon, Inc",0.40,Healthcare,2101 East Biddle Street,"Baltimore, MD",www.impruvonhealth.com
HSR.health,Generating Revenue,18,"Developer of healthcare technology designed to build an innovative and unique health-focused spatial data infrastructure. The company develops cloud-based analytics and visualization platform that merges data on social determinants of health with social media data, health outcomes, and costs to extract clinical insights, thereby helping healthcare organizations to transform and commercialize the ground-breaking research into innovative, actionable solutions saving costs and lives while bringing health risk insights to the industry.","Health Solutions Research, Inc.",,Healthcare,Storey Avenue,"San Francisco, CA",www.hsr.health
InventWood,Clinical Trials - General,18,"Developer of wood-based materials designed to improve thermal energy. The company creates wood materials that are high-performance, cost-effective, and environmentally sustainable and provide energy efficiency, sunlight guiding, lighter wood for safety and installation, and anti-shatter, enabling the organization to provide natural goods while building a more sustainable future for generations to come that results in carbon-negative construction.",InventWood LLC,,Materials and Resources,5971 Jefferson Station Court,"Frederick, MD",www.inventwood.com
NextStep Robotics,Generating Revenue,18,"Developer of a portable ankle rehabilitation device designed to assist individuals with foot drop during physical therapy. The company's platform integrates advanced robotics and intelligent algorithms, offering real-time feedback and graded assistance to enhance mobility outcomes, enabling healthcare professionals to improve patient rehabilitation efficiency while reducing reliance on traditional assistive devices.","NextStep Robotics, Inc.",1.50,Healthcare,800 West Baltimore Street,"Baltimore, MD",www.nextsteprobo.com
Healable,Generating Revenue,17,"Developer of a mental health application designed for health care professionals to communicate with patients. The company's platform includes engaging content, community-based support, and including user categories such as patients, healthcare professionals, and social media influencers.",Healable Inc.,,Healthcare,55 Gibbs Street,"Rockville, MD",www.healable.com
Hazel Analytics,Generating Revenue,16,"Developer of a database software designed to deliver information on food safety. The company's platform specializes in real-time collects inspections from health department jurisdictions, enabling chain food retail operators to protect their brands and manage their compliance.",Hazel Analytics Inc.,,Information Technology,600 Stewart Street,"Seattle, WA",www.hazelanalytics.com
Advanced Aircraft Company,Generating Revenue,14,"Operator of the long-endurance tilt-wing uncrewed aircraft system designed for military and defense applications. The company's aircraft is designed for long-endurance operations and can carry multiple sensor and cargo payloads using its Utilizing Distributed Electric Propulsion (DEP) systems and aerodynamic airframes, and operates in the most austere land and maritime conditions with no operational infrastructure required, enabling clients to improve mission performance and reduce their cost per acre.",Advanced Aircraft LLC,,Information Technology,1100 Exploration Way,"Hampton, VA",advancedaircraftcompany.com
Datalytica,,14,"Operator of consulting and software solutions for national security. Datalytica offers science and technology guidance to enhance national security, specializing in computational sciences and cybersecurity. The entity provides leadership in major acquisition portfolios, research and development, and training on emerging technologies.",,,Information Technology,,"Laurel, MD",datalytica.net
Nexus 8 International,Generating Revenue,14,"Developer of a health tech platform designed to facilitate knowledge-sharing among healthcare providers. The company specializes in technology that immediate access to other experts and, expedient, collaborative tool that elicits efficient, value-laden consultation among healthcare professionals, thereby helping customers to maximize healthcare outcomes, particularly in the face of healthcare crises, such as the covid pandemic, and chronically challenging or treatment-resistant cases.","Nexus 8 International, LLC",,Healthcare,"5028 Wisconsin Avenue, Northwest","Washington, DC",www.nexus8international.com
RedShred,Generating Revenue,14,"Developer of open-information extraction software designed to provide immediate answers to various data analysis reports. The company's software automatically searches, analyzes, and extracts decision-making criteria from thousands of publicly available requests for proposals and grants each day, enabling government contractors, institutions, and universities to search, pre-qualify, track, and extract relevant information from publically available requests for proposals and grant documents to review opportunities with minimal manual intervention.",RedShred LLC,,Information Technology,5520 Research Park Drive,"Baltimore, MD",www.redshred.com
TotalCare,Generating Revenue,14,"Developer of chronic care management software intended to make healthcare more accessible. The company's software is an intuitive telemedicine platform that provides virtually scheduled visits to the patient's current healthcare and helps patients to self-manage their chronic diseases like diabetes, obesity, hypertension, COPD, cardiovascular diseases, neurological disorders, cancer, and others from the place of their convenience, enabling physicians, specialists, and behavioral health specialists to connect with their patients virtually and reduce health inequity.","Hawkeye Med Tech, Inc.",,Healthcare,6751 Columbia Gateway Drive,"Columbia, MD",www.hawkeyemedtech.com
getGFTD,Generating Revenue,13,"Developer of a digital gift card platform intended to replace physical gift cards. The company's platform allows one to send digital cards to friends and family, with no fees or expiration dates and makes it a convenient and environmentally friendly alternative to traditional present cards, digital Wishlist's, and giving apps that streamline sending and receiving gifts, enabling users easy to use affordable, and sustainable cards.","etGFTD, LLC",,Financial Services,7101 Rich Hill Road,"Baltimore, MD",www.getgftdapp.com
Oculi,Generating Revenue,13,"Developer of 3D image sensors designed for machine vision applications. The company offers data security and privacy-protected sources and true edge processors on a single chip to deliver performance, low latency decisions about defects, anomaly detection, preventative maintenance, and safety, enabling industrials, retail, and other related industries to have a sensor product at affordable prices.","Oculi, Inc.",,Information Technology,260 East Main Street,"Rochester, NY",www.oculi.ai
Accelevir,Generating Revenue,12,"Developer of infectious disease assays with a core expertise for quantitation of low-frequency viral targets intended to detect inactive human immunodeficiency viruses in the blood. The company's technology uses a medical device and diagnostic tool to accurately measure the size of the latent reservoir by quantifying the number of intact viruses, enabling physicians to substantially improve the length and quality of life of critically ill patients in areas of major unmet medical and reservoir measurements for the advancement of HIV-1 cure trials.","Accelevir Diagnostics, LLC",,Healthcare,701 East Pratt Street,"Baltimore, MD",www.accelevirdx.com
MindStand,Generating Revenue,12,"Developer of an online harassment detection platform designed to protect friends, co-workers, and students. The company's platform identifies online harassment, hate speech, suicidality, low engagement, and other troubling behaviours within an organization's internal communications using artificial intelligence, enabling businesses to provide personalized insights on workplace security and inclusions.",MindStand Technologies Inc.,,Information Technology,5520 Research Park Drive,"Catonsville, MD",www.mindstand.com
miRecule,Generating Revenue,12,"Operator of a micro RNA-based therapeutics platform intended to treat cancer and muscular dystrophy. The company's platform integrates genomic sequencing, expression, and prognostic data from hundreds of cancer patients with high throughput screening data of microRNA to identify its candidates for miR replacement therapy and formulates it into tumor-targeted nanoparticles, enabling oncologists to identify microRNA targets and eradicate drug-resistant cancer cells from the body.","miRecule, Inc.",,Healthcare,704 Quince Orchard Road,"Gaithersburg, MD",www.mirecule.com
Silvec Biologics,Generating Revenue,12,"Developer of RNA therapies designed to inoculate trees, vines, and bushes against diseases, eliminating the need for genetic modification. The company's RNA therapy includes introducing a virus like RNA bacterial inside the tree veins to destroy viral and fungal pathogens, enabling food growers to ensure abundant and diverse food supplies while protecting natural resources.",Silvec Biologics Inc.,,Materials and Resources,200 Girard Street,"Gaithersburg, MD",www.silvec.com
X-Wave Innovations,Generating Revenue,12,"Operator of a research and development firm intended to provide innovative alternatives and products for federal and commercial customers in defense, homeland security, transportation and energy. The company conducts both cutting-edge R&D and technology transitioning, enabling customers to get effective results.","X-Wave Innovations, Inc.",,Business Products and Services (B2B),555 Quince Orchard Road,"Gaithersburg, MD",www.x-waveinnovations.com
Airgility,Generating Revenue,11,"Designer and manufacturer of unmanned aerial systems designed to fly anywhere. The company's products are artificially intelligent drones that can fly to confined areas where there is limited or no global positioning system access, enabling clients to get information in real-time and improving decision-making in the critical moments of a disaster or for any type of inspection/assessment.","Airgility, Inc.",0.17,Information Technology,5016 Lehigh Road,"College Park, MD",www.airgility.co
Gibbs Marketing,,11,"Gibbs Marketing is a provider of marketing solutions and services for businesses. Their services include call center outsourcing, telemarketing campaigns, lead generation, appointment setting, customer service, social media marketing, email and event marketing, as well as printing services. The company has been operating for over 10 years and values work-life balance for their employees, offering career opportunities in the marketing industry.",Gibbs Marketing LLC,,Business Products and Services (B2B),408 Headquarters Dr,"Millersville, MD",gibbsmarketingllc.com
Glycan Therapeutics,Generating Revenue,11,"Developer of innovative carbohydrate medicines and solutions intended to synthesize heparin and heparan sulfate oligosaccharides for medical uses. The company develops drug therapies based on a novel synthetic carbohydrate technology platform to synthesize an anticoagulant drug like synthetic heparin and design heparin-like oligosaccharides for research and development for other medical applications and also develops enzymatically synthesized sulfated oligosaccharides for a variety of indications, thereby offering researchers a range of heparan sulfates and chondroitin sulfates to utilize for their next big endeavor.","Glycan Therapeutics, LLC",,Healthcare,617 Hutton Street,"Raleigh, NC",www.glycantherapeutics.com
Pay Your Tuition,Generating Revenue,11,"Provider of financial services intended to help foster economic and educational equality opportunities. The company's platform connects families with banks to offer lower rates to finance higher education by using a shared economy method as well as offers multiple student-centric financial products to match financial needs with the right money, enabling college students to fund their college tuition and education costs.","PYT Funds, Inc.",0.01,Financial Services,712 H Street North East,"Washington, DC",www.gopyt.com
VisiSonics,Generating Revenue,11,"Developer of three-dimensional spatial audio technologies designed to enhance end-user performance and overall experience. The company's physics-based RealSpace 3-Dimensional audio technology is licensed by consumer electronics brands, semiconductor manufacturers, and game developers, and its head-related transfer function personalization and in-device audiogram measurement allow personalization to the end user where it captures and analysis tech enable sound stages, enabling auto manufacturers, leading research institutions, and the military acoustic measurement and visualization solutions for NVH (Noise, Vibration, and Harshness) and industrial noise detection.",VisiSonics Corporation,1.00,Information Technology,5600 Rivertech Court,"Riverdale Park, MD",visisonics.com
Camelia,Generating Revenue,10,"Camelia is a Leonardtown, MD based private company whose line of business is Whol lumber/plywood/millwork",Camelia Inc.,2.31,Business Products and Services (B2B),39650 Big Chestnut Rd,"Leonardtown, MD",camelia-international.com
FileMap,,10,"The company primarily operates in the IT Consulting and Outsourcing industry. FileMap was founded in 2019 and is headquartered in San Francisco, CA.",,,Information Technology,,"San Francisco, CA",filemap.net
Fzata,Pre-Clinical Trials,10,"Developer of an oral biologics platform designed for oral biologics administration. The company's technology utilizes live recombinant yeast to express and secrete therapeutic biologics and enjoys vast manufacturing savings, no cold chain, no needles, and avoids systemic toxicity and anti-drug antibody response for a high safety profile, thereby enabling patients to fight against gastrointestinal-related disorders.","Fzata, Inc.",,Healthcare,1450 South Rolling Road,"Halethorpe, MD",www.fzata.com
HR Geckos,Generating Revenue,10,"Developer of an employee experience platform designed to make HR service delivery simple, efficient, and stress-free. The company's platform offers the convenience, speed, and empowerment of an AI-powered chatbot, process automation, a mobile-friendly scalable alternative, and smart analytics to manage HR service delivery, enabling businesses to augment the performance of their people through technology.",HR Geckos LLC,,Information Technology,4007 Candle Light Drive,"Dayton, MD",www.hrgeckos.com
Hydrus.ai,Generating Revenue,10,"Developer of an environmental, social and governance (ESG) data operating system designed to help manage social factors and improve governance. The company's system streamlines ESG data reporting and analytics, offers centralized data collection and audit, real-time analytics and emissions management and incorporates data protection, enabling organizations to build trust with stakeholders by automating the collection and reporting of environmental, social and governance (ESG) data.","Hydrus.ai, Inc.",,Information Technology,30 North Gould Street,"Sheridan, WY",www.hydrus.ai
JuneBrain,Generating Revenue,10,"Developer of retinal imaging system designed to optimize remote assessment and monitoring of neurological diseases. The company's system offers wearable and non-invasive imaging devices that detect attacks and improve monitoring of treatment efficacy, enabling clinicians to monitor patients with eye and brain diseases outside of the traditional clinic setting.",JuneBrain Inc.,1.50,Healthcare,875 Hollins Street,"Baltimore, MD",www.junebrain.com
Khanjur,Generating Revenue,10,"Provider of engineering research and development services intended to streamline the development, improvement, and deployment of new and existing technologies. The company offers engineering services for the development of stretchable electronics, materials characterization, superelastic and shape memory alloys, auxetic implantable stents, and more.",Khanjur R&D LLC,,Business Products and Services (B2B),3390 Cupecoy Point Avenue,"Las Vegas, NV",www.khanjur.com
Kubanda Cryotherapy,Generating Revenue,10,"Developer of a cryoablation technology designed to provide an alternative to surgical resections. The company offers the only simple, point-of-care, minimally-invasive, non-surgical treatment for lumps, bumps and cancers in pets, enabling veterinarians and pet owners to bring quality care to pets.","Kubanda Cryotherapy, Inc.",,Business Products and Services (B2B),3600 Clipper Mill Road,"Baltimore, MD",www.kubandacryotherapy.com
Scanogen,Generating Revenue,10,"Operator of a molecular diagnostic company intended to develop amplification-free molecular detection. The company has developed Single Molecule Tethering (SMOLT) proprietary technology for rapid and ultra-sensitive detection of biomolecules, developing a simple-to-use and sample-to-answer diagnostic platform, enabling clinicians with easy access to the biomolecular information of body fluids to improve healthcare.",Scanogen Inc.,,Healthcare,3102 Lord Baltimore Drive,"Baltimore, MD",www.scanogen.com
ScienceCast,Generating Revenue,10,"Developer of an online platform integrator of artificial intelligence software designed to address the data overload challenges faced by researchers. The company's software tools offer a solution to the modern data overload problem encountered by researchers to research better in a digital, more connected world, offers its software as a service across networks that link to openly accessible repositories of free research content, earns revenue from sales of its premium software tools from its website, from system design and integration of its software tools to repositories of research content and from deep tech consulting services, it also partners with systems integrators to integrate its SaaS onto their platforms and connect them with repositories of research data, enabling users to do advanced research communication and collaboration.",ScienceCast Inc.,,Business Products and Services (B2B),16 Willow Avenue,"Towson, MD",www.sciencecast.org
Sociable AI,Generating Revenue,10,"Developer of a social media customer interaction platform designed to generate memorable customer experiences. The company offers AI-powered social media interaction to have a large scale of positive interactions with their audience on social media platforms, enabling businesses to customize, test and deploy AI chatbots, streamlining customer engagement and boosting retention rates.",Sociable AI Inc,,Information Technology,,"College Park, MD",www.sociable.how
Ally Power,Generating Revenue,9,"Provider of renewable hydrogen fuel services intended to offer clean and green services. The company provides hydrogen fuel infrastructure services and the ability to convert any vehicle to Zero-Emission Vehicles (ZEVs), enabling to building of hydrogen and EV charging stations in various locations.",Ally Power Inc,,Business Products and Services (B2B),921 Caslon Way,"Hyattsville, MD",allypowerinc.com
ElectroMedia,Generating Revenue,9,"Provider of audiovisual design and consulting services for various industries. Electro-Media Design offers consulting, design, managed event technology, and project management services for clients in hospitality, corporate, institutional, and worship sectors.",,,Financial Services,,"Gaithersburg, MD",electro-media.com
HighT-Tech,Generating Revenue,9,"Operator of an electric heating company intended to serve the chemical, energy, transportation and environmental sectors. The company offers high-temperature synthesis, limitations in synthesis, record high-performance membranes, battery technologies and materials discovery through rapid sintering, enabling industries to revolutionize electrified heating to invent clean technologies toward a sustainable future.","High-T Tech, LLC",,Business Products and Services (B2B),4467 Technology Drive,"College Park, MD",www.hight-tech.com
ICmed,Generating Revenue,9,"Developer of healthcare assistance software designed to improve health behavior and health outcomes. The company's application-based platform records and organize healthcare reports, track and analyzes medical history using a personalized dashboard, and seek healthcare advice from doctors accordingly, enabling users to manage their health in one secure social network that links to family, caregivers, and providers.","ICmed, LLC.",,Healthcare,One Corporate Center 10451 Mill Run Circle,"Owings Mills, MD",www.icmedonline.com
Liatris,Generating Revenue,9,"Developer of insulation products designed to make life affordable, comfortable, and safe through the management of thermal energy. The company's product offers performance improvements to achieve significant energy savings, fire resistance, and environmental sustainability versus building insulation leading to project paybacks, enabling engineers and the construction sector to reduce costs through low-cost manufacturing and facile installation.","Liatris, Inc.",,Business Products and Services (B2B),5640 Fishers Lane,"Rockville, MD",www.liatris.biz
NasaClip,Generating Revenue,9,"Developer of a medical device designed to help control nosebleeds in children and adults. The company's nasal clip comes in adjustable sizes and applies constant hands-free pressure to the soft side walls of the nose and incorporates pre-medicated sponges to help deliver vasoconstrictive medication that can control bleeding, enabling healthcare professionals to improve the lives of patients and provide patients an optional facial cooling pack to help constrict vessels and reduce inflammation.","Emergency Medical Innovation, LLC",1.14,Healthcare,1100 Wicomico Street,"Baltimore, MD",www.nasaclip.com
OccasionGenius,Generating Revenue,9,"Developer of an event discovery platform designed to provide holistic information related to it. The company leverages proprietary algorithms to determine the popularity and attendance of each event from a comprehensive set of resources including national ticketing sites, local calendar sites, and social media, enabling users to find events and clients to enhance their customer experience, build brand equity and grow their digital impact.","OccasionGenius, Inc.",,Information Technology,7400 Beaufont Springs Drive,"Richmond, VA",www.occasiongenius.com
Pancopia,Generating Revenue,9,"Developer of a nitrogen management system designed to reclaim swine farm wastewater and put it to work for the good of pigs, producers, people, and the planet. The company's system optimizes the swine lagoon, upgrades wastewater as irrigation water, captures energy-producing biogas, and releases less nitrogen into the environment, enabling swine farmers to reduce their environmental impact, improve their resource efficiency, and generate economic benefits.","Pancopia, Inc.",,Business Products and Services (B2B),1100 Exploration Way,"Hampton, VA",www.pancopia.com
SecondWrite,Generating Revenue,9,"Developer of a malware detection platform designed to deliver a combination of automatic deep code inspection and accurate scoring of zero-day malware. The company's platform uses a patented technology that acts as a threat detector for detecting viruses by analyzing them completely and uses a machine learning model to catch hacks with low false alerts, enabling clients to get detailed actionable intelligence on malware.","SecondWrite, Inc.",,Information Technology,5000 College Avenue,"College Park, MD",www.secondwrite.com
Cogwear,Product In Beta Test,8,"Developer of a brain technology company designed to move brain monitoring from the lab to the real world. The company's AI-powered algorithms, give people on-demand access to their own clinical-grade cognitive and emotional data in real-time in virtually any setting, wearables are powered by mobile electroencephalogram EEG sensors, and machine learning technology to capture and analyze brainwaves and feature clinical-grade sensors, it proprietary dry electroencephalography (EEG) sensors comfortably and accurately measure, interpret, and report electrical brain activity through a secure app and shareable dashboard, enabling individuals to send feedback from the brainwaves to its platform and monitor activities like sitting, walking, working, exercising, and sleeping and improves health, peace, and performance through comfortable, wearable technology for better brain insights.","Cogwear, Inc.",,Information Technology,3401 Grays Ferry Avenue,"Philadelphia, PA",www.cogweartech.com
ENPLOYABLE,,8,"Developer of an AI-powered job matching platform that prioritizes mission, values, and soft skills. The solution utilizes algorithms to pair candidate values with company culture, work styles, and mission. Enployable offers customized candidate insights and crucial information for recruiting and talent retention. The platform can seamlessly integrate with existing recruiting tools.",,,Information Technology,1775 Tysons Blvd 5th Floor,"Tysons, VA",enployable.com
My Field Trip,,8,Operator of a student-led field trip platform for schools in the United States. The platform is currently being piloted with a small cohort of public and independent schools.,,,Consumer Products and Services (B2C),,"Washington, DC",myfieldtrip.us
NanoBioFAB,Generating Revenue,8,"Operator of a nanotechnology company intended to help businesses develop innovative products by leveraging nano-printing technology and artificial intelligence. The company specializes in creating scalable high-precision sensors that can be integrated into wearable and medical devices, enabling healthcare manufacturers to improve their products and innovate in health monitoring and diagnostics.","Tao Treasures, LLC",,Information Technology,4539 Metropolitan Court,"Frederick, MD",www.nanobiofab.com
Precision Neuroscopics,Generating Revenue,8,"Developer of novel high-density EEG systems designed to detect signals in the brain indicative of worsening traumatic brain injury. The company aims to develop engineering technologies for higher-density, longer-lasting, easier-to-use brain recording systems, enabling clinicians to cut clinical time and costs while recording high-quality EEG signals.",Precision Neuroscopics LLC,,Healthcare,4620 Henry Street,"Pittsburgh, PA",www.precisionneuroscopics.com
Vision Planning and Consulting (VPC),,8,"Specialist in emergency management and planning services. Vision Planning and Consulting offers hazard mitigation planning, community planning, grant writing, and public outreach to reduce risk, protect people, secure physical assets, and improve economic well-being. The small, minority, woman-owned, and GSA Schedule firm is located in Fulton, Maryland and has been in business for over 10 years. The company provides disaster management services to the Federal, state, and local governments, as well as academic and institutional clients.",,,Business Products and Services (B2B),7560 Morris St,"Fulton, MD",planvpc.com
Wave Welcome,Generating Revenue,8,"Provider of technology consulting services intended for broadband engineering, construction, and environmental consulting industries. The company offers services such as industry consulting, managed data services, digital solutions, and career pipeline diversity.",Wave Welcome LLC,,Information Technology,6710 Oxon Hill Road,"Oxon Hill, MD",www.wavewelcome.com
Alirtify,Generating Revenue,7,"Developer of an intelligence-gathering platform intended to provide real-time information through news articles and videos. The company's platform allows users and the people they care about to openly share their opinions with the community and it uses data from news events such as sentiments, location and keywords so users stay updated, enabling users to enjoy the modern news experience, get the update on what is happening in their network and engage with others.",Alirtify LLC,,Consumer Products and Services (B2C),118 North Market Street,"Frederick, MD",www.alirtify.com
ArtiMed,Generating Revenue,7,"Developer of specialized risk stratification tools designed to empower clients with specialized analytics tools that enhance medical management, improve patient outcomes, and reduce healthcare costs. The company offers a suite of artificial intelligence-based tools that offer perspectives with individual risk scores and actionable insights for post-covid conditions.",ArtiMed Inc.,,Healthcare,3601 Greenway,"Baltimore, MD",www.artimed.ai
