company,companyPbId,dealPbId,dealDate,dealSize,dealSizeStatus,investors,dealType,dealSynopsis
Door Robotics,279606-34,205453-99T,,0.19,Actual,,Product Crowdfunding,"The company received $187,519 of product crowdfunding via Indiegogo on an undisclosed date."
Door Robotics,279606-34,205454-89T,03-Oct-2022,0.25,Actual,Pebblebed,Later Stage VC,"The company raised $250,000 of venture funding in the form of SAFE notes from Pebblebed and other undisclosed investors on October 3, 2022."
"Drakeford, Scott & Associates",483986-35,183556-09T,01-Oct-2021,,,National Science Foundation,Grant,The company received an undisclosed amount of grant funding from National Science Foundation in October 2021.
Drizzle Health,494465-50,191328-22T,01-Jan-2019,0.04,Actual,VentureWell,Accelerator/Incubator,"The company joined VentureWell on January 1, 2019 and received $40,000 in funding. Other undisclosed investors also participated in the round."
Drizzle Health,494465-50,267783-40T,,0.02,Actual,Acumen Fund,Accelerator/Incubator,"The company joined Acumen Fund on an undisclosed date and received $20,000 in funding."
Drizzle Health,494465-50,267784-84T,01-Jan-2023,0.05,Actual,MassChallenge,Accelerator/Incubator,"The company joined MassChallenge as part of the 2023 U.S. early-stage cohort in 2023 and received $50,000 in funding as winner of the Resolve '24 MassChallenge Showcase HealthTech Award."
Drizzle Health,494465-50,269392-69T,,0.10,Actual,,Grant,"The company received $100,000 of grant funding on an undisclosed date."
Drizzle Health,494465-50,269392-78T,,0.10,Actual,National Institutes of Health,Grant,"The company received $100,000 of grant funding from National Institutes of Health on an undisclosed date."
Drizzle Health,494465-50,278736-49T,26-Nov-2024,0.50,Actual,,Angel (individual),"The company raised $500,000 of angel funding in the form of combination from an undisclosed investor on November 26, 2024."
Edulis Therapeutics,521999-29,218953-90T,,0.01,Actual,LifeX Ventures,Accelerator/Incubator,"The company joined LifeX Ventures on an unknown date and received $10,000 in funding."
Edulis Therapeutics,521999-29,247855-42T,01-Jan-2022,0.05,Actual,National Science Foundation,Accelerator/Incubator,"The company joined National Science Foundation as a part of its National I-Corps program 2022 cohort and received $50,000 in the form of grant funding."
Edulis Therapeutics,521999-29,247855-51T,,0.11,Actual,Crohn's & Colitis Foundation,Grant,"The company received $110,000 of Litwin IBD Pioneers grant funding from Crohn's & Colitis Foundation on an undisclosed date."
Edulis Therapeutics,521999-29,247856-68T,01-Mar-2023,0.02,Actual,Carnegie Mellon Portugal Program,Accelerator/Incubator,"The company joined Carnegie Mellon Portugal Program in approximately March 2023 and received $15,000 funding in the form of SAFE Notes."
Edulis Therapeutics,521999-29,261643-24T,,,,The Innovation Space,Accelerator/Incubator,The company joined The Innovation Space on an undisclosed date.
Edulis Therapeutics,521999-29,272746-45T,,0.75,Actual,,Seed Round,"The company is in the process of raising $750,000 of pre-seed funding on an undisclosed date."
ElectroMedia,255168-28,152085-52T,15-Apr-2020,,,,Debt - PPP,"The company was approved for a Paycheck Protection Program Loan in the range of $150,000-350,000 from Manufacturers and Traders Trust Company on April, 15 2020. The application cited 8 to be retained with the financing."
Epigenos Biosciences,533451-16,233850-43T,02-Aug-2022,0.25,Actual,,Debt - General,"The company received $250,000 of debt financing in the form of a loan from the North Carolina Biotechnology Center on August 2, 2022. The funds will be used to develop a precision epigenetic medicine for Friedreich's Ataxia, a rare, progressive genetic disease that results in poor neurological development and cardiac complications."
Error Corp,513481-24,208798-30T,15-Sep-2022,0.26,Actual,National Science Foundation,Grant,"The company received $260,000 of grant funding from National Science Foundation on September 15, 2022."
Error Corp,513481-24,222998-32T,03-Apr-2023,0.88,Actual,U.S. Department of Energy,Grant,"The company received $879,719 of grant funding from U.S. Department of Energy on April 3, 2023."
Error Corp,513481-24,273686-77T,31-Jan-2022,2.55,Actual,U.S. Department of Energy Office of Science,Grant,"The company received $2.55 million of grant funding from U.S. Department of Energy Office of Science on January 31, 2022."
Error Corp,513481-24,274098-52T,,,,,Seed Round,The company is reportedly seeking seed funding from undisclosed investors.
Error Corp,513481-24,276926-68T,,,,University of Toronto Entrepreneurship,Accelerator/Incubator,The company joined University of Toronto Entrepreneurship on an undisclosed date. No equity or funding was exchanged as a result of this program.
Error Corp,513481-24,288040-96T,01-Jan-2024,0.78,Actual,,Grant,"The company received $780,435 of grant funding from an undisclosed grantor on January 1, 2024."
Flexadyne,339870-79,125553-07T,05-Jun-2019,0.01,Actual,i.Lab Incubator (Kathryne Carr),Accelerator/Incubator,"The company joined i.Lab at UVA as part of its 20th Annual Summer Incubator Program on June 5, 2019 and received $5,000 in the form of a grant."
Flexadyne,339870-79,125553-25T,01-Jan-2017,,,American University Entrepreneurship Incubator,Accelerator/Incubator,The company joined American University Entrepreneurship Incubator in 2017.
Flexadyne,339870-79,139705-39T,01-Jan-2017,0.01,Actual,American University,Grant,"The company received $1,500 of grant funding from American University in January 2017."
Flexadyne,339870-79,139705-57T,,0.01,Actual,,Product Crowdfunding,"The company received $1,525 of product crowdfunding via Indiegogo on an undisclosed date."
Flexadyne,339870-79,260975-08T,30-Dec-2020,,,,Out of Business,"The company is no longer actively in business as of December 30, 2020."
Floraponics,561460-15,266690-08T,11-Jul-2024,0.15,Actual,,Angel (individual),"The company raised $150,000 of angel funding from undisclosed investors on July 11, 2024."
Floraponics,561460-15,266692-78T,,0.22,Actual,,Grant,"The company received $215,000 of grant funding on an undisclosed date. The funds will be used to research and advance floriculture in aquaponics."
Floraponics,561460-15,277059-88T,,,,Maryland Energy Innovation Accelerator,Accelerator/Incubator,The company joined Maryland Energy Innovation Accelerator on an undisclosed date. No equity or funding was exchanged as a result of this program.
Fluid Reality,531154-63,228616-84T,01-May-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined the NSF I-Corps Spring 2023 Program in May 2023.
Fluid Reality,531154-63,228690-55T,14-Jun-2023,0.03,Actual,VentureBridge Program,Accelerator/Incubator,"The company joined VentureBridge Summer Cohort Program on June 14, 2023 and received $25,000 funding in the form of SAFE notes."
FullBlast STEAM,492671-98,189166-51T,04-Sep-2020,0.05,Actual,"Abell Foundation, Accelerate Baltimore (John Davis)",Accelerator/Incubator,"The company joined The Abell Foundation as part of the Accelerate Baltimore's 2020 cohort on September 4, 2020, and received $50,000 in funding."
FullBlast STEAM,492671-98,189171-10T,01-Jan-2019,,,Global Startup Ecosystem,Accelerator/Incubator,The company joined Global Startup Ecosystem and received an undisclosed amount in funding in 2019.
Fzata,186296-68,94954-15T,01-Jan-2017,3.80,Actual,National Institute for Allergy and Infectious Disease,Grant,The company received $3.8 million of grant funding from National Institute for Allergy and Infectious Disease in 2017.
Fzata,186296-68,94954-78T,18-Oct-2016,1.00,Actual,"Sage-Angel BioIncubator, Shenzhen Sangel Venture Capital",Seed Round,"The company raised $1 million of seed funding in a deal led by Sage-Angel BioIncubator and Shenzhen Sangel Venture Capital on October 18, 2016, putting the company's pre-money valuation at $11 million."
Fzata,186296-68,184584-79T,01-Jan-2021,2.59,Actual,National Institutes of Health,Grant,The company received $2.59 million of grant funding from National Institutes of Health in 2021.
Fzata,186296-68,184585-15T,01-Jan-2021,4.30,Actual,National Institutes of Health,Grant,The company received $4.3 million of grant funding from National Institutes of Health in 2021.
Fzata,186296-68,196109-20T,20-May-2022,18.00,Actual,,Seed Round,"The company is in the process of raising $18 million of Series A seed funding on May 20, 2022."
Fzata,186296-68,204022-63T,01-Jul-2017,0.23,Actual,National Institutes of Health,Grant,"The company received $225,068 of grant funding from National Institutes of Health on July 1, 2017."
Fzata,186296-68,204022-81T,06-May-2022,2.95,Actual,National Institutes of Health,Grant,"The company received $2.95 million of grant funding from National Institutes of Health on May 6, 2022."
Fzata,186296-68,204023-08T,20-Jan-2018,0.39,Actual,National Institute for Allergy and Infectious Disease,Grant,"The company received $393,930 of grant funding from National Institute for Allergy and Infectious Disease on January 20, 2018."
Fzata,186296-68,252066-79T,01-Apr-2021,2.36,Actual,National Institute Of Allergy and Infectious Diseases,Grant,"The company received $2.36 million of grant funding from National Institute Of Allergy and Infectious Diseases on April 1, 2021."
GaiaXus,492775-12,248588-74T,01-Jan-2022,0.25,Actual,United States Department of Education,Grant,"The company received $250,000 of grant funding from United States Department of Education on January 1, 2022."
GaiaXus,492775-12,273802-87T,17-Dec-2021,,,Bethesda Green (Adam Roberts),Accelerator/Incubator,"The company joined Bethesda Green as a part of 2022 Innovation Center Accelerator Cohort on December 17, 2021. No equity or funding was exchanged as a result of this program."
Gaskiya,338528-26,137052-37T,12-May-2019,,,HATCH (Consulting Services (B2B)),Accelerator/Incubator,"The company joined HATCH as part of its HATCH Blue Accelerator Program on May 12, 2019."
Gaskiya,338528-26,137053-09T,26-Aug-2020,0.32,Actual,"National Institute of Food and Agriculture, National Science Foundation Innovation Corps Program",Grant,"The company received $324,980 of grant funding from the National Science Foundation Innovation Corps Program and National Institute of Food and Agriculture on August 26, 2020. The funds will be used to accelerate the development of the company's testing platform for the detection of White Spot Syndrome Virus (WSSV) in aquaculture-farmed shrimp and for further development of its diagnostic test for Infectious Hematopoietic Necrosis Virus (IHNv) that impacts farm-raised rainbow trout."
Gaskiya,338528-26,168333-40T,24-Sep-2020,0.63,Actual,The Innovation Space (William Provine),Seed Round,"The company raised $625,000 of seed funding from The Innovation Space and other undisclosed investors on September 24, 2020. The funds will be used to accelerate the development of the company's core product and get diagnostic tests in the hands of aqua farmers."
getGFTD,528266-26,224492-68T,31-Mar-2023,0.01,Actual,Loyola College Maryland Endowment,Accelerator/Incubator,"The company joined Loyola College Maryland Endowment on March 31, 2023 and received $5,500 in funding in the form of a grant."
getGFTD,528266-26,281018-44T,05-Jun-2023,0.01,Actual,StarTUp Accelerator (Towson University),Accelerator/Incubator,"The company joined StarTUp Accelerator as a part of its summer cohort on June 5, 2023 and received $10,000 in funding."
GlowGadget,590434-12,254903-14T,25-Apr-2017,0.01,Estimated,TERP Startup Laboratory,Accelerator/Incubator,"The company joined TERP Startup Laboratory as a part of its 2017 Cohort on April 25, 2017 and received an estimated $5,000 in grant funding."
Glycan Therapeutics,481677-58,180742-78T,01-Jan-2020,9.15,Actual,U.S. Department of Health and Human Services,Grant,The company received $9.15 million of grant funding from U.S. Department of Health and Human Services from 2013 to 2020.
GlycoT Therapeutics,327146-32,127411-75T,01-Jan-2018,0.51,Actual,U.S. Department of Health and Human Services,Grant,"The company received $511,669 of grant funding from U.S. Department of Health and Human Services on January 1, 2018."
GlycoT Therapeutics,327146-32,203961-61T,01-Aug-2019,0.77,Actual,,Grant,"The company received a $774,934 grant from National Institutes of Health on August 1, 2019."
GlycoT Therapeutics,327146-32,203961-79T,28-May-2022,0.32,Actual,National Institutes of Health,Grant,"The company received $321,239 of grant funding from National Institutes of Health on May 28, 2022."
GlycoT Therapeutics,327146-32,268419-25T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date. No equity or funding was exchanged as a result of this program.
GlycoT Therapeutics,327146-32,268424-83T,01-Aug-2021,1.49,Actual,National Institutes of Health,Grant,"The company received $1.49 million of grant funding from National Institutes of Health on August 1, 2021."
GUAQ,531317-17,228821-05T,,0.01,Actual,Halcyon Incubator,Accelerator/Incubator,"The company joined Halcyon Incubator as part of its incubator cohort 15 program on an undisclosed date and received $10,000 in funding in the form of a grant."
GUAQ,531317-17,228823-30T,12-Nov-2021,0.01,Actual,George Mason University,Grant,"The company received $5,000 of grant funding from George Mason University on November 12, 2021."
GUAQ,531317-17,228824-74T,03-Apr-2023,0.02,Actual,Georgetown University,Grant,"The company received $20,000 of grant funding from Georgetown University on April 3, 2023."
GUAQ,531317-17,228830-05T,24-Sep-2020,0.02,Actual,Leonsis Family Office,Grant,"The company received $20,000 of grant funding from Leonsis Family Office on September 24, 2020."
Halo Scientific,107928-10,45554-23T,,,,Johns Hopkins Technology Ventures,Accelerator/Incubator,The company joined Johns Hopkins Technology Ventures on an undisclosed date.
Haystack Solutions,465585-22,171287-11T,06-Dec-2023,0.30,Actual,TEDCO,Angel (individual),"The company raised $300,000 of angel funding in the form of convertible debt from TEDCO and other undisclosed investors on December 6, 2023."
Haystack Solutions,465585-22,247167-10T,17-Nov-2021,0.20,Actual,,Angel (individual),"The company raised $200,000 of angel funding in the form of convertible debt from undisclosed investors on November 17, 2021."
Hazel Analytics,185468-05,93406-51T,06-Oct-2017,0.11,Actual,,Angel (individual),"The company raised $112,588 of angel funding from undisclosed investors on October 6, 2017."
Hazel Analytics,185468-05,93407-68T,01-Jul-2017,0.15,Actual,TEDCO,Grant,"The company received $149,670 of grant funding from TEDCO as part of MII Award in July 2017."
Hazel Analytics,185468-05,243074-89T,01-Apr-2023,,,Ecolab (NYS: ECL),Merger/Acquisition,The company was acquired by Ecolab (NYS: ECL) for an undisclosed amount in April 2023.
Healthier Forms,607334-59,265247-11T,21-Dec-2023,,,Founder Institute,Accelerator/Incubator,"The company joined Founder Institute on December 21, 2023 and recieved funding in the form of warrants."
HighT-Tech,557649-37,250487-56T,01-Jan-2022,0.70,Actual,U.S. Department of Energy,Grant,"The company received $700,000 of grant funding from U.S. Department of Energy on January 1, 2022."
HighT-Tech,557649-37,255058-48T,16-Jul-2024,3.00,Actual,"Abbott Ventures, Taihill Venture (Hongkai He), The University System of Maryland Momentum Fund (Mike Ravenscroft)",Seed Round,"The company raised $3 million of seed funding in a deal led by Taihill Venture on July 16, 2024, putting the company's pre-money valuation at $10 million. Abbott Ventures and The University System of Maryland Momentum Fund also participated in the round. Of the total amount, $750,000 was originally raised in the form of SAFE notes and subsequently converted to equity. The funds will be used to allow the company to accelerate our development and commercialization efforts."
HighT-Tech,557649-37,264584-44T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date. No equity or funding was exchanged as a result of this program.
HighT-Tech,557649-37,267950-89T,,8.26,Actual,,Seed Round,The company raised $8.26 million of seed funding on an undisclosed date.
HighT-Tech,557649-37,277067-98T,01-Jan-2021,,,Maryland Energy Innovation Accelerator,Accelerator/Incubator,The company joined Maryland Energy Innovation Accelerator as a part of the Energy-Executive-in-Residence program in 2021. No equity or funding was exchanged as a result of this program.
HighT-Tech,557649-37,277077-70T,12-Jul-2021,0.04,Actual,"Merck (ETR: MRK), Nature Publishing Group (Richard Hughes)",Grant,"The company was awarded a $36,000 The Spinoff Prize 2021 from Nature Publishing Group and Merck on July 12, 2021."
Hop Flyt,229925-26,107630-56T,26-Oct-2020,0.44,Actual,TEDCO,Seed Round,"The company raised $443,000 of pre-seed funding from TEDCO and other undisclosed investors on October 26, 2020. Of the total amount, $75,000 was in the form of convertible debt."
Hop Flyt,229925-26,188169-40T,29-Oct-2021,0.24,Actual,,Seed Round,"The company raised $238,000 of seed funding on October 29, 2021. Of the total amount, $75,000 was raised in the form of convertible debt subsequently got converted into equity."
Hop Flyt,229925-26,212416-48T,18-Nov-2022,1.81,Actual,"Albers Aerospace, Keyhorse Capital",Later Stage VC,"The company raised $1.81 million of Series A venture funding in the combination of debt and equity from Albers Aerospace and Keyhorse Capital (KSTC) on November 18, 2022."
Hop Flyt,229925-26,216155-44T,01-Jan-2023,,,,Later Stage VC,"The company was in talks to receive an undisclosed amount of Series A venture funding on January 1, 2023. Subsequently, the deal was canceled."
HR Geckos,513450-46,274134-61T,26-Jul-2024,,,MassChallenge,Accelerator/Incubator,"The company joined MassChallenge as a part of its Early Stage Accelerator Cohort on July 26, 2023. No equity or funding was exchanged as a result of this program."
HR Geckos,513450-46,274136-86T,01-Jan-2022,,,Novella Center for Entrepreneurship,Accelerator/Incubator,The company joined Novella Center for Entrepreneurship as a part of its Conscious Venture Lab Cohort 9 in 2022. No equity or funding was exchanged as a result of this program.
HR Geckos,513450-46,280801-90T,01-Jan-2024,,,TiE Women,Accelerator/Incubator,The company joined TiE Women in 2024. No equity or funding was exchanged as a result of this program.
HR Geckos,513450-46,280802-08T,01-Jan-2023,,,The Universities at Shady Grove,Accelerator/Incubator,The company joined The Universities at Shady Grove as part of the Spring 2023 cohort. No equity or funding was exchanged as a result of this program.
HR Geckos,513450-46,280802-53T,01-Jan-2023,,,bwtech@UMBC Research and Technology Park,Accelerator/Incubator,The company joined bwtech@UMBC Research and Technology Park as part of the Scaleup Maryland Spring Cohort 5. No equity or funding was exchanged as a result of this program.
HR Geckos,513450-46,280803-43T,01-Oct-2022,,,TEDCO,Accelerator/Incubator,The company joined TEDCO as part of the VenturePath Showcase in October 2022.
HSR.health,482482-63,181728-10T,23-Jun-2021,0.07,Actual,OGC,Grant,"The company was awarded a $70,000 prize from Open Geospatial Consortium's Disasters Pilot 2021 on June 23, 2021."
Hydropore,530590-69,234039-16T,07-Aug-2023,,,Energy Innovation Lab,Accelerator/Incubator,"The company joined Energy Innovation Lab as part of its 2023 Cohort on August 7, 2023."
Hydropore,530590-69,246398-95T,01-Jan-2023,,,University of Pennsylvania,University Spin-Out,The company was spun out of University of Pennsylvania in 2023.
Hydropore,530590-69,287729-38T,25-Jan-2024,0.05,Actual,National Science Foundation,Grant,"The company received $50,000 of grant funding from National Science Foundation on January 25, 2024."
Hydropore,530590-69,287729-74T,03-Oct-2024,0.40,Actual,NYSERDA,Grant,"The company received $400,000 of grant funding from NYSERDA on October 3, 2024."
Hydrus.ai,481976-92,189913-15T,13-Jul-2021,,,Forum Ventures (James Murphy),Accelerator/Incubator,"The company joined Forum Ventures on July 13, 2021 and received an undisclosed amount in funding."
Hydrus.ai,481976-92,199626-67T,01-Dec-2021,,,"1517 Fund, Right Side Capital Management",Early Stage VC,"The company raised an undisclosed amount of venture funding from Right Side Capital Management and 1517 Fund on December 1, 2021."
Hydrus.ai,481976-92,265466-71T,11-Jul-2022,,,StartOut Growth Lab,Accelerator/Incubator,"The company joined StartOut Growth Lab 10th Cohort on July 11, 2022. No equity or funding was exchanged as a result of this program."
Hyve (Media and Information Services),494811-46,192048-13T,01-Jan-2022,0.10,Actual,Entrepreneurs Roundtable Accelerator,Accelerator/Incubator,"The company joined Entrepreneurs Roundtable Accelerator as part of its Winter 2022 Batch in 2022 and received $100,000 in funding."
Hyve (Media and Information Services),494811-46,280392-49T,19-Dec-2024,,,,Out of Business,"The company is no longer actively in business as of December 19, 2024."
ICmed,167279-50,119715-40T,03-Apr-2019,,,Johnson & Johnson Innovation - JLABS,Accelerator/Incubator,"The company joined Johnson & Johnson Innovation - JLABS on April 3, 2019."
ICmed,167279-50,159955-93T,01-Jan-2014,0.75,Actual,,Angel (individual),"The company raised $750,000 of pre-seed funding from undisclosed investors in 2014."
ICmed,167279-50,159956-02T,01-Jan-2016,1.00,Actual,Michael Giannerini,Seed Round,The company raised $1 million of seed funding from Michael Giannerini and other undisclosed investors in 2016.
IES Life Sciences,460264-60,166984-39T,05-Oct-2020,,,Impact Assets,Later Stage VC,"The company raised an undisclosed amount of venture funding in the form of convertible debt from ImpactAssets on October 5, 2020."
IES Life Sciences,460264-60,167212-99T,01-Jan-2018,0.10,Actual,Maryland Industrial Partnerships,Grant,"The company received $100,000 of grant funding from Maryland Industrial Partnerships on January 1, 2018."
IES Life Sciences,460264-60,250400-17T,,,,,Out of Business,The company is no longer actively in business.
Impruvon Health,467206-21,173468-17T,01-May-2020,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined the NSF I-Corps Spring 2020 Cohort Program in 2020.
Impruvon Health,467206-21,174139-75T,01-Dec-2021,1.10,Actual,"Maan Ventures, New Dominion Angels, TCP Venture Capital, The University System of Maryland Momentum Fund, Virginia Innovation Partnership (Thomas Weithman), Virginia Venture Partners",Seed Round,"The company raised $1.1 million through a combination of debt, Seed-2, Seed-3, and Seed-4 funding on December 1, 2021, putting the company's pre-money valuation at $3 million. The equity portion of $ 614,991 was raised from Maan Ventures, Virginia Venture Partners, TCP Venture Capital, Virginia Innovation Partnership, New Dominion Angels, The University System of Maryland Momentum Fund, and other undisclosed investors. The debt portion of $ 485,009 was raised from undisclosed lenders. The funds will be used to expand the company's marketing efforts to increase awareness and expand its customer base."
Impruvon Health,467206-21,189039-52T,28-Jul-2021,0.05,Actual,Prince William County,Grant,"The company received $50,000 of grant funding from Prince William County on July 28, 2021."
Impruvon Health,467206-21,251264-44T,05-Feb-2024,3.00,Estimated,"New Dominion Angels, TCP Venture Capital (Christopher College), TEDCO (Theodore Gresser), The University System of Maryland Momentum Fund",Seed Round,"The company raised $3.00 million of seed funding from TCP Venture Capital, The University System of Maryland Momentum Fund and TEDCO on February 5, 2024, putting the company's pre-money valuation at $5 million. New Dominion Angels also participated in the round. The funds will be used to promote higher-quality care and medication management efficiency."
Impruvon Health,467206-21,277734-07T,,,,Multiple Hub,Accelerator/Incubator,The company joined Multiple Hub as a part of Cohort 1 on an undisclosed date. No equity or funding was exchanged as a result of this program.
Impruvon Health,467206-21,284337-19T,04-Feb-2025,2.41,Actual,,Seed Round,"The company raised $2.42 million of Seed-5 funding from undisclosed investors on February 4, 2025, putting the company's pre-money valuation at $10.59 million."
InceptEV,521209-54,217824-85T,01-Jan-2022,0.01,Actual,West Virginia University (Transtech Energy ),Grant,"The company received $5,000 of grant funding from West Virginia University (Transtech Energy ) in approximately 2022."
InceptEV,521209-54,248572-54T,01-Jul-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,"The company joined National Science Foundation Innovation Corps Program as a part of the NSF I-Corps Summer 2023 Program on July 1, 2023."
InceptEV,521209-54,248734-81T,01-Jan-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined National Science Foundation Innovation Corps Program as a part of its NSF I-Corps Spring 2023 Cohort Program.
InceptEV,521209-54,248737-87T,,,,Cleantech Open,Accelerator/Incubator,The company joined Cleantech Open on an undisclosed date.
InceptEV,521209-54,249346-81T,29-Jun-2023,0.05,Actual,Innovation Works,Early Stage VC,"The company raised $50,000 of venture funding from Innovation Works on June 29, 2023."
Inception Robotics,510441-22,205970-95T,01-Jul-2022,,,National Science Foundation,Grant,The company received an undisclosed amount of grant funding from National Science Foundation in July 2022.
Inception Robotics,510441-22,206211-16T,09-Mar-2022,0.26,Actual,National Science Foundation,Grant,"The company received $255,428 of grant funding from National Science Foundation on March 9, 2022."
Inception Robotics,510441-22,228469-51T,01-May-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined the NSF I-Corps Spring 2023 Program in May 2023.
Inception Robotics,510441-22,268422-40T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date. No equity or funding was exchanged as a result of this program.
InfraTrac,58669-48,28216-09T,10-Jul-2007,0.08,Actual,"Saffron Hill Ventures (Shawn Luetchens), TEDCO",Early Stage VC,"The company raised $75,000 of venture funding in a deal led by TEDCO on July 10, 2007. Saffron Hill Ventures also participated in the round."
InfraTrac,58669-48,28216-63T,24-Aug-2010,0.10,Actual,Maryland Biotechnology Center,Grant,"The company received $100,000 of grant funding from Maryland Biotechnology Center on August 24, 2010."
InfraTrac,58669-48,114128-83T,27-Oct-2009,,,Springboard Enterprises (Kay Koplovitz),Accelerator/Incubator,"The company joined Springboard Enterprises as a part of its AllThingsLifeSciences 2009 on October 27, 2009."
InfraTrac,58669-48,185119-30T,01-Sep-2021,,,,Secondary Transaction - Private,"Saffron Hill Ventures, TEDCO and Springboard Enterprises sold their stake in the company to an undisclosed buyer in approximately September 2021."
InfraTrac,58669-48,225174-52T,23-Sep-2022,2.84,Actual,,Grant,"The company received a $2,839,169 grant from National Institutes of Health on September 23, 2022."
InovCares,462209-77,199628-29T,01-Jan-2021,0.50,Actual,"1863 Ventures, EY, Halcyon Incubator, Jumpstart Foundry, Right Side Capital Management",Seed Round,"The company raised $500,000 of seed funding from EY, Right Side Capital Management, and Jumpstart Foundry in January 2021. Halcyon Incubator and 1863 Ventures also participated in the round."
InovCares,462209-77,206441-02T,09-May-2023,0.65,Actual,Ohio Impact Fund,Seed Round,"The company raised $650,000 of seed funding from Ohio Impact Fund and other undisclosed investors on May 9, 2023, putting the company's pre-money valuation at $14.35 million."
InovCares,462209-77,221478-31T,09-Feb-2023,0.10,Actual,Andreessen Horowitz,Accelerator/Incubator,"The company joined Andreessen Horowitz as a part of Talent x Opportunity Spring '23 Cohort on February 9, 2023 and received $100,000 in funding. Initially the funding was raised in the form of SAFE Notes which was subsequently converted into equity."
InovCares,462209-77,264522-52T,25-Jul-2022,,,Village Capital (Elizabeth Nguyen),Accelerator/Incubator,"The company joined Village Capital as a part of its Innovations in Health Equity Accelerator on July 25, 2022. No equity or funding was exchanged as a result of this program."
InovCares,462209-77,267394-33T,05-Aug-2020,,,Nashville Entrepreneur Center,Accelerator/Incubator,"The company joined Nashville Entrepreneur Center as a part of 2020 Project Healthcare Program on August 5, 2020. No equity or funding was exchanged as a result of this program."
InovCares,462209-77,268823-44T,29-Jul-2021,0.02,Actual,757 Accelerate (Evans McMillion),Accelerator/Incubator,"The company joined 757 Accelerate as a part of its COHORT#4 on July 29, 2021 and received $20,000 in the form of grant funding."
InovCares,462209-77,274886-02T,01-Jan-2022,,,EmPOWERED to Serve Business Accelerator,Accelerator/Incubator,The company joined EmPOWERED to Serve Business Accelerator as a part of EmPOWERED to Serve Business Accelerator™: 2022 in 2022. No equity or funding was exchanged as a result of this program.
InovCares,462209-77,288347-05T,01-Jan-2022,,,Rally (Florida),Accelerator/Incubator,The company joined Rally as a part of summer program in 2022. No equity or funding was exchanged as a result of this program.
InventWood,434265-94,135326-53T,27-Aug-2018,,,"F3 Tech Business Accelerator, MTech Ventures",Accelerator/Incubator,"The company joined MTech Ventures and F3 Tech Business Accelerator as a part of its Technology Advancement Program on August 27, 2018."
InventWood,434265-94,135390-88T,01-Jan-2019,1.25,Actual,"U.S. Department of Energy, USDA Rural Development Agency",Grant,"The company received $1.25 million of grant funding from USDA Rural Development Agency and U.S. Department of Energy in January 1, 2019."
